project_id$museum_name$year$visitors$source$notes,,,,,,,,
0$1$2$3$4$5,,,,,,,,
mm.domus.SC134$POLLOK HOUSE$2005$90902$MA(fam)$,,,,,,,,
mm.domus.SE092$RAMSEY RURAL MUSEUM$2005$11000$MA(fam)$,,,,,,,,
mm.wiki.372$RED HOUSE GLASS CONE$2005$20000$MA(fam)$,,,,,,,,
mm.domus.WA062$RHONDDA HERITAGE PARK$2005$53000$MA(fam)$,,,,,,,,
mm.domus.YH149$ROYAL ARMOURIES MUSEUM LEEDS$2005$301809$MA(fam)$Part of Royal Armouries,,,,,,,,
mm.domus.SE462$RYE ART GALLERY$2005$12000$MA(fam)$Two AIM entries but both note Small Museum,,,,,,,,
mm.domus.EM090$TATTERSHALL CASTLE$2005$33000$MA(fam)$MA lists as Guardhouse museum at Tattershall Castle,,,,,,,,
mm.aim.1111$THE MECHANICAL MUSIC MUSEUM & BYGONES$2005$2524$MA(fam)$,,,,,,,,
mm.musa.356$TOWN HALL CIVIC PLATE COLLECTION$2005$600$MA(fam)$,,,,,,,,
mm.domus.SC301$TRIMONTIUM MUSEUM$2005$4750$MA(fam)$DOMUS address and MGS address conflict. Retained DOMUS address as accurate,,,,,,,,
mm.domus.WM034$ACTON SCOTT WORKING FARM MUSEUM$2006$35000$MA(fam)$,,,,,,,,
mm.domus.WM140$ATTINGHAM PARK$2006$154000$MA(fam)$,,,,,,,,
mm.domus.YH032$BEDALE MUSEUM$2006$2048$MA(fam)$,,,,,,,,
mm.domus.SE199$BRENTWOOD MUSEUM$2006$1000$MA(fam)$,,,,,,,,
mm.domus.SE440$BUNGAY MUSEUM$2006$520$MA(fam)$,,,,,,,,
mm.mald.024$CANOLFAN Y PLASE$2006$3000$MA(fam)$,,,,,,,,
mm.musa.076$CASTLE CARY AND DISTRICT MUSEUM AND PRESERVATION SOCIETY$2006$1882$MA(fam)$,,,,,,,,
mm.domus.SW020$CHARD AND DISTRICT MUSEUM$2006$2480$MA(fam)$,,,,,,,,
mm.domus.SE137$CHARLES BURRELL MUSEUM$2006$4325$MA(fam)$,,,,,,,,
mm.domus.SW097$COLDHARBOUR MILL WORKING WOOL MUSEUM$2006$12000$MA(fam)$AIM entry is 'Coldharbour Museum Trust',,,,,,,,
mm.fcm.064$CORNICE MUSEUM OF ORNAMENTAL PLASTERWORK$2006$240$MA(fam)$,,,,,,,,
mm.domus.WA029$COWBRIDGE AND DISTRICT MUSEUM$2006$1700$MA(fam)$,,,,,,,,
mm.domus.SC320$CRAWFORDJOHN HERITAGE VENTURE$2006$2000$MA(fam)$,,,,,,,,
mm.domus.SE241$D-DAY MUSEUM$2006$57376$MA(fam)$,,,,,,,,
mm.domus.SE015$DESIGN MUSEUM$2006$200000$MA(fam)$Change of address,,,,,,,,
mm.domus.SE270$EASTNEY BEAM ENGINE HOUSE$2006$1187$MA(fam)$,,,,,,,,
mm.domus.SE543$FELBRIGG HALL$2006$66366$MA(fam)$,,,,,,,,
mm.domus.SE288$FORD END WATERMILL$2006$2056$MA(fam)$,,,,,,,,
mm.mgs.415$FOSSIL GROVE$2006$12438$MA(fam)$Not listed in most recent MGS accreditation sheet,,,,,,,,
mm.domus.WA034$GLYNN VIVIAN ART GALLERY$2006$60064$MA(fam)$,,,,,,,,
mm.aim.1063$GOLDEN HINDE II$2006$40000$MA(fam)$AIM entry is 'The Golden Hinde Educational Trust'. Entry amended to reflect museum name.,,,,,,,,
mm.domus.NW065$HERON CORN MILL$2006$7000$MA(fam)$Name change,,,,,,,,
mm.domus.SC244$HUNTERIAN ART GALLERY, UNIVERSITY OF GLASGOW$2006$65221$MA(fam)$Not listed on most recent MGS accreditation sheet,,,,,,,
mm.domus.WM036$LUDLOW MUSEUM$2006$28000$MA(fam)$,,,,,,,,
mm.domus.SE056$MILDENHALL AND DISTRICT MUSEUM$2006$4185$MA(fam)$,,,,,,,,
mm.mald.086$MOLD LIBRARY AND MUSEUM$2006$8219$MA(fam)$MALD entry listed address as 'Greenfield Valley Museum and Heritage Park'. Entry amended to reflect museum address.,,,,,,,,
mm.mald.095$NATIONAL CORACLE MUSEUM$2006$6500$MA(fam)$MA has it as National Coracle Centre,,,,,,,,
mm.domus.SW080$NEWTON ABBOT TOWN AND GREAT WESTERN RAILWAY MUSEUM$2006$4128$MA(fam)$,,,,,,,,
mm.domus.NW084$PARADISE MILL$2006$6000$MA(fam)$,,,,,,,,
mm.domus.SE142$PENDON MUSEUM$2006$10000$MA(fam)$AIM entry is 'Pendon Museum Trust Ltd',,,,,,,,
mm.domus.WM040$QUEEN'S OWN HUSSARS REGIMENTAL MUSEUM$2006$12000$MA(fam)$,,,,,,,,
mm.domus.SE093$ROYAL ARMOURIES (TOWER OF LONDON)$2006$2000000$MA(fam)$Part of Royal Armouries - location at ToL/HRP?,,,,,,,,
mm.domus.EM044$RUDDINGTON VILLAGE MUSEUM$2006$840$MA(fam)$,,,,,,,,
mm.aim.0931$ST ALBANS ORGAN THEATRE$2006$3650$MA(fam)$,,,,,,,,
mm.domus.SE358$STEVENAGE MUSEUM$2006$35820$MA(fam)$,,,,,,,,
mm.domus.WM008$THE STAFFORDSHIRE REGIMENT MUSEUM$2006$15125$MA(fam)$,,,,,,,,
mm.musa.354$TOLPUDDLE MARTYRS MUSEUM$2006$42000$MA(fam)$,,,,,,,,
mm.domus.NW083$WEST PARK MUSEUM AND ART GALLERY$2006$11000$MA(fam)$,,,,,,,,
mm.domus.SE172$ALDEBURGH MUSEUM$2007$7000$MA(fam)$,,,,,,,,
mm.domus.SW001$BLAKE MUSEUM$2007$5821$MA(fam)$,,,,,,,,
mm.domus.SE224$BURGHLEY HOUSE$2007$90000$MA(fam)$,,,,,,,,
mm.domus.EM084$CENTRAL MUSEUM AND ART GALLERY$2007$21513$MA(fam)$,,,,,,,,
mm.domus.SC258$CHATELHERAULT$2007$559620$MA(fam)$not noted in most recent MGS accreditation list,,,,,,,,
mm.domus.YH044$COOPER GALLERY$2007$28000$MA(fam)$,,,,,,,,
mm.ace.1204$DE HAVILLAND AIRCRAFT HERITAGE CENTRE$2007$6500$MA(fam)$AIM entry is 'de Havilland Aircraft Museum Trust Ltd'. AIM entry has alternative address but assume this is administrative.,,,,,,,,
mm.domus.WM043$DUDLEY MUSEUM AND ART GALLERY$2007$36000$MA(fam)$,,,,,,,,
mm.aim.0292$EASDALE ISLAND FOLK MUSEUM$2007$3500$MA(fam)$,,,,,,,,
mm.musa.132$FARLEIGH HUNGERFORD CASTLE$2007$18990$MA(fam)$,,,,,,,,
mm.domus.SE052$GRANT MUSEUM OF ZOOLOGY & COMPARATIVE ANATOMY (UCL COLLECTIONS)$2007$21126$MA(fam)$,,,,,,,,
mm.mald.072$LLANGOLLEN MOTOR MUSEUM$2007$5496$MA(fam)$,,,,,,,,
mm.wiki.428$MOELFRE RNLI SEAWATCH$2007$19096$MA(fam)$,,,,,,,,
mm.domus.SW150$MOUNT EDGCUMBE HOUSE$2007$15000$MA(fam)$,,,,,,,,
mm.domus.SE583$NATIONAL GALLERY$2007$4500000$MA(fam)$,,,,,,,,
