project_id	size	size_source	size_simpl	size_simpl_source
mm.domus.NW099	very_large	domus	large	domus
mm.domus.NW100	very_large	visitbritain	large	visitbritain
mm.domus.NW101	very_large	visitbritain	large	visitbritain
mm.domus.NW102	very_large	visitbritain	large	visitbritain
mm.domus.NW103	very_large	visitbritain	large	visitbritain
mm.domus.NW104	large	visitbritain	large	visitbritain
mm.domus.NW105	very_large	visitbritain	large	visitbritain
mm.domus.NW106	small	visitbritain	small	visitbritain
mm.domus.NW109	very_large	ma(fam)	large	ma(fam)
mm.domus.NW110	very_small	domus	small	domus
mm.domus.NW113	medium	domus	medium	domus
mm.domus.NW114	small	visitbritain	small	visitbritain
mm.domus.NW115	small	domus	small	domus
mm.domus.NW118	small	domus	small	domus
mm.domus.NW120	small	domus	small	domus
mm.domus.NW121	medium	domus	medium	domus
mm.domus.NW122	small	domus	small	domus
mm.domus.NW125	very_large	domus	large	domus
mm.domus.NW127	very_small	domus	small	domus
mm.domus.NW128	very_small	domus	small	domus
mm.domus.NW129	large	domus	large	domus
mm.domus.NW130	tiny	domus	small	domus
mm.domus.NW131	small	domus	small	domus
mm.domus.NW132	small	domus	small	domus
mm.domus.NW133	very_small	domus	small	domus
mm.domus.NW134	very_small	domus	small	domus
mm.domus.NW135	small	aim_size_designation	small	aim_size_designation
mm.domus.NW136	large	domus	large	domus
mm.domus.NW137	medium	domus	medium	domus
mm.domus.NW138	small	domus	small	domus
mm.domus.NW139	small	domus	small	domus
mm.domus.NW140	small	domus	small	domus
mm.domus.NW141	small	domus	small	domus
mm.domus.NW142	small	domus	small	domus
mm.domus.NW143	very_small	domus	small	domus
mm.domus.NW144	very_large	domus	large	domus
mm.domus.NW145	very_large	domus	large	domus
mm.domus.NW147	tiny	domus	small	domus
mm.domus.NW148	medium	domus	medium	domus
mm.domus.NW149	very_small	domus	small	domus
mm.domus.NW150	very_small	domus	small	domus
mm.domus.NW152	small	domus	small	domus
mm.domus.NW153	very_large	visitbritain	large	visitbritain
mm.domus.NW155	large	domus	large	domus
mm.domus.NW156	small	domus	small	domus
mm.domus.NW157	medium	domus	medium	domus
mm.domus.NW158	medium	domus	medium	domus
mm.domus.NW160	very_small	domus	small	domus
mm.domus.NW161	tiny	domus	small	domus
mm.domus.NW162	tiny	domus	small	domus
mm.domus.NW163	small	domus	small	domus
mm.domus.NW164	medium	domus	medium	domus
mm.domus.NW165	very_small	domus	small	domus
mm.domus.NW166	very_large	domus	large	domus
mm.domus.NW167	very_small	domus	small	domus
mm.domus.NW168	unknown	unknown	unknown_sz	unknown
mm.domus.NW169	very_large	visitbritain	large	visitbritain
mm.domus.NW170	very_large	visitbritain	large	visitbritain
mm.domus.NW171	very_large	visitbritain	large	visitbritain
mm.domus.NW172	medium	visitbritain	medium	visitbritain
mm.domus.NW174	large	visitbritain	large	visitbritain
mm.domus.NW175	medium	visitbritain	medium	visitbritain
mm.domus.NW176	large	visitbritain	large	visitbritain
mm.domus.NW177	medium	domus	medium	domus
mm.domus.NW178	medium	visitbritain	medium	visitbritain
mm.domus.NW179	tiny	domus	small	domus
mm.domus.NW180	very_large	visitbritain	large	visitbritain
mm.domus.NW181	medium	ma(fam)	medium	ma(fam)
mm.domus.NW182	very_large	visitbritain	large	visitbritain
mm.domus.NW183	medium	ma(fam)	medium	ma(fam)
mm.domus.NW184	unknown	unknown	unknown_sz	unknown
mm.domus.NW185	unknown	unknown	unknown_sz	unknown
mm.domus.NW186	unknown	unknown	unknown_sz	unknown
mm.domus.NW187	small	visitbritain	small	visitbritain
mm.domus.NW188	small	aim_size_designation	small	aim_size_designation
mm.domus.NW189	small	visitbritain	small	visitbritain
mm.domus.NW190	small	aim_size_designation	small	aim_size_designation
mm.domus.NW191	medium	mm	medium	mm
mm.domus.NW192	medium	mm	medium	mm
mm.domus.NW194	unknown	unknown	unknown_sz	unknown
mm.domus.NW195	unknown	unknown	unknown_sz	unknown
mm.domus.SC001	very_small	domus	small	domus
mm.domus.SC002	very_large	domus	large	domus
mm.domus.SC003	large	domus	large	domus
mm.domus.SC004	large	domus	large	domus
mm.domus.SC005	large	domus	large	domus
mm.domus.SC006	very_small	domus	small	domus
mm.domus.SC007	very_small	domus	small	domus
mm.domus.SC008	tiny	domus	small	domus
mm.domus.SC009	very_small	domus	small	domus
mm.domus.SC010	tiny	scottish_national_audit	small	scottish_national_audit
mm.domus.SC011	very_small	domus	small	domus
mm.domus.SC012	very_small	domus	small	domus
mm.domus.SC013	large	domus	large	domus
mm.domus.SC014	large	domus	large	domus
mm.domus.SC016	very_small	domus	small	domus
mm.domus.SC017	very_small	domus	small	domus
mm.domus.SC018	small	domus	small	domus
mm.domus.SC019	tiny	domus	small	domus
mm.domus.SC020	medium	domus	medium	domus
mm.domus.SC021	very_small	domus	small	domus
mm.domus.SC022	small	domus	small	domus
mm.domus.SC023	very_small	domus	small	domus
mm.domus.SC024	small	domus	small	domus
mm.domus.SC025	small	domus	small	domus
mm.domus.SC026	very_small	domus	small	domus
mm.domus.SC027	very_small	domus	small	domus
mm.domus.SC028	small	domus	small	domus
mm.domus.SC029	very_small	domus	small	domus
mm.domus.SC030	small	domus	small	domus
mm.domus.SC031	huge	domus	huge	domus
mm.domus.SC032	small	domus	small	domus
mm.domus.SC033	tiny	domus	small	domus
mm.domus.SC034	very_small	domus	small	domus
mm.domus.SC036	very_small	domus	small	domus
mm.domus.SC037	very_small	domus	small	domus
mm.domus.SC038	small	domus	small	domus
mm.domus.SC039	medium	domus	medium	domus
mm.domus.SC040	very_small	domus	small	domus
mm.domus.SC041	tiny	domus	small	domus
mm.domus.SC042	medium	domus	medium	domus
mm.domus.SC043	medium	domus	medium	domus
mm.domus.SC044	medium	domus	medium	domus
mm.domus.SC045	medium	domus	medium	domus
mm.domus.SC046	small	domus	small	domus
mm.domus.SC047	small	domus	small	domus
mm.domus.SC048	small	domus	small	domus
mm.domus.SC049	small	domus	small	domus
mm.domus.SC050	large	domus	large	domus
mm.domus.SC051	tiny	domus	small	domus
mm.domus.SC052	tiny	domus	small	domus
mm.domus.SC053	tiny	domus	small	domus
mm.domus.SC054	small	domus	small	domus
mm.domus.SC055	small	domus	small	domus
mm.domus.SC056	medium	domus	medium	domus
mm.domus.SC057	small	domus	small	domus
mm.domus.SC059	small	domus	small	domus
mm.domus.SC061	very_small	domus	small	domus
mm.domus.SC062	small	domus	small	domus
mm.domus.SC063	small	domus	small	domus
mm.domus.SC064	small	domus	small	domus
mm.domus.SC065	small	domus	small	domus
mm.domus.SC066	small	domus	small	domus
mm.domus.SC068	small	domus	small	domus
mm.domus.SC069	very_large	domus	large	domus
mm.domus.SC070	very_small	domus	small	domus
mm.domus.SC071	small	domus	small	domus
mm.domus.SC072	very_small	domus	small	domus
mm.domus.SC073	medium	domus	medium	domus
mm.domus.SC074	very_large	domus	large	domus
mm.domus.SC075	tiny	domus	small	domus
mm.domus.SC076	very_large	domus	large	domus
mm.domus.SC077	very_small	domus	small	domus
mm.domus.SC078	very_small	domus	small	domus
mm.domus.SC079	very_small	domus	small	domus
mm.domus.SC080	medium	domus	medium	domus
mm.domus.SC081	small	domus	small	domus
mm.domus.SC082	small	domus	small	domus
mm.domus.SC083	medium	domus	medium	domus
mm.domus.SC086	small	domus	small	domus
mm.domus.SC087	very_small	domus	small	domus
mm.domus.SC089	tiny	domus	small	domus
mm.domus.SC090	small	domus	small	domus
mm.domus.SC091	very_small	domus	small	domus
mm.domus.SC092	small	domus	small	domus
mm.domus.SC093	medium	domus	medium	domus
mm.domus.SC094	medium	domus	medium	domus
mm.domus.SC095	small	domus	small	domus
mm.domus.SC096	large	domus	large	domus
mm.domus.SC097	small	domus	small	domus
mm.domus.SC098	small	domus	small	domus
mm.domus.SC099	very_small	domus	small	domus
mm.domus.SC100	tiny	scottish_national_audit	small	scottish_national_audit
mm.domus.SC102	small	scottish_national_audit	small	scottish_national_audit
mm.domus.SC103	small	ma(fam)	small	ma(fam)
mm.domus.SC104	tiny	scottish_national_audit	small	scottish_national_audit
mm.domus.SC105	medium	scottish_national_audit	medium	scottish_national_audit
mm.domus.SC106	tiny	scottish_national_audit	small	scottish_national_audit
mm.domus.SC110	small	domus	small	domus
mm.domus.SC111	very_small	domus	small	domus
mm.domus.SC112	very_small	domus	small	domus
mm.domus.SC113	small	domus	small	domus
mm.domus.SC114	small	domus	small	domus
mm.domus.SC115	small	domus	small	domus
mm.domus.SC116	small	domus	small	domus
mm.domus.SC117	small	domus	small	domus
mm.domus.SC118	medium	domus	medium	domus
mm.domus.SC119	medium	domus	medium	domus
mm.domus.SC120	medium	domus	medium	domus
mm.domus.SC121	tiny	domus	small	domus
mm.domus.SC122	small	domus	small	domus
mm.domus.SC123	very_small	domus	small	domus
mm.domus.SC124	small	domus	small	domus
mm.domus.SC125	very_small	domus	small	domus
mm.domus.SC126	small	domus	small	domus
mm.domus.SC127	large	domus	large	domus
mm.domus.SC129	very_large	domus	large	domus
mm.domus.SC130	very_large	domus	large	domus
mm.domus.SC133	very_large	domus	large	domus
