project_id	mm_size
mm.aim.0159	unknown
mm.aim.0160	unknown
mm.aim.0161	large
mm.aim.0165	unknown
mm.aim.0167	unknown
mm.aim.0172	small
mm.aim.0173	very_small
mm.aim.0174	unknown
mm.aim.0179	unknown
mm.aim.0181	unknown
mm.aim.0188	unknown
mm.aim.0191	unknown
mm.aim.0200	unknown
mm.aim.0204	unknown
mm.aim.0207	large
mm.aim.0211	unknown
mm.aim.0213	very_small
mm.aim.0215	unknown
mm.aim.0217	unknown
mm.aim.0218	medium
mm.aim.0219	small
mm.aim.0220	unknown
mm.aim.0222	unknown
mm.aim.0227	unknown
mm.aim.0228	unknown
mm.aim.0231	unknown
mm.aim.0234	large
mm.aim.0236	unknown
mm.aim.0238	unknown
mm.aim.0244	very_small
mm.aim.0245	unknown
mm.aim.0249	unknown
mm.aim.0254	unknown
mm.aim.0262	unknown
mm.aim.0265	unknown
mm.aim.0269	small
mm.aim.0280	unknown
mm.aim.0282	small
mm.aim.0283	unknown
mm.aim.0284	unknown
mm.aim.0287	unknown
mm.aim.0288	unknown
mm.aim.0292	very_small
mm.aim.0295	unknown
mm.aim.0300	small
mm.aim.0302	unknown
mm.aim.0304	unknown
mm.aim.0307	unknown
mm.aim.0310	small
mm.aim.0314	unknown
mm.aim.0317	unknown
mm.aim.0335	unknown
mm.aim.0336	very_small
mm.aim.0337	unknown
mm.aim.0338	unknown
mm.aim.0340	large
mm.aim.0342	unknown
mm.aim.0350	unknown
mm.aim.0351	unknown
mm.aim.0353	unknown
mm.aim.0358	unknown
mm.aim.0370	small
mm.aim.0373	unknown
mm.aim.0378	unknown
mm.aim.0382	unknown
mm.aim.0389	unknown
mm.aim.0393	very_small
mm.aim.0400	unknown
mm.aim.0405	unknown
mm.aim.0406	unknown
mm.aim.0407	unknown
mm.aim.0410	tiny
mm.aim.0420	small
mm.aim.0422	large
mm.aim.0423	unknown
mm.aim.0425	small
mm.aim.0430	unknown
mm.aim.0431	unknown
mm.aim.0440	unknown
mm.aim.0441	unknown
mm.aim.0443	unknown
mm.aim.0447	medium
mm.aim.0448	unknown
mm.aim.0456	unknown
mm.aim.0459	unknown
mm.aim.0461	unknown
mm.aim.0466	unknown
mm.aim.0467	very_large
mm.aim.0470	small
mm.aim.0471	unknown
mm.aim.0478	unknown
mm.aim.0484	unknown
mm.aim.0485	unknown
mm.aim.0486	unknown
mm.aim.0490	unknown
mm.aim.0496	unknown
mm.aim.0503	unknown
