project_id	size	size_wpred	size_source
mm.domus.SW151	small	small	domus
mm.aim.1115	small	small	ma(fam)
mm.domus.SW188	small	small	visitbritain
mm.musa.057	unknown_sz	small	mm_prediction_random_forest
mm.hha.044	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW059	small	small	domus
mm.domus.SW042	medium	medium	domus
mm.musa.335	unknown_sz	large	mm_prediction_random_forest
mm.hha.047	medium	medium	visitbritain
mm.aim82M.003	unknown_sz	large	mm_prediction_random_forest
mm.misc.147	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW147	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW039	medium	medium	domus
mm.domus.SW125	small	small	domus
mm.domus.SW213	medium	medium	domus
mm.MDN.036	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW166	medium	medium	domus
mm.aim.1300	small	small	ma(fam)
mm.musa.380	unknown_sz	small	mm_prediction_random_forest
mm.musa.286	medium	medium	visitbritain
mm.misc.101	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW189	medium	medium	domus
mm.aim.1308	medium	medium	aim_size_designation
mm.ace.1260	medium	medium	ma(fam)
mm.musa.001	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE456	medium	medium	domus
mm.musa.199	unknown_sz	small	mm_prediction_random_forest
mm.fcm.275	unknown_sz	small	mm_prediction_random_forest
mm.wiki.119	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE457	medium	medium	domus
mm.domus.SE458	small	small	domus
mm.musa.122	unknown_sz	small	mm_prediction_random_forest
mm.misc.144	unknown_sz	small	mm_prediction_random_forest
mm.domus.WA067	medium	medium	domus
mm.domus.SE373	medium	medium	domus
mm.misc.068	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE299	medium	medium	domus
mm.domus.SE346	medium	medium	visitbritain
mm.aim82NM.107	unknown_sz	small	mm_prediction_random_forest
mm.musa.183	unknown_sz	small	mm_prediction_random_forest
mm.wiki.111	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE490	large	large	domus
mm.domus.SE298	medium	medium	domus
mm.hha.022	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.119	unknown_sz	large	mm_prediction_random_forest
mm.musa.016	small	small	ma(fam)
mm.domus.SE417	medium	medium	domus
mm.domus.SE481	small	small	domus
mm.musa.283	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE431	small	small	domus
mm.domus.SE419	small	small	domus
mm.ace.1164	medium	medium	mm
mm.hha.023	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE416	medium	medium	domus
mm.domus.SE530	medium	medium	visitbritain
mm.aim82M.027	unknown_sz	small	mm_prediction_random_forest
mm.aim.0699	medium	medium	ma(fam)
mm.domus.SE586	medium	medium	visitbritain
mm.aim82NM.087	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE499	large	large	domus
mm.domus.SE347	medium	medium	domus
mm.domus.SE187	small	small	domus
mm.hha.025	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE409	small	small	domus
mm.domus.SE192	medium	medium	domus
mm.domus.SE193	small	small	domus
mm.aim.0150	large	large	aim_size_designation
mm.wiki.108	small	small	visitbritain
mm.domus.SE462	medium	medium	domus
mm.domus.SE529	small	small	domus
mm.domus.SE528	large	large	visitbritain
mm.wiki.110	unknown_sz	small	mm_prediction_random_forest
mm.wiki.377	unknown_sz	small	mm_prediction_random_forest
mm.musa.168	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE426	medium	medium	domus
mm.wiki.107	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE232	medium	medium	domus
mm.wiki.116	unknown_sz	small	mm_prediction_random_forest
mm.hud.005	unknown_sz	large	mm_prediction_random_forest
mm.aim82NM.054	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.131	unknown_sz	small	mm_prediction_random_forest
mm.aim.0335	small	small	aim_size_designation
mm.musa.332	small	small	visitbritain
mm.musa.031	unknown_sz	small	mm_prediction_random_forest
mm.wiki.131	unknown_sz	small	mm_prediction_random_forest
mm.aim.1017	small	small	ma(fam)
mm.wiki.139	unknown_sz	medium	mm_prediction_random_forest
mm.aim82M.060	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE208	unknown_sz	small	mm_prediction_random_forest
mm.wiki.138	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE542	small	small	domus
mm.hha.071	small	small	visitbritain
mm.aim.0218	medium	medium	visitbritain
mm.domus.SE200	medium	medium	babbidge_ewles_&_smith._2006.
mm.hud.022	unknown_sz	medium	mm_prediction_random_forest
mm.misc.181	unknown_sz	small	mm_prediction_random_forest
mm.wiki.128	unknown_sz	small	mm_prediction_random_forest
mm.musa.135	small	small	visitbritain
mm.aim.0217	small	small	aim_size_designation
mm.misc.198	unknown_sz	small	mm_prediction_random_forest
mm.aim.0213	small	small	visitbritain
mm.ace.1187	unknown_sz	medium	mm_prediction_random_forest
mm.musa.119	unknown_sz	small	mm_prediction_random_forest
mm.wiki.124	unknown_sz	small	mm_prediction_random_forest
mm.wiki.130	small	small	visitbritain
mm.domus.SE199	small	small	domus
mm.fcm.139	unknown_sz	small	mm_prediction_random_forest
mm.fcm.041	unknown_sz	small	mm_prediction_random_forest
mm.misc.137	unknown_sz	small	mm_prediction_random_forest
mm.wiki.122	unknown_sz	small	mm_prediction_random_forest
mm.wiki.123	small	small	visitbritain
mm.ace.1120	medium	medium	ma(fam)
mm.musa.301	small	small	ma(fam)
mm.domus.SE234	medium	medium	domus
mm.musa.035	unknown_sz	small	mm_prediction_random_forest
mm.wiki.136	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE271	medium	medium	domus
mm.wiki.129	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SE071	large	large	domus
mm.domus.SE072	small	small	domus
mm.aim.0025	small	small	aim_size_designation
mm.domus.SE080	medium	medium	domus
mm.domus.SE310	medium	medium	domus
mm.hha.073	unknown_sz	small	mm_prediction_random_forest
mm.aim.1196	small	small	aim_size_designation
mm.domus.SE442	medium	medium	domus
mm.aim.1147	small	small	aim_size_designation
mm.wiki.134	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE589	small	small	aim_size_designation
mm.aim.0110	small	small	aim_size_designation
mm.domus.SE074	medium	medium	domus
mm.domus.SE069	small	small	domus
mm.musa.351	medium	medium	ma(fam)
mm.wiki.135	unknown_sz	small	mm_prediction_random_forest
mm.aim.1180	medium	medium	aim_size_designation
mm.domus.SE265	medium	medium	domus
mm.ace.1121	small	small	ace_size_designation
mm.wiki.127	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SE148	medium	medium	domus
mm.domus.SE149	medium	medium	domus
mm.misc.180	unknown_sz	small	mm_prediction_random_forest
mm.ace.1151	small	small	aim_size_designation
mm.musa.215	unknown_sz	small	mm_prediction_random_forest
mm.misc.179	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE012	small	small	domus
mm.domus.SE249	small	small	visitbritain
mm.misc.125	unknown_sz	small	mm_prediction_random_forest
mm.wiki.133	unknown_sz	small	mm_prediction_random_forest
mm.musa.214	unknown_sz	small	mm_prediction_random_forest
mm.ace.1178	small	small	aim_size_designation
mm.ace.1212	medium	medium	ace_size_designation
mm.aim.0790	small	small	aim_size_designation
mm.musa.120	unknown_sz	small	mm_prediction_random_forest
mm.musa.164	unknown_sz	small	mm_prediction_random_forest
mm.musa.163	unknown_sz	small	mm_prediction_random_forest
mm.wiki.126	unknown_sz	small	mm_prediction_random_forest
mm.musa.165	unknown_sz	small	mm_prediction_random_forest
mm.aim.1159	small	small	aim_size_designation
mm.domus.SE201	small	small	domus
mm.domus.SE561	small	small	domus
mm.musa.328	small	small	ma(fam)
mm.musa.154	small	small	ma(fam)
mm.domus.SE273	small	small	domus
mm.domus.SE478	large	large	domus
mm.domus.SE348	medium	medium	domus
mm.musa.242	unknown_sz	small	mm_prediction_random_forest
mm.wiki.121	unknown_sz	small	mm_prediction_random_forest
mm.aim.0389	small	small	aim_size_designation
mm.fcm.124	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW022	medium	medium	domus
mm.domus.SW023	small	small	domus
mm.domus.SW021	large	large	domus
mm.aim82NM.033	unknown_sz	small	mm_prediction_random_forest
mm.hha.056	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.009	unknown_sz	small	mm_prediction_random_forest
mm.hha.053	small	small	visitbritain
mm.misc.039	unknown_sz	small	mm_prediction_random_forest
mm.wiki.149	unknown_sz	large	mm_prediction_random_forest
mm.musa.220	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW181	small	small	domus
mm.hha.055	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.055	unknown_sz	large	mm_prediction_random_forest
mm.aim82M.040	unknown_sz	small	mm_prediction_random_forest
mm.wiki.147	unknown_sz	large	mm_prediction_random_forest
mm.hha.060	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW029	large	large	domus
mm.aim.0234	large	large	ma(fam)
mm.ace.1199	small	small	ma(fam)
mm.misc.094	unknown_sz	large	mm_prediction_random_forest
mm.domus.SW030	medium	medium	domus
mm.domus.SW242	large	large	national_trust_annual_report_
mm.hha.059	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW243	unknown_sz	large	mm_prediction_random_forest
mm.domus.SW037	medium	medium	domus
mm.aim.1194	small	small	aim_size_designation
mm.domus.SW036	medium	medium	domus
mm.wiki.142	unknown_sz	small	mm_prediction_random_forest
mm.misc.078	unknown_sz	small	mm_prediction_random_forest
mm.aim.0207	large	large	visitbritain
mm.wiki.148	unknown_sz	small	mm_prediction_random_forest
mm.wiki.145	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW158	medium	medium	domus
mm.domus.SW065	medium	medium	domus
mm.aim82NM.051	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SW066	medium	medium	domus
mm.domus.SW079	medium	medium	visitbritain
mm.hha.054	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SW106	small	small	visitbritain
mm.domus.SW134	medium	medium	domus
mm.hha.061	unknown_sz	medium	mm_prediction_random_forest
mm.wiki.141	unknown_sz	small	mm_prediction_random_forest
mm.wiki.143	unknown_sz	small	mm_prediction_random_forest
mm.wiki.144	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW116	small	small	domus
mm.domus.SW155	medium	medium	domus
mm.domus.SW135	small	small	domus
mm.domus.SW225	medium	medium	domus
mm.domus.SW224	large	large	visitbritain
mm.aim.1006	small	small	visitbritain
mm.hha.058	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SW168	small	small	domus
mm.wiki.146	unknown_sz	small	mm_prediction_random_forest
mm.aim.0485	medium	medium	aim_size_designation
mm.domus.SW057	small	small	domus
mm.hha.057	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SW056	small	small	domus
mm.domus.SW148	small	small	domus
mm.musa.145	large	large	visitbritain
mm.aim.1312	medium	medium	ma(fam)
mm.hha.009	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SE599	medium	medium	ma(fam)
mm.hha.010	unknown_sz	medium	mm_prediction_random_forest
mm.aim82NM.028	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE550	large	large	domus
mm.domus.SE600	large	large	ma(fam)
mm.domus.SE220	medium	medium	domus
mm.domus.SE572	small	small	domus
mm.ace.1111	medium	medium	visitbritain
mm.wiki.198	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE221	medium	medium	domus
mm.domus.SE222	medium	medium	domus
mm.wiki.192	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE177	small	small	domus
mm.domus.SE396	medium	medium	domus
mm.wiki.195	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE296	small	small	domus
mm.musa.216	unknown_sz	small	mm_prediction_random_forest
mm.aim.0155	small	small	visitbritain
mm.domus.SE404	medium	medium	domus
mm.domus.SE498	medium	medium	visitbritain
mm.domus.SE350	large	large	domus
mm.aim.0441	small	small	aim_size_designation
mm.aim.1085	small	small	aim_size_designation
mm.ace.1153	medium	medium	ma(fam)
mm.ace.1233	small	small	ma(fam)
mm.domus.SE597	medium	medium	ma(fam)
mm.wiki.196	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE460	small	small	domus
mm.domus.SE297	large	large	visitbritain
mm.aim.0117	small	small	visitbritain
mm.domus.SE461	medium	medium	domus
mm.aim82NM.045	unknown_sz	small	mm_prediction_random_forest
mm.wiki.200	unknown_sz	small	mm_prediction_random_forest
mm.musa.300	unknown_sz	large	mm_prediction_random_forest
mm.ace.1157	small	small	aim_size_designation
mm.domus.SE219	medium	medium	domus
mm.wiki.194	unknown_sz	medium	mm_prediction_random_forest
mm.aim.0583	large	large	visitbritain
mm.ace.1126	medium	medium	ma(fam)
mm.domus.SE081	large	large	domus
mm.aim.0307	small	small	aim_size_designation
mm.musa.037	large	large	ma(fam)
mm.aim82NM.104	unknown_sz	small	mm_prediction_random_forest
mm.ace.1259	small	small	visitbritain
mm.domus.SE448	unknown_sz	small	mm_prediction_random_forest
mm.domus.SE169	medium	medium	domus
mm.domus.SE098	small	small	domus
mm.domus.SE123	small	small	domus
mm.domus.SE171	medium	medium	domus
mm.domus.SE549	large	large	visitbritain
mm.aim82NM.133	unknown_sz	small	mm_prediction_random_forest
mm.aim.0513	small	small	mm
mm.aim82M.062	unknown_sz	medium	mm_prediction_random_forest
mm.domus.SW205	small	small	domus
mm.domus.SE218	large	large	domus
mm.domus.SE003	medium	medium	domus
mm.domus.SE178	medium	medium	domus
