museum_id	country_gss	country_name	region_gss	region_name
mm.wiki.136	E92000001	England	E12000006	East of England
mm.hha.193	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.domus.WM033	E92000001	England	E12000005	West Midlands
mm.ace.1128	E92000001	England	E12000002	North West
mm.ace.1129	E92000001	England	E12000007	London
mm.ace.1126	E92000001	England	E12000008	South East
mm.ace.1127	E92000001	England	E12000006	East of England
mm.ace.1124	E92000001	England	E12000009	South West
mm.domus.YH169	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.WM022	E92000001	England	E12000005	West Midlands
mm.domus.WM023	E92000001	England	E12000005	West Midlands
mm.ace.1120	E92000001	England	E12000006	East of England
mm.domus.SE069	E92000001	England	E12000006	East of England
mm.misc.216	E92000001	England	E12000005	West Midlands
mm.misc.147	E92000001	England	E12000009	South West
mm.domus.SE299	E92000001	England	E12000008	South East
domus.NE043	E92000001	England	E12000001	North East
mm.aim.1051	E92000001	England	E12000002	North West
mm.hha.194	NA	NA	NA	NA
mm.wiki.009	E92000001	England	E12000009	South West
mm.wiki.008	E92000001	England	E12000008	South East
mm.wiki.005	E92000001	England	E12000006	East of England
mm.wiki.004	E92000001	England	E12000006	East of England
mm.wiki.007	E92000001	England	E12000006	East of England
mm.wiki.006	E92000001	England	E12000006	East of England
mm.wiki.001	E92000001	England	E12000006	East of England
mm.wiki.003	E92000001	England	E12000006	East of England
mm.wiki.002	E92000001	England	E12000006	East of England
mm.fcm.204	E92000001	England	E12000009	South West
mm.musa.396	E92000001	England	E12000009	South West
mm.domus.SE584	E92000001	England	E12000007	London
mm.domus.NI023	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.fcm.207	E92000001	England	E12000007	London
mm.hha.156	S92000003	Scotland	S92000003	Scotland
mm.domus.SE194	E92000001	England	E12000008	South East
mm.aim82NM.107	E92000001	England	E12000008	South East
mm.aim82NM.106	E92000001	England	E12000009	South West
mm.aim82NM.105	E92000001	England	E12000008	South East
mm.domus.EM043	E92000001	England	E12000004	East Midlands
mm.aim82NM.103	E92000001	England	E12000003	Yorkshire and The Humber
mm.aim82NM.102	E92000001	England	E12000008	South East
mm.aim82NM.101	E92000001	England	E12000003	Yorkshire and The Humber
mm.aim82NM.100	E92000001	England	E12000008	South East
