museum_id	country_gss	country_name	region_gss	region_name
mm.hha.088	E92000001	England	E12000004	East Midlands
mm.musa.168	E92000001	England	E12000008	South East
mm.musa.169	E92000001	England	E12000004	East Midlands
mm.aim.1194	E92000001	England	E12000009	South West
mm.domus.SE044	E92000001	England	E12000007	London
mm.musa.160	E92000001	England	E12000003	Yorkshire and The Humber
mm.musa.162	E92000001	England	E12000009	South West
mm.musa.163	E92000001	England	E12000006	East of England
mm.musa.164	E92000001	England	E12000006	East of England
mm.musa.165	E92000001	England	E12000006	East of England
mm.musa.166	NA	NA	NA	NA
mm.ace.1211	E92000001	England	E12000007	London
mm.mald.014	W92000004	Wales	W92000004	Wales
mm.mald.015	W92000004	Wales	W92000004	Wales
mm.fcm.254	S92000003	Scotland	S92000003	Scotland
mm.aim.1258	S92000003	Scotland	S92000003	Scotland
mm.fcm.130	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.mald.013	W92000004	Wales	W92000004	Wales
mm.misc.256	E92000001	England	E12000009	South West
mm.hha.147	E92000001	England	E12000002	North West
mm.mald.019	W92000004	Wales	W92000004	Wales
mm.fcm.139	E92000001	England	E12000006	East of England
mm.aim.1197	E92000001	England	E12000008	South East
mm.domus.SW039	E92000001	England	E12000009	South West
mm.domus.SW038	E92000001	England	E12000009	South West
mm.New.219	E92000001	England	E12000005	West Midlands
mm.domus.SW033	E92000001	England	E12000009	South West
mm.domus.SW032	E92000001	England	E12000008	South East
mm.domus.SW031	E92000001	England	E12000009	South West
mm.domus.SW030	E92000001	England	E12000009	South West
mm.domus.SW037	E92000001	England	E12000009	South West
mm.domus.SW036	E92000001	England	E12000009	South West
mm.domus.SW035	E92000001	England	E12000009	South West
mm.domus.SW034	E92000001	England	E12000009	South West
mm.domus.SC157	S92000003	Scotland	S92000003	Scotland
mm.wiki.424	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.mgs.298	S92000003	Scotland	S92000003	Scotland
mm.mgs.299	S92000003	Scotland	S92000003	Scotland
mm.mgs.296	S92000003	Scotland	S92000003	Scotland
mm.mgs.294	S92000003	Scotland	S92000003	Scotland
mm.domus.SW195	E92000001	England	E12000009	South West
mm.mgs.292	S92000003	Scotland	S92000003	Scotland
mm.mgs.293	S92000003	Scotland	S92000003	Scotland
mm.mgs.290	S92000003	Scotland	S92000003	Scotland
mm.aim.1196	E92000001	England	E12000006	East of England
