project_id	V_N	V_MIN	V_MAX	V_MEAN	V_SD	V_SUM	V_LAST_VAL	V_FIRST_YEAR	V_LAST_YEAR	V_SOURCE_MAIN	V_SOURCE_N
mm.domus.EM089	10	0	50739	27482.6	18318.6	274826	50739	1996	2016	visitbritain	3
mm.domus.EM090	11	0	53308	36123.2	14759.7	397355	53308	1996	2016	visitbritain	4
mm.domus.EM092	9	0	12650	8248.1	3539.3	74233	8413	1996	2015	domus	3
mm.domus.EM093	11	0	241368	153977	86283.7	1693747	241368	1996	2016	visitbritain	4
mm.domus.EM094	8	0	356436	235177.2	125185.7	1881418	356436	1996	2016	visitbritain	3
mm.domus.EM095	5	0	64279	26772.2	23248.5	133861	64279	1996	2016	domus	2
mm.domus.EM096	9	0	37650	14934.2	15088.8	134408	37650	1996	2015	visitbritain	2
mm.domus.EM097	9	0	1050	644.3	435.8	5799	1050	1997	2015	visitbritain	3
mm.domus.EM098	2	6500	85e3	45750	55507.9	91500	85e3	1998	2016	domus	2
mm.domus.EM099	3	0	950	316.7	548.5	950	950	1998	2015	domus	2
mm.domus.EM101	11	12130	14850	13434.6	1024.7	147781	12130	2010	2016	ma(fam)	2
mm.domus.EM102	1	1327	1327	1327	NA	1327	1327	2008	2008	ma(fam)	1
mm.domus.EM103	4	6250	6500	6437.5	125	25750	6500	2011	2015	visitbritain	2
mm.domus.EM104	2	42938	45845	44391.5	2055.6	88783	45845	2011	2016	ma(fam)	2
mm.domus.EM106	1	36445	36445	36445	NA	36445	36445	2015	2015	ma(fam)	1
mm.domus.EM108	1	650	650	650	NA	650	650	2008	2008	ma(fam)	1
mm.domus.EM109	5	1948	3765	2844.6	664.5	14223	2782	2011	2015	visitbritain	1
mm.domus.EM110	6	2993	4548	3674	649.6	22044	4548	2008	2015	visitbritain	2
mm.domus.NE001	6	500	18e4	132108.8	67542	792653	167901	1994	1999	domus	1
mm.domus.NE002	6	0	1800	986	593.7	5916	816	1994	1999	domus	1
mm.domus.NE003	5	200	600	340	194.9	1700	200	1994	1999	domus	1
mm.domus.NE004	11	0	671441	443265.1	189983.8	4875916	671441	1994	2015	domus	3
mm.domus.NE005	4	22480	76700	40036.8	24746.9	160147	22480	1994	2004	domus	2
mm.domus.NE006	5	11325	31e3	22865	10237.4	114325	3e4	1994	2016	domus	3
mm.domus.NE007	6	17433	55611	43206.7	14598.9	259240	17433	1994	1999	domus	1
mm.domus.NE008	7	56e3	404114	216326.3	136087.4	1514284	94424	1994	2010	domus	2
mm.domus.NE009	6	12933	35369	23983.8	8147	143903	12933	1994	1999	domus	1
mm.domus.NE011	14	76064	142758	103027.6	20368	1442387	119682	1994	2015	babbidge_ewles_&_smith._2006.	4
mm.domus.NE012	7	0	93522	42035.6	27735.1	294249	32e3	1994	2015	domus	2
mm.domus.NE013	7	0	278900	80789.7	100155.5	565528	76170	1994	2016	domus	2
mm.domus.NE014	5	0	37662	20132.4	18714	100662	28e3	1994	1998	domus	1
mm.domus.NE015	6	0	18289	9878.5	5925.9	59271	9e3	1994	1999	domus	1
mm.domus.NE016	8	65595	138724	91686.2	29040.2	733490	113196	1994	2016	domus	3
mm.domus.NE017	7	0	81913	45887	24167.8	321209	52603	1994	2015	visitbritain	2
mm.domus.NE018	6	1e4	25e3	17833.3	7859.2	107e3	11e3	1994	1999	domus	1
mm.domus.NE019	5	8200	13e3	11040	2051.3	55200	11e3	1994	1998	domus	1
mm.domus.NE020	13	0	9905	6105.2	3051.7	79368	7670	1994	2016	domus	4
mm.domus.NE021	5	42500	55e3	47700	5772.8	238500	42500	1994	1999	domus	1
mm.domus.NE022	5	0	42e3	31315.8	17722.2	156579	34579	1994	2014	domus	2
mm.domus.NE023	3	0	26e4	98143	141225.4	294429	26e4	1994	1997	domus	1
mm.domus.NE024	2	0	9472	4736	6697.7	9472	0	1994	1995	domus	1
mm.domus.NE026	12	86123	271795	216593.3	62200.1	2599120	228291	1994	2015	domus	3
mm.domus.NE027	12	20218	60183	31368.7	10846.3	376424	21658	1994	2015	domus	3
mm.domus.NE028	12	121451	434203	294720.2	130667.1	3536643	411695	1994	2015	domus	3
mm.domus.NE029	11	23653	50911	38145.2	10420.8	419597	27630	1994	2015	domus	3
mm.domus.NE030	11	123174	254521	187293.9	58240.4	2060233	125973	1994	2015	domus	3
mm.domus.NE031	11	0	44457	26296.6	14690.9	289263	44457	1994	2015	domus	3
mm.domus.NE032	12	149388	341845	245225.1	85785.8	2942701	322412	1994	2016	domus	3
mm.domus.NE033	7	30622	86880	69939	18001.9	489573	75376	1994	2014	domus	2
mm.domus.NE035	11	588	4842	1840.9	1495.9	20250	1373	1994	2015	domus	3
mm.domus.NE036	3	14882	17022	16301.3	1229.2	48904	14882	1994	1999	domus	1
mm.domus.NE037	6	8500	11e3	9840.3	1285.7	59042	11e3	1994	1999	domus	1
mm.domus.NE038	2	43108	80540	61824	26468.4	123648	80540	1994	2009	domus	2
mm.domus.NE039	6	0	3e4	23333.3	12110.6	14e4	0	1994	2010	domus	2
mm.domus.NE040	7	6470	17e3	11877.6	3836.4	83143	11046	1994	2016	domus	2
mm.domus.NE041	4	0	1366	899.8	619.7	3599	992	1994	2015	visitbritain	2
mm.domus.NE042	2	16e3	16500	16250	353.6	32500	16e3	1994	2014	domus	2
mm.domus.NE043	6	0	1e4	7666.7	3829.7	46e3	0	1994	2016	domus	2
mm.domus.NE044	7	2500	16500	6523.4	4743.2	45664	3784	1994	2014	domus	2
mm.domus.NE045	1	0	0	0	NA	NA	0	1994	1994	domus	1
mm.domus.NE046	6	360	18e4	136268.8	70024	817613	167901	1994	1999	domus	1
mm.domus.NE047	5	3e3	1e4	5200	2863.6	26e3	5e3	1994	2016	domus	2
mm.domus.NE048	2	0	3e4	15e3	21213.2	3e4	0	1994	1999	domus	1
mm.domus.NE049	8	0	14090	7849.6	4995.6	62797	13615	1994	2015	visitbritain	2
mm.domus.NE051	5	2500	5e3	4e3	1369.3	2e4	5e3	1994	1999	domus	1
mm.domus.NE052	10	0	4e4	25634.9	14273.8	256349	28799	1994	2016	domus	3
mm.domus.NE053	7	0	11900	7385.7	3629.4	51700	0	1994	2013	domus	2
mm.domus.NE054	7	11747	31758	16068.6	7085.2	112480	14e3	1994	2015	domus	2
mm.domus.NE055	5	1500	2e3	1664.4	204.1	8322	1500	1994	1999	domus	1
mm.domus.NE056	9	18980	36361	25094.3	6253	225849	29489	1994	2015	domus	3
mm.domus.NE057	11	91988	491148	295309.8	173808.7	3248408	486815	1994	2015	domus	3
mm.domus.NE058	6	18384	29239	21446.7	4219.8	128680	18384	1994	1999	domus	1
mm.domus.NE061	3	1200	25e3	9166.7	13712.2	27500	25e3	1994	1998	domus	1
mm.domus.NE062	7	0	13871	8581.4	5963.4	60070	10284	1994	2013	domus	2
mm.domus.NE063	2	9397	14500	11948.5	3608.4	23897	9397	1994	1997	domus	1
mm.domus.NE064	7	37353	202851	89873.3	55033.5	629113	202851	1994	2015	visitbritain	3
mm.domus.NE065	2	4e3	11200	7600	5091.2	15200	4e3	1994	1997	domus	1
mm.domus.NE066	6	21254	34e3	28514.2	5415.7	171085	33229	1994	2015	visitbritain	3
mm.domus.NE067	3	0	23e3	15e3	13e3	45e3	22e3	1994	1998	domus	1
mm.domus.NE068	7	0	16759	11005.9	7572.3	77041	16112	1994	2015	visitbritain	2
mm.domus.NE069	4	0	28267	7066.8	14133.5	28267	0	1995	1998	domus	1
mm.domus.NE071	11	0	96847	68563.3	28864.8	754196	86490	1995	2016	domus	3
mm.domus.NE072	10	0	17880	10818.7	5803.2	108187	11885	1995	2015	domus	3
mm.domus.NE073	12	0	226090	140375.8	84168.4	1684509	226090	1995	2016	domus	4
mm.domus.NE074	11	0	231614	154261.3	76900.9	1696874	231614	1995	2016	domus	3
mm.domus.NE075	10	0	6432	3455.3	2356.3	34553	4451	1995	2015	domus	2
mm.domus.NE076	6	0	27547	14762.5	9021.8	88575	0	1995	2016	domus	2
mm.domus.NE077	12	0	15e3	10071.2	4092.7	120855	9662	1994	2016	domus	4
mm.domus.NE078	6	0	107468	77073.2	39651.6	462439	107468	1994	2015	visitbritain	2
mm.domus.NE079	1	54e3	54e3	54e3	NA	54e3	54e3	2013	2013	ma(fam)	1
mm.domus.NE080	1	101960	101960	101960	NA	101960	101960	2013	2013	ma(fam)	1
mm.domus.NE081	2	0	76195	38097.5	53878	76195	0	1997	2015	domus	2
mm.domus.NE082	5	6752	25262	16234	7222.8	81170	6752	1999	2015	visitbritain	2
mm.domus.NE083	1	44970	44970	44970	NA	44970	44970	2016	2016	mm	1
mm.domus.NI002	10	31331	43e3	36523	4093.9	365230	35393	1994	2013	domus	3
mm.domus.NI003	8	13978	34595	22511.1	7771.7	180089	17615	1994	2013	domus	2
mm.domus.NI004	6	700	1e4	3783.3	3649.9	22700	5e3	1994	1999	domus	1
mm.domus.NI005	6	6e3	15e3	9166.7	3311.6	55e3	1e4	1994	1999	domus	1
mm.domus.NI006	9	0	226381	39577.6	71213.6	356198	25538	1994	2013	domus	3
mm.domus.NI007	6	0	2031	657.2	813.3	3943	2031	1994	1999	domus	1
mm.domus.NI008	10	40750	80034	54403.3	12013.4	544033	46400	1994	2013	domus	3
mm.domus.NI009	5	5001	11e3	9299.6	2489.3	46498	5001	1994	2013	domus	2
mm.domus.NI010	1	3e4	3e4	3e4	NA	3e4	3e4	2011	2011	ma(fam)	1
mm.domus.NI011	9	0	11269	4431.6	4950.9	39884	2632	1994	2013	domus	2
mm.domus.NI013	6	0	46977	25579.5	16144.5	153477	16500	1994	2016	domus	2
mm.domus.NI014	9	20900	5e4	30310.7	8595.1	272796	28e3	1994	2013	domus	2
mm.domus.NI015	6	112e3	142643	129436.2	12931.5	776617	112e3	1994	2013	domus	2
mm.domus.NI016	5	170468	206042	187883.6	13028	939418	192672	1994	2013	domus	2
mm.domus.NI017	5	239452	488190	317199.8	101019.2	1585999	239452	1994	2012	domus	2
mm.domus.NI018	7	3862	20344	14565.6	5443.7	101959	17665	1994	2013	domus	2
mm.domus.NI019	10	0	14321	9419.6	3680.5	94196	11900	1994	2013	domus	3
mm.domus.NI020	8	9e3	22761	15088.1	4916.7	120705	9e3	1995	2013	domus	2
mm.domus.NI021	2	0	1850	925	1308.1	1850	1850	1996	1997	domus	1
mm.domus.NI022	6	0	6907	3293.5	2858.3	19761	730	1997	2013	domus	2
mm.domus.NI023	6	1558	14639	7298.5	6149.8	43791	1803	1997	2013	domus	2
mm.domus.NI024	5	23068	38290	31855.6	7102.6	159278	25420	1998	2013	nilm(vn)	2
mm.domus.NI025	4	3037	3886	3253.8	421.5	13015	3046	2010	2013	nilm(vn)	3
mm.domus.NI027	5	1e4	41993	31335.2	12321.3	156676	1e4	1999	2013	nilm(vn)	3
mm.domus.NI028	4	15740	139295	54522.5	57247.4	218090	139295	2011	2016	nilm(vn)	2
mm.domus.NI029	3	33304	36e3	35056.3	1519.1	105169	33304	2011	2013	nilm(vn)	1
mm.domus.NI030	5	470	2329	1337.4	672	6687	2329	1999	2015	nilm(vn)	3
mm.domus.NI032	1	35e3	35e3	35e3	NA	35e3	35e3	2014	2014	ma(fam)	1
mm.domus.NI035	3	1421	2106	1832	362.5	5496	2106	2011	2013	nilm(vn)	1
mm.domus.NI036	4	3725	5048	4441	580.4	17764	3725	2008	2013	nilm(vn)	2
mm.domus.NI037	4	5097	8006	6376.5	1323.9	25506	5097	2011	2015	nilm(vn)	2
mm.domus.NI038	3	2210	22556	9239.7	11538.3	27719	22556	2011	2013	nilm(vn)	1
mm.domus.NW001	5	0	33e3	25e3	14106.7	125e3	0	1994	2013	domus	2
mm.domus.NW002	8	0	53e3	18952.9	19047.7	151623	24475	1994	2016	domus	3
mm.domus.NW003	12	147	16011	7308.2	5580.7	87699	513	1994	2015	domus	3
mm.domus.NW004	12	0	115040	60500.5	46400	726006	115040	1994	2016	domus	3
mm.domus.NW005	6	23313	43869	35187.7	8896	211126	39572	1994	1999	domus	1
mm.domus.NW006	6	0	22e3	13150	7990.9	78900	21e3	1994	1999	domus	1
mm.domus.NW007	10	0	8e3	4602.5	2624.6	46025	8e3	1994	2015	domus	2
mm.domus.NW008	3	159462	4e5	250884.3	130234.5	752653	159462	1994	2014	domus	2
mm.domus.NW009	3	24e3	29509	27248	2884.1	81744	28235	1994	2014	domus	2
mm.domus.NW011	3	6440	23357	17635	9696	52905	23108	1994	1998	domus	1
mm.domus.NW012	2	5455	13658	9556.5	5800.4	19113	13658	1994	1997	domus	1
mm.domus.NW013	2	0	0	0	0	NA	0	1994	1997	domus	1
mm.domus.NW014	6	0	3e4	21181	11209	127086	25e3	1994	1999	domus	1
mm.domus.NW015	6	0	5e4	40454.8	20031	242729	5e4	1994	1999	domus	1
mm.domus.NW016	11	0	4500	2122.5	2050.7	23348	4060	1994	2016	domus	3
mm.domus.NW017	6	22938	30906	26281.7	3299.2	157690	28985	1994	2016	domus	3
mm.domus.NW018	8	10750	29724	18939	6634.9	151512	15545	1994	2015	domus	2
mm.domus.NW019	6	20420	55469	43273	16136.4	259638	55469	1994	2016	domus	3
mm.domus.NW020	3	50388	53379	51391.3	1721.4	154174	50407	1994	2016	domus	2
mm.domus.NW021	7	218e3	283184	246484.7	24519.5	1725393	230225	1994	2015	visitbritain	3
mm.domus.NW022	3	0	9126	4608.7	4563.7	13826	0	1994	2005	domus	2
mm.domus.NW023	11	9284	25842	13157.7	4671.1	144735	13470	1994	2015	domus	3
mm.domus.NW024	9	8756	21976	15625.8	4942.2	140632	9796	1994	2016	domus	3
mm.domus.NW025	9	18441	33540	21762.6	4559.3	195863	21306	1994	2016	domus	3
mm.domus.NW026	9	13500	17247	15641.2	1314.3	140771	13500	1994	2016	domus	3
mm.domus.NW027	6	176700	224e3	195626.8	18962.9	1173761	213161	1994	2016	domus	3
mm.domus.NW028	7	0	37e3	16454.1	14430.7	115179	4771	1993	2016	domus	3
mm.domus.NW029	4	2e4	75e3	58250	25669.4	233e3	7e4	1994	2016	domus	2
mm.domus.NW031	8	2500	4e3	3200	526.4	25600	3e3	1994	2015	visitbritain	3
mm.domus.NW032	4	552	1747	1258.2	589.1	5033	1747	1994	1997	domus	1
mm.domus.NW033	7	0	2073	1200.1	942.5	8401	2073	1994	2015	visitbritain	2
mm.domus.NW034	6	4e3	51500	12583.3	19069.4	75500	51500	1994	1999	domus	1
mm.domus.NW035	11	11848	40581	23856.4	10535.1	262420	29738	1994	2015	domus	3
mm.domus.NW036	5	0	2e4	6511.6	9296.5	32558	0	1994	1999	domus	1
mm.domus.NW038	5	0	2e4	6400	9208.7	32e3	12e3	1994	1999	domus	1
mm.domus.NW039	8	21547	35e3	26429.8	4560.8	211438	27e3	1994	2016	domus	3
mm.domus.NW040	4	0	14e3	7422	5803.3	29688	6766	1994	1998	domus	1
mm.domus.NW041	4	17667	31e3	23630.2	5757.8	94521	17667	1994	1998	domus	1
mm.domus.NW042	7	0	69271	27567.1	27384	192970	12687	1994	2016	domus	3
mm.domus.NW043	6	7500	14451	9684	2545.7	58104	9670	1994	2013	domus	2
mm.domus.NW044	5	9465	25471	15064.4	6105.1	75322	9465	1994	2008	domus	2
mm.domus.NW045	5	0	5e3	2e3	2738.6	1e4	0	1994	1999	domus	1
mm.domus.NW046	6	51474	72714	64479	8054.3	386874	60080	1994	2013	domus	2
mm.domus.NW048	6	2396	5015	4568.5	1064.3	27411	5e3	1994	2013	domus	2
mm.domus.NW049	6	45731	72714	64019.2	9880.3	384115	63064	1994	2016	domus	2
mm.domus.NW050	5	21546	30922	26594	4690.6	132970	21546	1994	1999	domus	1
mm.domus.NW052	2	5e4	5e4	5e4	0	1e5	5e4	1994	1997	domus	1
mm.domus.NW053	6	0	81e3	57509.8	30647.5	345059	75837	1994	2016	domus	3
mm.domus.NW054	2	0	34657	17328.5	24506.2	34657	0	1994	1996	domus	1
mm.domus.NW055	3	0	300	100	173.2	300	0	1994	1996	domus	1
mm.domus.NW056	12	5e3	17031	9278.9	3614.8	111347	17031	1994	2016	domus	3
mm.domus.NW057	6	14056	21542	16910.2	3449.1	101461	21542	1994	2015	visitbritain	3
mm.domus.NW058	6	28620	93518	46094.3	24446.6	276566	28620	1994	2008	domus	2
mm.domus.NW059	6	13262	18500	14838.8	1997.4	89033	13316	1994	2008	domus	2
mm.domus.NW060	6	19810	71400	53094.3	17665.5	318566	50585	1994	2016	domus	2
mm.domus.NW061	5	3866	8e3	5773.2	1524.5	28866	5e3	1994	1999	domus	1
mm.domus.NW062	6	17500	22e3	18250	1837.1	109500	17500	1994	2009	domus	2
mm.domus.NW064	6	10219	19450	15231.3	4011.2	91388	10219	1994	2013	domus	2
mm.domus.NW065	6	0	7e3	3232.5	2336.9	19395	2210	1994	2006	domus	2
mm.domus.NW067	5	14500	20747	17449.4	2251.7	87247	14500	1994	1999	domus	1
mm.domus.NW068	4	3599	4337	4009	307.7	16036	4e3	1994	2008	domus	2
mm.domus.NW069	7	0	5500	4014.3	1962.5	28100	4600	1994	2016	domus	2
mm.domus.NW070	12	253658	852e3	499097.8	219209.5	5989173	697290	1994	2015	domus	3
mm.domus.NW071	3	13144	17044	15579.7	2123.7	46739	17044	1994	2014	domus	2
mm.domus.NW072	6	15e3	18e3	16e3	1264.9	96e3	18e3	1994	1999	domus	1
mm.domus.NW073	4	0	0	0	0	NA	0	1994	1999	domus	1
mm.domus.NW074	9	5e4	91924	68044.7	11769.4	612402	7e4	1994	2015	domus	3
mm.domus.NW075	3	0	36275	23381	20284.3	70143	36275	1994	1997	domus	1
mm.domus.NW076	4	8520	14482	10816	2559.3	43264	10131	1994	1999	domus	1
mm.domus.NW078	3	33500	175500	103387	71026.2	310161	33500	1994	2016	domus	3
mm.domus.NW079	5	0	22300	11381.2	9124.3	56906	8e3	1994	2016	domus	3
mm.domus.NW080	4	0	12728	6500.2	6797.3	26001	12e3	1994	2016	domus	2
mm.domus.NW081	6	700	45e3	12054.3	16502.9	72326	10056	1994	1999	domus	1
mm.domus.NW082	4	6885	2e4	12407.5	5966.3	49630	6885	1994	2015	domus	2
mm.domus.NW083	4	8826	11385	10274	1156.1	41096	9885	1994	2006	domus	2
mm.domus.NW084	8	4221	27970	11864.5	9519.5	94916	27970	1994	2015	domus	3
mm.domus.NW085	6	15e4	317106	184517.7	65993.3	1107106	15e4	1994	2016	domus	2
mm.domus.NW086	6	25e3	12e4	75232.8	42089.2	451397	12e4	1994	1999	domus	1
mm.domus.NW087	5	29e3	35654	32061.6	3304.7	160308	3e4	1994	1999	domus	1
mm.domus.NW088	6	6e3	2e4	8822.3	5531.7	52934	6881	1994	2015	domus	2
mm.domus.NW089	2	0	0	0	0	NA	0	1994	1995	domus	1
mm.domus.NW090	2	0	0	0	0	NA	0	1994	1995	domus	1
mm.domus.NW091	1	0	0	0	NA	NA	0	1994	1994	domus	1
mm.domus.NW093	5	12e3	26268	19653.6	7047.8	98268	24e3	1994	2016	domus	3
mm.domus.NW094	7	0	5200	4252.9	1899.5	29770	4800	1994	2015	domus	2
mm.domus.NW095	7	40245	45e3	42892.1	1893.3	300245	44e3	1994	2016	domus	2
mm.domus.NW096	6	12200	35e3	17742.7	8841.3	106456	12211	1994	2015	domus	2
mm.domus.NW098	7	55e3	84656	66916.7	10421.5	468417	55e3	1994	2008	domus	2
mm.domus.NW099	12	0	747750	528809.1	182911	6345709	626410	1994	2015	domus	3
mm.domus.NW100	6	610765	770944	683951.7	54015.1	4103710	658898	2011	2016	visitbritain	2
mm.domus.NW101	6	237451	337799	266285.7	40056.7	1597714	240531	2011	2016	visitbritain	2
mm.domus.NW102	6	184730	221663	199635.8	14565.1	1197815	211641	2011	2015	visitbritain	2
mm.domus.NW103	5	622516	883295	729145	125154.8	3645725	662494	2011	2015	visitbritain	1
mm.domus.NW104	5	46194	66851	57789	8403.6	288945	46194	2011	2015	visitbritain	1
mm.domus.NW105	6	667526	1011056	782092.3	121175.4	4692554	747263	2011	2016	visitbritain	2
mm.domus.NW106	11	6298	18135	9040.1	3432.3	99441	11974	2e3	2016	visitbritain	4
mm.domus.NW109	2	229433	263154	246293.5	23844.3	492587	263154	2015	2016	ma(fam)	2
mm.domus.NW110	11	1419	4929	3458.1	842.1	38039	3800	1994	2015	domus	3
mm.domus.NW113	12	646	103411	46274.6	45882.2	555295	86595	1994	2016	domus	3
mm.domus.NW114	9	12500	17538	14995.8	2040.1	134962	17197	1994	2015	visitbritain	3
mm.domus.NW115	6	5500	12e3	7400	2309.1	44400	6800	1994	2009	domus	2
mm.domus.NW118	6	6085	3e4	11452.5	9272.4	68715	6085	1994	1999	domus	1
mm.domus.NW120	12	0	11836	7531.8	4186.8	90381	11346	1994	2016	domus	3
mm.domus.NW121	7	24e3	35228	29070.9	4047.1	203496	24e3	1994	2016	domus	2
mm.domus.NW122	6	0	17561	8745.3	6744.3	52472	2500	1994	1999	domus	1
mm.domus.NW125	7	100879	199879	125175	34442.6	876225	199879	1994	2016	domus	3
mm.domus.NW127	5	0	5562	2950.6	2015.9	14753	0	1994	1999	domus	1
mm.domus.NW128	5	0	3719	1868.2	1752	9341	0	1994	1999	domus	1
mm.domus.NW129	4	45e3	109026	63506.5	30612.5	254026	54e3	1994	2010	domus	2
mm.domus.NW130	2	0	1200	600	848.5	1200	0	1994	1997	domus	1
mm.domus.NW131	7	6e3	2e4	11857.1	4488.1	83e3	1e4	1994	2014	domus	2
mm.domus.NW132	4	0	25260	12190	14094.1	48760	0	1994	1999	domus	1
mm.domus.NW133	7	0	27251	3928.7	10284.6	27501	27251	1994	2004	domus	2
mm.domus.NW134	5	1080	1e4	4646	3334	23230	5e3	1994	1999	domus	1
mm.domus.NW135	1	0	0	0	NA	NA	0	1994	1994	domus	1
mm.domus.NW136	4	60973	9e4	73559.8	12130.8	294239	7e4	1994	2015	domus	2
mm.domus.NW137	3	22688	28141	24639	3039.4	73917	28141	1994	1999	domus	1
mm.domus.NW138	4	12734	25500	18702.5	5509.6	74810	20397	1994	2007	domus	2
mm.domus.NW139	7	0	21937	15310.9	7792.1	107176	16285	1994	2009	domus	2
mm.domus.NW140	12	0	10328	6782.7	3370.2	81392	8822	1994	2015	domus	3
mm.domus.NW141	5	0	13500	7400	6904.7	37e3	0	1994	1999	domus	1
mm.domus.NW142	4	15e3	20537	17375.8	2373.2	69503	15e3	1994	1998	domus	1
mm.domus.NW143	1	5e3	5e3	5e3	NA	5e3	5e3	1994	1994	domus	1
mm.domus.NW144	3	107337	17e4	132539	33081.3	397617	120280	1994	2014	domus	2
mm.domus.NW145	11	84669	453970	249337.1	148262.2	2742708	453970	1994	2015	domus	2
mm.domus.NW147	2	500	600	550	70.7	1100	500	1994	1997	domus	1
mm.domus.NW148	11	0	64614	25379.9	26252.9	279179	64614	1994	2015	domus	2
mm.domus.NW149	3	2e3	2e3	2e3	0	6e3	2e3	1994	1999	domus	1
mm.domus.NW150	7	0	5e3	1958.1	1742.5	13707	3551	1994	2012	domus	2
mm.domus.NW152	6	12924	2e4	18028.5	2550.6	108171	18869	1994	2010	domus	2
mm.domus.NW153	9	2e4	215931	110876.2	79750.6	997886	215931	1994	2015	visitbritain	3
mm.domus.NW155	5	0	173034	98909.8	90433.7	494549	161777	1994	1999	domus	1
mm.domus.NW156	5	0	26470	17547.6	10529.4	87738	24873	1994	1999	domus	1
mm.domus.NW157	5	0	35857	25563.6	14468.5	127818	30385	1994	1999	domus	1
mm.domus.NW158	5	0	49125	36429	20546.3	182145	47093	1994	1999	domus	1
mm.domus.NW160	11	740	1500	1044.4	234.2	11488	1100	1994	2015	domus	2
mm.domus.NW161	4	0	2447	611.8	1223.5	2447	0	1994	1997	domus	1
mm.domus.NW162	3	0	1701	567	982.1	1701	1701	1994	1998	domus	1
mm.domus.NW163	5	7500	19700	15834.4	4801.6	79172	16851	1994	2013	domus	2
mm.domus.NW164	5	23811	27263	24803.4	1396.6	124017	24400	1995	1999	domus	1
mm.domus.NW165	4	0	5e3	2e3	2449.5	8e3	0	1996	1999	domus	1
mm.domus.NW166	6	159454	376401	262448.7	79525.4	1574692	376401	1997	2015	domus	2
mm.domus.NW167	2	2670	3e3	2835	233.3	5670	2670	1999	2016	domus	2
mm.domus.NW169	7	124951	337687	242777	67024	1699439	285637	2011	2016	visitbritain	3
mm.domus.NW170	8	8e4	146675	116711.5	24426.7	933692	141563	1999	2016	visitbritain	4
mm.domus.NW171	7	67e3	148217	113709	26840.5	795963	148217	1999	2016	visitbritain	4
mm.domus.NW172	6	31446	5e4	39154.3	6983.1	234926	31446	1999	2016	visitbritain	4
mm.domus.NW174	6	72e3	105905	94536.2	12134.1	567217	92030	1999	2015	visitbritain	2
mm.domus.NW175	8	43393	55648	49914	4058.5	399312	55648	1999	2016	visitbritain	4
mm.domus.NW176	7	51067	115e3	97553	21331.7	682871	111983	1999	2016	visitbritain	3
mm.domus.NW177	1	23027	23027	23027	NA	23027	23027	1999	1999	domus	1
mm.domus.NW178	5	24204	33341	26897.6	3729.1	134488	25716	1999	2015	visitbritain	2
mm.domus.NW179	1	830	830	830	NA	830	830	1999	1999	domus	1
mm.domus.NW180	6	778500	875e3	835500	31892	5013e3	875e3	2011	2016	visitbritain	2
mm.domus.NW181	1	22306	22306	22306	NA	22306	22306	2014	2014	ma(fam)	1
mm.domus.NW182	3	468093	653552	532138.7	105200	1596416	468093	2014	2016	visitbritain	2
mm.domus.NW183	1	20066	20066	20066	NA	20066	20066	2014	2014	ma(fam)	1
mm.domus.NW187	4	4936	9343	6543.5	1933.8	26174	4936	2012	2015	visitbritain	1
mm.domus.NW189	6	15581	23050	19046.7	2590.5	114280	18978	2011	2016	visitbritain	2
mm.domus.NW191	1	20666	20666	20666	NA	20666	20666	2016	2016	mm	1
mm.domus.NW192	1	24322	24322	24322	NA	24322	24322	2016	2016	mm	1
mm.domus.SC001	2	0	6804	3402	4811.2	6804	6804	1994	1998	domus	1
mm.domus.SC002	8	180230	372e3	269400.6	58896.5	2155205	216147	1994	2012	domus	3
mm.domus.SC003	8	43731	169190	97447.6	41127	779581	68019	1994	2012	domus	3
mm.domus.SC004	4	58875	79e3	70868.8	8905.2	283475	58875	1994	1997	domus	1
mm.domus.SC005	7	55876	107e3	91781.7	17606.7	642472	55876	1994	2002	domus	2
mm.domus.SC006	4	2e3	2e3	2e3	0	8e3	2e3	1994	1998	domus	1
mm.domus.SC007	6	0	1e4	3600	4718.5	21600	500	1994	2002	domus	2
mm.domus.SC008	7	0	1500	477	667	3339	1389	1994	2002	domus	2
mm.domus.SC009	7	0	16e3	4225	5671.8	29575	3966	1994	2002	domus	2
mm.domus.SC010	1	260	260	260	NA	260	260	2002	2002	scottish_national_audit	1
mm.domus.SC011	8	0	2e3	1509.1	750	12073	973	1994	2016	domus	3
mm.domus.SC012	7	0	1e4	3943.7	4302.8	27606	2272	1994	2002	domus	2
mm.domus.SC013	8	43500	135e3	69614.8	28265.5	556918	61304	1994	2016	domus	3
mm.domus.SC014	6	53376	82291	62216.7	10658	373300	54404	1994	2009	domus	3
mm.domus.SC016	6	883	1753	1543.5	336.9	9261	1493	1994	2009	domus	3
mm.domus.SC017	8	0	4263	1977.9	1565.5	15823	3484	1994	2016	domus	3
mm.domus.SC018	8	9068	13237	12061	1507	96488	10473	1994	2013	domus	3
mm.domus.SC019	8	0	428	338	138.3	2704	361	1994	2013	domus	3
mm.domus.SC020	8	11878	25310	21575.1	4530	172601	23199	1994	2013	domus	3
mm.domus.SC021	7	0	5e3	3571.4	2439.8	25e3	5e3	1994	2002	domus	2
mm.domus.SC022	8	12355	21586	18082.6	4011.6	144661	21586	1994	2013	domus	3
mm.domus.SC023	8	0	5503	2312.9	2577	18503	3e3	1994	2013	domus	3
mm.domus.SC024	8	6631	9325	8092.2	992.1	64738	6897	1994	2011	domus	3
