project_id	LSOA_GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
mm.musa.023	E01025382	1	1	1	2	1	1	3	8	england
mm.ace.1086	E01031281	8	10	10	9	9	7	3	2	england
mm.domus.YH011	E01011054	9	9	8	7	7	7	8	8	england
mm.ace.1189	E01027358	6	5	5	4	6	7	10	8	england
mm.domus.SC271	S01007918	3	3	2	4	2	1	6	9	scotland
mm.aim.0052	W01000957	2	2	1	3	2	4	5	7	wales
mm.fcm.013	E01029343	4	4	3	3	4	7	5	7	england
mm.domus.EM014	E01019600	8	9	9	9	9	9	2	4	england
mm.wiki.206	E01023589	7	7	7	8	8	7	3	7	england
mm.musa.026	95SS11S2	8	8	9	8	9	7	3	1	northern_ireland
mm.hha.163	S01011046	6	8	8	6	10	9	6	1	scotland
mm.domus.NI025	95UU99C6	2	1	3	4	4	3	4	3	northern_ireland
mm.domus.NI023	95EE13W1	3	2	2	5	3	3	4	8	northern_ireland
mm.hha.164	S01006792	7	8	10	7	10	7	5	1	scotland
mm.aim.0054	E01027374	5	6	6	4	7	10	2	1	england
mm.domus.SE181	E01028435	2	3	2	2	2	1	2	6	england
mm.domus.SC028	S01006865	10	10	10	10	10	3	7	9	scotland
mm.wiki.237	E01025195	7	8	8	6	6	8	2	10	england
mm.domus.SC027	S01007032	4	4	3	4	5	1	6	10	scotland
mm.domus.WA102	W01000076	8	8	8	6	6	3	2	9	wales
mm.aim.0057	E01032739	7	10	10	10	9	9	1	2	england
mm.domus.YH111	E01010967	1	1	1	2	1	1	1	9	england
mm.wiki.416	95FF12W1	6	5	6	7	5	5	6	3	northern_ireland
mm.ace.1177	E01004733	5	5	4	9	7	8	1	3	england
mm.domus.WM015	E01010505	7	8	7	9	7	3	5	6	england
mm.aim.0058	E01013416	3	3	3	5	1	3	2	7	england
mm.domus.SW178	E01019012	4	4	4	6	5	4	1	6	england
mm.domus.WM082	E01033631	7	10	10	10	10	7	4	1	england
mm.domus.YH030	E01013366	3	5	4	6	4	1	1	5	england
mm.musa.031	E01021257	8	8	7	4	9	6	10	9	england
mm.aim82NM.012	W01000049	7	7	6	6	9	2	1	8	wales
mm.aim.0060	W01000049	7	7	6	6	9	2	1	8	wales
mm.nimc.013	95LL10S1	8	9	8	8	6	7	8	4	northern_ireland
mm.domus.SE004	E01000292	7	6	6	9	8	3	5	5	england
mm.aim.0062	E01020287	4	7	6	5	6	8	1	1	england
mm.domus.SC070	S01008133	4	4	4	9	2	3	6	10	scotland
mm.mgs.044	S01009014	5	5	4	5	6	7	6	2	scotland
mm.ace.1238	E01019527	1	1	1	1	1	6	6	7	england
mm.mald.052	W01001061	4	3	4	4	5	2	7	3	wales
mm.wiki.281	E01026580	6	6	5	5	6	7	9	3	england
mm.domus.SE518	E01016256	9	10	10	10	10	7	7	2	england
mm.domus.SE599	E01022468	8	9	9	8	8	8	8	1	england
mm.wiki.333	E01029279	5	7	7	8	9	9	1	1	england
mm.domus.EM015	E01028011	3	3	3	3	2	4	4	8	england
mm.domus.SE528	E01021098	7	7	7	7	8	9	2	7	england
mm.domus.SW095	E01014370	3	4	4	7	2	3	1	6	england
mm.domus.SW005	E01014370	3	4	4	7	2	3	1	6	england
mm.domus.SW174	E01014407	3	3	4	4	2	2	1	6	england
mm.domus.YH017	E01011917	1	1	1	1	1	1	1	2	england
mm.domus.SE187	E01021084	5	4	4	5	5	6	6	8	england
mm.wiki.150	E01033725	4	4	5	6	4	3	5	2	england
mm.wiki.255	E01026054	5	4	5	4	3	10	5	9	england
mm.musa.035	E01021594	3	6	4	3	6	3	2	1	england
mm.aim.0067	E01030059	6	7	7	7	9	9	2	2	england
mm.misc.137	E01021500	1	1	1	2	2	2	8	5	england
mm.musa.036	E01012929	4	4	4	2	6	5	4	8	england
mm.domus.YH033	E01013258	4	3	2	3	3	5	8	9	england
mm.domus.SW188	E01020496	4	4	3	2	4	7	7	8	england
mm.domus.NE004	E01020622	8	8	8	7	6	6	9	5	england
mm.domus.SE214	E01024124	6	10	10	7	8	1	2	4	england
mm.domus.NW172	E01019356	5	9	9	8	8	8	1	1	england
mm.musa.037	E01022999	5	8	10	7	10	4	1	1	england
mm.domus.WA007	W01000005	7	6	7	6	9	6	3	5	wales
mm.domus.SE418	E01030224	7	7	6	6	5	7	5	10	england
mm.domus.YH034	E01027794	9	7	7	7	10	9	6	8	england
mm.domus.SW004	E01014413	10	10	10	9	10	10	8	3	england
mm.domus.YH032	E01027588	8	8	9	6	8	9	5	5	england
mm.domus.SE339	E01015740	5	6	8	8	7	1	3	2	england
mm.aim.0993	E01031064	3	4	3	3	3	3	4	8	england
mm.aim.0074	E01024724	10	10	10	8	10	10	8	3	england
mm.domus.SE196	E01015895	1	1	1	1	1	2	3	4	england
mm.ace.1109	E01018372	7	8	9	9	9	10	3	2	england
mm.domus.EM069	E01013628	1	1	1	2	1	2	4	7	england
mm.musa.039	95TT02W1	7	5	7	8	7	10	6	2	northern_ireland
mm.wiki.419	95PP03W1	2	1	5	6	7	6	6	1	northern_ireland
mm.hha.011	E01024565	5	7	7	7	7	6	2	1	england
mm.wiki.064	E01019407	5	5	4	7	5	4	1	10	england
mm.musa.041	E01027447	5	9	9	8	8	10	1	1	england
mm.domus.EM088	E01026313	8	9	9	9	9	9	4	2	england
mm.hha.089	E01025887	5	8	9	7	9	7	1	1	england
mm.aim.0077	E01017284	9	7	9	6	9	10	5	6	england
mm.domus.SE005	E01000929	3	2	3	5	5	3	3	3	england
mm.domus.YH156	E01027619	9	10	10	8	10	10	8	2	england
mm.aim.0079	E01004736	5	10	10	7	10	3	1	2	england
mm.domus.SC072	S01013415	1	1	1	1	1	1	3	6	scotland
mm.domus.WM139	E01028841	4	5	5	4	5	3	2	3	england
mm.wiki.107	E01021165	7	10	10	9	10	7	2	1	england
mm.aim.0081	E01002225	9	9	10	10	10	5	8	3	england
mm.ace.1217	E01033445	8	8	8	5	7	9	5	8	england
mm.wiki.141	E01022353	8	7	7	5	8	8	6	10	england
mm.musa.042	E01016703	9	8	9	8	10	8	9	5	england
mm.ace.1116	E01016414	8	9	10	9	9	5	3	4	england
mm.domus.SE194	E01016596	10	9	10	10	10	8	8	4	england
mm.ace.1089	E01014097	5	7	7	8	8	9	1	1	england
mm.domus.NE006	E01027377	5	4	4	5	6	9	3	9	england
mm.domus.SE006	E01000769	4	6	4	7	6	1	8	3	england
mm.domus.YH168	E01013063	10	8	9	10	9	8	7	9	england
mm.ace.1118	E01013062	7	6	5	9	7	6	5	9	england
mm.domus.WM039	E01032428	5	7	5	7	7	4	1	2	england
mm.domus.SE192	E01021091	2	2	2	2	4	3	1	7	england
mm.domus.SE191	E01000331	4	4	3	3	6	5	6	2	england
mm.musa.045	E01019945	6	8	7	7	10	9	2	1	england
mm.wiki.076	E01020277	2	2	1	1	2	7	5	6	england
mm.domus.WA016	W01001489	3	3	3	4	4	1	4	5	wales
mm.mgs.223	S01012578	7	5	6	7	6	9	6	7	scotland
mm.domus.SC007	S01012578	7	5	6	7	6	9	6	7	scotland
mm.musa.046	S01012576	9	9	7	10	8	5	8	10	scotland
mm.musa.047	E01031479	6	9	8	8	8	10	2	1	england
mm.domus.WM014	E01010416	1	1	1	1	1	2	2	5	england
mm.musa.048	E01019225	5	8	8	8	8	10	1	1	england
mm.domus.NW059	E01007291	1	1	1	2	1	2	2	7	england
mm.ace.1208	E01033567	3	10	10	8	6	1	1	1	england
mm.domus.WM063	E01033620	3	8	9	8	5	3	1	1	england
mm.wiki.368	E01033561	3	5	8	3	3	2	1	1	england
mm.domus.WM113	E01009949	8	8	8	7	7	5	5	5	england
mm.domus.SE152	E01026425	2	2	2	1	3	4	7	3	england
mm.wiki.324	E01029258	9	9	8	7	9	9	5	7	england
mm.domus.SE087	E01023253	8	7	8	10	8	8	10	3	england
mm.ace.1240	E01028992	4	5	4	4	5	9	1	9	england
mm.domus.YH022	E01007985	7	6	8	8	4	10	3	9	england
mm.ace.504	E01023444	9	9	9	9	9	6	6	10	england
mm.aim.0098	E01020200	8	7	7	10	8	10	5	4	england
mm.musa.050	E01017224	7	9	9	9	7	1	2	10	england
mm.domus.WM110	E01014010	3	3	4	3	3	2	1	4	england
mm.domus.WM042	E01009757	3	3	2	2	3	2	2	5	england
mm.domus.SC038	S01011936	6	6	6	6	4	3	2	9	scotland
mm.domus.NW121	E01012644	3	3	4	2	3	4	2	9	england
mm.aim82M.004	E01017299	3	4	3	4	5	9	1	3	england
mm.domus.SC309	S01013431	2	2	2	3	2	2	6	5	scotland
mm.aim.0099	95GG40S2	1	2	1	1	1	1	2	9	northern_ireland
mm.ace.1128	E01019397	8	9	9	7	9	4	3	4	england
mm.mald.014	W01001489	3	3	3	4	4	1	4	5	wales
mm.wiki.452	W01001489	3	3	3	4	4	1	4	5	wales
mm.wiki.325	E01014747	9	9	8	10	9	10	3	3	england
mm.mald.015	W01001443	2	3	2	2	2	2	6	7	wales
mm.hha.169	S01011981	6	8	7	5	9	7	5	1	scotland
mm.domus.SC034	S01006853	8	10	10	10	10	7	9	1	scotland
mm.domus.SW012	E01032516	4	5	5	7	6	1	6	2	england
mm.domus.SW001	E01029112	3	3	2	3	4	2	2	6	england
mm.domus.WM066	E01009515	2	3	2	3	2	3	2	2	england
mm.ace.1112	E01020438	4	4	4	4	5	5	3	4	england
mm.domus.SW045	E01020438	4	4	4	4	5	5	3	4	england
mm.hha.017	E01028825	10	9	10	9	10	9	7	4	england
mm.musa.052	95OO16W1	5	5	7	4	6	5	6	2	northern_ireland
mm.ace.1278	E01016711	8	6	7	7	8	9	10	6	england
mm.domus.SE538	E01026502	7	7	8	7	7	9	5	2	england
mm.domus.WM126	E01014116	1	1	1	1	2	2	7	3	england
mm.domus.SE198	E01028476	10	8	9	10	10	9	10	10	england
mm.aim.1305	E01029258	9	9	8	7	9	9	5	7	england
mm.ace.1164	E01021025	7	9	9	8	10	7	3	1	england
mm.wiki.302	E01027440	8	9	8	8	6	7	10	3	england
mm.domus.SC073	S01009255	3	3	3	2	4	2	2	9	scotland
mm.domus.WA012	W01000191	5	6	6	4	6	2	2	4	wales
mm.musa.053	E01018935	5	5	5	5	6	3	6	4	england
mm.domus.SW013	E01018933	1	1	2	3	1	1	1	5	england
mm.hha.185	W01000223	8	8	8	8	6	3	8	6	wales
mm.aim.0105	E01031436	2	2	2	1	2	1	2	5	england
mm.domus.YH037	E01010613	1	1	1	2	2	2	1	5	england
mm.wiki.020	E01018576	10	9	9	10	9	9	5	9	england
mm.hha.118	E01027744	6	9	9	7	9	10	3	1	england
mm.domus.NW109	E01033217	1	1	1	4	1	1	2	4	england
mm.domus.NW016	E01004869	1	1	1	1	1	1	1	6	england
mm.fcm.026	S01009260	6	6	6	4	6	7	5	4	scotland
mm.domus.SE210	E01016935	6	5	7	8	5	4	3	4	england
mm.domus.SC289	S01012363	2	3	1	3	2	2	5	9	scotland
mm.domus.WM004	E01032226	8	8	8	7	8	6	10	3	england
mm.wiki.151	E01003932	2	2	2	5	1	2	1	1	england
mm.mald.019	W01001937	7	7	7	8	9	7	4	2	wales
mm.domus.WM118	E01029670	6	10	10	9	10	4	1	1	england
mm.wiki.395	E01032011	6	6	7	8	8	5	7	1	england
mm.domus.EM085	E01026025	3	4	3	2	4	1	1	7	england
mm.wiki.152	E01002563	5	6	7	9	8	2	3	2	england
mm.ace.1200	E01025818	5	7	7	7	8	8	2	1	england
mm.misc.114	E01018011	7	8	8	9	8	10	5	1	england
mm.aim.1076	E01027090	7	9	8	8	8	7	2	2	england
mm.domus.SE209	E01030390	8	7	7	6	7	8	5	9	england
mm.aim.0107	E01026298	5	4	4	4	4	8	5	6	england
mm.fcm.027	E01020365	7	7	7	7	7	7	5	3	england
mm.ace.1282	E01015290	1	3	2	2	1	1	1	4	england
