GSS	wimd_2014_dec	wimd_2014_dec_fac	income_dec	income_dec_fac	employment_dec	employment_dec_fac	health_dec	health_dec_fac	education_dec	education_dec_fac	access_to_services_dec	access_to_services_dec_fac	community_safety_dec	community_safety_dec_fac	physical_environment_dec	physical_environment_dec_fac	housing_dec	housing_dec_fac
W01000438	4	dec04	5	dec05	3	dec03	6	dec06	5	dec05	1	dec01-highd	9	dec09	8	dec08	9	dec09
W01000439	8	dec08	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	1	dec01-highd	10	dec10-lowd	5	dec05	6	dec06
W01000440	9	dec09	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	1	dec01-highd	10	dec10-lowd	7	dec07	9	dec09
W01000441	9	dec09	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	8	dec08
W01000442	7	dec07	8	dec08	9	dec09	9	dec09	8	dec08	1	dec01-highd	9	dec09	6	dec06	4	dec04
W01000443	8	dec08	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	1	dec01-highd	9	dec09	3	dec03	8	dec08
W01000444	8	dec08	9	dec09	9	dec09	10	dec10-lowd	8	dec08	1	dec01-highd	10	dec10-lowd	7	dec07	8	dec08
W01000445	7	dec07	9	dec09	9	dec09	9	dec09	7	dec07	1	dec01-highd	8	dec08	3	dec03	4	dec04
W01000446	8	dec08	7	dec07	7	dec07	8	dec08	6	dec06	6	dec06	5	dec05	8	dec08	5	dec05
W01000447	8	dec08	9	dec09	9	dec09	10	dec10-lowd	8	dec08	1	dec01-highd	9	dec09	7	dec07	5	dec05
W01000448	7	dec07	6	dec06	7	dec07	9	dec09	4	dec04	5	dec05	9	dec09	7	dec07	5	dec05
W01000449	7	dec07	7	dec07	7	dec07	7	dec07	5	dec05	5	dec05	5	dec05	2	dec02	5	dec05
W01000450	8	dec08	10	dec10-lowd	10	dec10-lowd	9	dec09	8	dec08	1	dec01-highd	10	dec10-lowd	7	dec07	5	dec05
W01000451	8	dec08	7	dec07	9	dec09	9	dec09	6	dec06	2	dec02	10	dec10-lowd	6	dec06	9	dec09
W01000452	5	dec05	7	dec07	7	dec07	9	dec09	7	dec07	1	dec01-highd	9	dec09	3	dec03	4	dec04
W01000453	8	dec08	8	dec08	10	dec10-lowd	10	dec10-lowd	8	dec08	1	dec01-highd	10	dec10-lowd	5	dec05	6	dec06
W01000454	3	dec03	2	dec02	2	dec02	5	dec05	5	dec05	8	dec08	1	dec01-highd	9	dec09	7	dec07
W01000455	6	dec06	4	dec04	5	dec05	6	dec06	4	dec04	7	dec07	8	dec08	8	dec08	6	dec06
W01000456	6	dec06	6	dec06	4	dec04	8	dec08	6	dec06	3	dec03	5	dec05	10	dec10-lowd	8	dec08
W01000457	8	dec08	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	1	dec01-highd	10	dec10-lowd	3	dec03	7	dec07
W01000458	8	dec08	8	dec08	8	dec08	9	dec09	9	dec09	2	dec02	7	dec07	4	dec04	7	dec07
W01000459	7	dec07	9	dec09	8	dec08	10	dec10-lowd	9	dec09	1	dec01-highd	7	dec07	5	dec05	8	dec08
W01000460	7	dec07	7	dec07	8	dec08	9	dec09	8	dec08	1	dec01-highd	7	dec07	3	dec03	4	dec04
W01000461	5	dec05	5	dec05	6	dec06	7	dec07	8	dec08	2	dec02	9	dec09	2	dec02	4	dec04
W01000464	7	dec07	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	7	dec07	1	dec01-highd	10	dec10-lowd	5	dec05	6	dec06
W01000465	8	dec08	9	dec09	10	dec10-lowd	9	dec09	10	dec10-lowd	1	dec01-highd	10	dec10-lowd	4	dec04	5	dec05
W01000466	8	dec08	7	dec07	7	dec07	9	dec09	6	dec06	5	dec05	8	dec08	7	dec07	9	dec09
W01000467	8	dec08	8	dec08	7	dec07	7	dec07	7	dec07	10	dec10-lowd	5	dec05	6	dec06	7	dec07
W01000470	7	dec07	7	dec07	9	dec09	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	3	dec03	4	dec04
W01000471	6	dec06	7	dec07	6	dec06	9	dec09	6	dec06	1	dec01-highd	8	dec08	6	dec06	6	dec06
W01000472	8	dec08	9	dec09	8	dec08	7	dec07	8	dec08	2	dec02	10	dec10-lowd	8	dec08	7	dec07
W01000473	6	dec06	6	dec06	6	dec06	5	dec05	5	dec05	6	dec06	7	dec07	6	dec06	6	dec06
W01000474	7	dec07	9	dec09	9	dec09	8	dec08	6	dec06	1	dec01-highd	8	dec08	6	dec06	8	dec08
W01000475	7	dec07	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	1	dec01-highd	10	dec10-lowd	5	dec05	3	dec03
W01000476	8	dec08	8	dec08	9	dec09	9	dec09	9	dec09	2	dec02	9	dec09	6	dec06	4	dec04
W01000477	7	dec07	8	dec08	9	dec09	10	dec10-lowd	7	dec07	1	dec01-highd	10	dec10-lowd	6	dec06	7	dec07
W01000478	3	dec03	2	dec02	2	dec02	3	dec03	3	dec03	3	dec03	2	dec02	7	dec07	5	dec05
W01000479	3	dec03	2	dec02	5	dec05	2	dec02	3	dec03	7	dec07	2	dec02	10	dec10-lowd	5	dec05
W01000480	3	dec03	3	dec03	4	dec04	4	dec04	4	dec04	4	dec04	1	dec01-highd	3	dec03	2	dec02
W01000481	9	dec09	9	dec09	9	dec09	9	dec09	10	dec10-lowd	4	dec04	10	dec10-lowd	4	dec04	9	dec09
W01000482	9	dec09	7	dec07	7	dec07	9	dec09	8	dec08	6	dec06	7	dec07	8	dec08	5	dec05
W01000483	2	dec02	2	dec02	2	dec02	3	dec03	2	dec02	3	dec03	2	dec02	8	dec08	3	dec03
W01000484	7	dec07	9	dec09	9	dec09	10	dec10-lowd	8	dec08	1	dec01-highd	10	dec10-lowd	7	dec07	6	dec06
W01000485	8	dec08	9	dec09	9	dec09	9	dec09	5	dec05	2	dec02	9	dec09	6	dec06	6	dec06
W01000486	7	dec07	6	dec06	7	dec07	8	dec08	4	dec04	6	dec06	8	dec08	5	dec05	4	dec04
W01000487	6	dec06	6	dec06	6	dec06	5	dec05	5	dec05	2	dec02	7	dec07	9	dec09	7	dec07
W01000488	7	dec07	9	dec09	9	dec09	9	dec09	8	dec08	1	dec01-highd	10	dec10-lowd	5	dec05	4	dec04
W01000489	6	dec06	6	dec06	5	dec05	5	dec05	6	dec06	4	dec04	6	dec06	7	dec07	5	dec05
W01000492	7	dec07	7	dec07	7	dec07	8	dec08	8	dec08	8	dec08	1	dec01-highd	6	dec06	2	dec02
W01000493	9	dec09	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	7	dec07	3	dec03	7	dec07	10	dec10-lowd	8	dec08
W01000494	7	dec07	8	dec08	8	dec08	6	dec06	7	dec07	2	dec02	7	dec07	6	dec06	7	dec07
W01000496	6	dec06	7	dec07	6	dec06	6	dec06	6	dec06	1	dec01-highd	8	dec08	8	dec08	9	dec09
W01000497	7	dec07	9	dec09	9	dec09	10	dec10-lowd	7	dec07	1	dec01-highd	10	dec10-lowd	9	dec09	4	dec04
W01000498	2	dec02	2	dec02	3	dec03	3	dec03	3	dec03	2	dec02	2	dec02	3	dec03	1	dec01-highd
W01000499	3	dec03	4	dec04	4	dec04	2	dec02	4	dec04	7	dec07	3	dec03	1	dec01-highd	1	dec01-highd
W01000500	6	dec06	6	dec06	7	dec07	7	dec07	6	dec06	2	dec02	9	dec09	4	dec04	6	dec06
W01000501	7	dec07	6	dec06	6	dec06	7	dec07	5	dec05	8	dec08	5	dec05	6	dec06	3	dec03
W01000502	6	dec06	7	dec07	4	dec04	6	dec06	8	dec08	5	dec05	5	dec05	1	dec01-highd	9	dec09
W01000503	8	dec08	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	1	dec01-highd	10	dec10-lowd	8	dec08	8	dec08
W01000504	1	dec01-highd	2	dec02	1	dec01-highd	1	dec01-highd	2	dec02	3	dec03	3	dec03	10	dec10-lowd	5	dec05
W01000505	5	dec05	5	dec05	4	dec04	5	dec05	5	dec05	4	dec04	3	dec03	2	dec02	9	dec09
W01000506	8	dec08	6	dec06	6	dec06	9	dec09	8	dec08	7	dec07	6	dec06	4	dec04	6	dec06
W01000507	7	dec07	7	dec07	7	dec07	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	6	dec06
W01000508	4	dec04	4	dec04	5	dec05	5	dec05	3	dec03	2	dec02	9	dec09	7	dec07	2	dec02
W01000509	6	dec06	4	dec04	4	dec04	5	dec05	6	dec06	5	dec05	9	dec09	7	dec07	8	dec08
W01000510	3	dec03	3	dec03	3	dec03	3	dec03	6	dec06	7	dec07	2	dec02	6	dec06	2	dec02
W01000511	1	dec01-highd	1	dec01-highd	1	dec01-highd	3	dec03	3	dec03	3	dec03	1	dec01-highd	2	dec02	1	dec01-highd
W01000512	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	8	dec08	10	dec10-lowd	8	dec08	8	dec08	9	dec09	3	dec03
W01000513	7	dec07	10	dec10-lowd	10	dec10-lowd	6	dec06	7	dec07	9	dec09	1	dec01-highd	7	dec07	1	dec01-highd
W01000515	3	dec03	3	dec03	3	dec03	5	dec05	4	dec04	4	dec04	5	dec05	10	dec10-lowd	2	dec02
W01000516	4	dec04	3	dec03	5	dec05	6	dec06	3	dec03	3	dec03	7	dec07	9	dec09	1	dec01-highd
W01000517	8	dec08	9	dec09	8	dec08	8	dec08	9	dec09	7	dec07	1	dec01-highd	7	dec07	1	dec01-highd
W01000518	5	dec05	6	dec06	7	dec07	7	dec07	5	dec05	4	dec04	3	dec03	3	dec03	1	dec01-highd
W01000519	6	dec06	7	dec07	7	dec07	7	dec07	7	dec07	1	dec01-highd	10	dec10-lowd	7	dec07	4	dec04
W01000522	5	dec05	6	dec06	6	dec06	7	dec07	7	dec07	1	dec01-highd	9	dec09	8	dec08	2	dec02
W01000523	7	dec07	8	dec08	8	dec08	10	dec10-lowd	8	dec08	1	dec01-highd	9	dec09	5	dec05	4	dec04
W01000524	6	dec06	7	dec07	7	dec07	8	dec08	6	dec06	1	dec01-highd	9	dec09	9	dec09	3	dec03
W01000525	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	10	dec10-lowd	2	dec02	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd
W01000527	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	9	dec09	8	dec08	4	dec04	3	dec03	1	dec01-highd
W01000528	5	dec05	5	dec05	5	dec05	9	dec09	6	dec06	4	dec04	5	dec05	2	dec02	2	dec02
W01000529	5	dec05	5	dec05	5	dec05	9	dec09	5	dec05	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	5	dec05
W01000531	5	dec05	5	dec05	5	dec05	6	dec06	6	dec06	2	dec02	8	dec08	7	dec07	4	dec04
W01000532	7	dec07	8	dec08	8	dec08	9	dec09	7	dec07	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	2	dec02
W01000533	5	dec05	5	dec05	4	dec04	5	dec05	5	dec05	7	dec07	4	dec04	3	dec03	4	dec04
W01000534	9	dec09	9	dec09	9	dec09	9	dec09	9	dec09	2	dec02	10	dec10-lowd	7	dec07	6	dec06
W01000535	5	dec05	6	dec06	6	dec06	7	dec07	6	dec06	1	dec01-highd	9	dec09	7	dec07	2	dec02
W01000536	5	dec05	5	dec05	6	dec06	9	dec09	5	dec05	1	dec01-highd	10	dec10-lowd	10	dec10-lowd	5	dec05
W01000537	5	dec05	5	dec05	6	dec06	10	dec10-lowd	6	dec06	1	dec01-highd	8	dec08	7	dec07	2	dec02
W01000538	6	dec06	7	dec07	8	dec08	8	dec08	8	dec08	1	dec01-highd	9	dec09	6	dec06	3	dec03
