GSS	wimd_2014_dec	wimd_2014_dec_fac	income_dec	income_dec_fac	employment_dec	employment_dec_fac	health_dec	health_dec_fac	education_dec	education_dec_fac	access_to_services_dec	access_to_services_dec_fac	community_safety_dec	community_safety_dec_fac	physical_environment_dec	physical_environment_dec_fac	housing_dec	housing_dec_fac
W01000605	4	dec04	5	dec05	5	dec05	3	dec03	5	dec05	2	dec02	5	dec05	8	dec08	2	dec02
W01000606	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	2	dec02	3	dec03	3	dec03	10	dec10-lowd	1	dec01-highd
W01000607	3	dec03	3	dec03	3	dec03	2	dec02	2	dec02	7	dec07	4	dec04	7	dec07	3	dec03
W01000608	3	dec03	4	dec04	3	dec03	4	dec04	4	dec04	5	dec05	1	dec01-highd	6	dec06	2	dec02
W01000609	8	dec08	8	dec08	7	dec07	8	dec08	8	dec08	3	dec03	9	dec09	10	dec10-lowd	8	dec08
W01000610	8	dec08	9	dec09	8	dec08	7	dec07	10	dec10-lowd	2	dec02	8	dec08	9	dec09	7	dec07
W01000611	9	dec09	9	dec09	8	dec08	9	dec09	9	dec09	2	dec02	9	dec09	8	dec08	7	dec07
W01000612	6	dec06	7	dec07	5	dec05	5	dec05	9	dec09	2	dec02	7	dec07	9	dec09	5	dec05
W01000613	6	dec06	6	dec06	7	dec07	8	dec08	8	dec08	1	dec01-highd	9	dec09	8	dec08	3	dec03
W01000614	6	dec06	8	dec08	8	dec08	9	dec09	7	dec07	1	dec01-highd	9	dec09	5	dec05	5	dec05
W01000615	9	dec09	8	dec08	8	dec08	8	dec08	8	dec08	3	dec03	9	dec09	10	dec10-lowd	5	dec05
W01000616	8	dec08	7	dec07	8	dec08	9	dec09	8	dec08	5	dec05	2	dec02	7	dec07	3	dec03
W01000617	5	dec05	5	dec05	6	dec06	6	dec06	5	dec05	1	dec01-highd	9	dec09	8	dec08	3	dec03
W01000618	7	dec07	7	dec07	9	dec09	8	dec08	8	dec08	1	dec01-highd	9	dec09	6	dec06	3	dec03
W01000619	9	dec09	6	dec06	7	dec07	7	dec07	8	dec08	9	dec09	9	dec09	10	dec10-lowd	6	dec06
W01000620	7	dec07	6	dec06	6	dec06	8	dec08	7	dec07	6	dec06	1	dec01-highd	9	dec09	5	dec05
W01000621	5	dec05	5	dec05	5	dec05	5	dec05	4	dec04	3	dec03	2	dec02	7	dec07	2	dec02
W01000622	8	dec08	9	dec09	8	dec08	9	dec09	8	dec08	1	dec01-highd	8	dec08	6	dec06	7	dec07
W01000623	7	dec07	8	dec08	9	dec09	8	dec08	9	dec09	1	dec01-highd	10	dec10-lowd	7	dec07	8	dec08
W01000624	8	dec08	9	dec09	10	dec10-lowd	7	dec07	9	dec09	1	dec01-highd	10	dec10-lowd	7	dec07	8	dec08
W01000625	2	dec02	3	dec03	2	dec02	1	dec01-highd	4	dec04	3	dec03	4	dec04	2	dec02	8	dec08
W01000626	3	dec03	3	dec03	2	dec02	3	dec03	6	dec06	9	dec09	1	dec01-highd	4	dec04	8	dec08
W01000627	5	dec05	5	dec05	5	dec05	4	dec04	5	dec05	2	dec02	7	dec07	4	dec04	7	dec07
W01000628	6	dec06	8	dec08	7	dec07	2	dec02	6	dec06	8	dec08	3	dec03	2	dec02	7	dec07
W01000629	5	dec05	5	dec05	4	dec04	5	dec05	4	dec04	8	dec08	3	dec03	5	dec05	3	dec03
W01000630	6	dec06	5	dec05	5	dec05	5	dec05	5	dec05	8	dec08	5	dec05	4	dec04	4	dec04
W01000631	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	4	dec04	2	dec02	3	dec03	4	dec04
W01000632	5	dec05	3	dec03	3	dec03	6	dec06	5	dec05	10	dec10-lowd	6	dec06	9	dec09	7	dec07
W01000633	3	dec03	3	dec03	2	dec02	5	dec05	3	dec03	4	dec04	3	dec03	4	dec04	5	dec05
W01000634	8	dec08	7	dec07	5	dec05	8	dec08	8	dec08	5	dec05	9	dec09	7	dec07	9	dec09
W01000635	6	dec06	7	dec07	7	dec07	6	dec06	7	dec07	3	dec03	7	dec07	1	dec01-highd	8	dec08
W01000636	4	dec04	4	dec04	4	dec04	3	dec03	3	dec03	4	dec04	6	dec06	7	dec07	6	dec06
W01000637	4	dec04	4	dec04	3	dec03	5	dec05	3	dec03	7	dec07	6	dec06	5	dec05	4	dec04
W01000638	2	dec02	1	dec01-highd	3	dec03	3	dec03	1	dec01-highd	6	dec06	2	dec02	9	dec09	2	dec02
W01000639	6	dec06	5	dec05	5	dec05	5	dec05	7	dec07	10	dec10-lowd	3	dec03	5	dec05	5	dec05
W01000640	10	dec10-lowd	10	dec10-lowd	9	dec09	10	dec10-lowd	9	dec09	5	dec05	7	dec07	8	dec08	9	dec09
W01000641	3	dec03	4	dec04	3	dec03	6	dec06	3	dec03	5	dec05	1	dec01-highd	4	dec04	1	dec01-highd
W01000642	7	dec07	9	dec09	8	dec08	4	dec04	8	dec08	3	dec03	7	dec07	1	dec01-highd	9	dec09
W01000643	5	dec05	6	dec06	6	dec06	4	dec04	4	dec04	7	dec07	7	dec07	2	dec02	7	dec07
W01000644	8	dec08	8	dec08	8	dec08	8	dec08	8	dec08	4	dec04	8	dec08	3	dec03	5	dec05
W01000645	6	dec06	6	dec06	5	dec05	7	dec07	7	dec07	6	dec06	5	dec05	3	dec03	3	dec03
W01000646	4	dec04	5	dec05	5	dec05	5	dec05	5	dec05	1	dec01-highd	7	dec07	4	dec04	3	dec03
W01000647	6	dec06	8	dec08	7	dec07	9	dec09	7	dec07	1	dec01-highd	10	dec10-lowd	6	dec06	2	dec02
W01000648	6	dec06	8	dec08	8	dec08	8	dec08	9	dec09	1	dec01-highd	10	dec10-lowd	5	dec05	2	dec02
W01000649	8	dec08	9	dec09	8	dec08	9	dec09	9	dec09	1	dec01-highd	9	dec09	5	dec05	8	dec08
W01000650	5	dec05	6	dec06	7	dec07	9	dec09	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	5	dec05
W01000651	7	dec07	6	dec06	5	dec05	6	dec06	8	dec08	9	dec09	6	dec06	2	dec02	8	dec08
W01000652	4	dec04	3	dec03	4	dec04	6	dec06	3	dec03	6	dec06	4	dec04	7	dec07	4	dec04
W01000653	6	dec06	6	dec06	5	dec05	3	dec03	8	dec08	10	dec10-lowd	5	dec05	2	dec02	9	dec09
W01000654	3	dec03	4	dec04	3	dec03	3	dec03	5	dec05	10	dec10-lowd	1	dec01-highd	1	dec01-highd	6	dec06
W01000655	3	dec03	3	dec03	3	dec03	3	dec03	3	dec03	5	dec05	5	dec05	5	dec05	5	dec05
W01000656	4	dec04	4	dec04	3	dec03	3	dec03	4	dec04	6	dec06	5	dec05	5	dec05	8	dec08
W01000657	3	dec03	4	dec04	3	dec03	2	dec02	4	dec04	2	dec02	6	dec06	5	dec05	7	dec07
W01000658	3	dec03	3	dec03	2	dec02	3	dec03	5	dec05	6	dec06	7	dec07	2	dec02	8	dec08
W01000659	2	dec02	2	dec02	2	dec02	2	dec02	2	dec02	4	dec04	3	dec03	1	dec01-highd	2	dec02
W01000660	2	dec02	3	dec03	2	dec02	3	dec03	2	dec02	4	dec04	4	dec04	2	dec02	4	dec04
W01000662	5	dec05	6	dec06	5	dec05	3	dec03	6	dec06	2	dec02	7	dec07	10	dec10-lowd	7	dec07
W01000663	8	dec08	6	dec06	7	dec07	6	dec06	6	dec06	5	dec05	9	dec09	6	dec06	8	dec08
W01000664	7	dec07	7	dec07	5	dec05	7	dec07	6	dec06	5	dec05	10	dec10-lowd	4	dec04	8	dec08
W01000665	10	dec10-lowd	9	dec09	9	dec09	10	dec10-lowd	9	dec09	6	dec06	10	dec10-lowd	9	dec09	8	dec08
W01000666	6	dec06	5	dec05	6	dec06	4	dec04	6	dec06	8	dec08	7	dec07	5	dec05	7	dec07
W01000667	6	dec06	7	dec07	4	dec04	6	dec06	6	dec06	7	dec07	7	dec07	2	dec02	9	dec09
W01000670	3	dec03	3	dec03	2	dec02	2	dec02	3	dec03	6	dec06	4	dec04	10	dec10-lowd	4	dec04
W01000671	6	dec06	6	dec06	6	dec06	5	dec05	7	dec07	2	dec02	8	dec08	9	dec09	7	dec07
W01000672	4	dec04	6	dec06	6	dec06	7	dec07	4	dec04	1	dec01-highd	8	dec08	6	dec06	3	dec03
W01000673	6	dec06	7	dec07	7	dec07	8	dec08	5	dec05	2	dec02	8	dec08	4	dec04	6	dec06
W01000674	6	dec06	7	dec07	8	dec08	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	2	dec02
W01000675	7	dec07	8	dec08	8	dec08	7	dec07	8	dec08	1	dec01-highd	10	dec10-lowd	6	dec06	5	dec05
W01000676	8	dec08	8	dec08	8	dec08	8	dec08	10	dec10-lowd	1	dec01-highd	8	dec08	7	dec07	9	dec09
W01000677	5	dec05	4	dec04	4	dec04	4	dec04	8	dec08	9	dec09	4	dec04	7	dec07	4	dec04
W01000678	4	dec04	5	dec05	6	dec06	5	dec05	6	dec06	1	dec01-highd	9	dec09	5	dec05	3	dec03
W01000679	7	dec07	6	dec06	6	dec06	6	dec06	6	dec06	8	dec08	8	dec08	3	dec03	4	dec04
W01000680	8	dec08	8	dec08	8	dec08	7	dec07	9	dec09	3	dec03	9	dec09	2	dec02	9	dec09
W01000681	4	dec04	5	dec05	3	dec03	4	dec04	4	dec04	2	dec02	6	dec06	3	dec03	7	dec07
W01000682	8	dec08	8	dec08	9	dec09	10	dec10-lowd	9	dec09	1	dec01-highd	10	dec10-lowd	4	dec04	7	dec07
W01000683	4	dec04	6	dec06	7	dec07	9	dec09	8	dec08	1	dec01-highd	10	dec10-lowd	5	dec05	1	dec01-highd
W01000684	7	dec07	8	dec08	7	dec07	8	dec08	8	dec08	1	dec01-highd	9	dec09	6	dec06	8	dec08
W01000685	5	dec05	5	dec05	6	dec06	6	dec06	5	dec05	1	dec01-highd	6	dec06	5	dec05	2	dec02
W01000686	7	dec07	8	dec08	8	dec08	7	dec07	7	dec07	1	dec01-highd	10	dec10-lowd	9	dec09	7	dec07
W01000687	6	dec06	8	dec08	7	dec07	8	dec08	7	dec07	1	dec01-highd	10	dec10-lowd	3	dec03	3	dec03
W01000688	4	dec04	3	dec03	5	dec05	5	dec05	4	dec04	1	dec01-highd	9	dec09	3	dec03	3	dec03
W01000689	6	dec06	6	dec06	7	dec07	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	3	dec03
W01000690	7	dec07	7	dec07	6	dec06	6	dec06	7	dec07	4	dec04	8	dec08	8	dec08	7	dec07
W01000691	6	dec06	6	dec06	5	dec05	6	dec06	6	dec06	3	dec03	9	dec09	10	dec10-lowd	6	dec06
W01000692	7	dec07	6	dec06	6	dec06	5	dec05	6	dec06	6	dec06	8	dec08	3	dec03	9	dec09
W01000693	5	dec05	6	dec06	5	dec05	6	dec06	6	dec06	2	dec02	7	dec07	6	dec06	6	dec06
W01000694	8	dec08	9	dec09	8	dec08	9	dec09	8	dec08	2	dec02	6	dec06	7	dec07	7	dec07
W01000695	3	dec03	4	dec04	3	dec03	3	dec03	3	dec03	2	dec02	9	dec09	9	dec09	5	dec05
W01000696	5	dec05	6	dec06	5	dec05	6	dec06	5	dec05	2	dec02	9	dec09	9	dec09	5	dec05
W01000697	4	dec04	5	dec05	4	dec04	3	dec03	3	dec03	6	dec06	6	dec06	4	dec04	5	dec05
W01000698	5	dec05	4	dec04	4	dec04	4	dec04	5	dec05	3	dec03	8	dec08	6	dec06	7	dec07
W01000699	8	dec08	8	dec08	8	dec08	6	dec06	8	dec08	1	dec01-highd	10	dec10-lowd	7	dec07	9	dec09
W01000700	6	dec06	9	dec09	9	dec09	6	dec06	8	dec08	1	dec01-highd	10	dec10-lowd	7	dec07	7	dec07
W01000701	6	dec06	7	dec07	7	dec07	7	dec07	6	dec06	1	dec01-highd	9	dec09	7	dec07	4	dec04
W01000702	4	dec04	5	dec05	6	dec06	5	dec05	4	dec04	2	dec02	6	dec06	1	dec01-highd	6	dec06
W01000703	4	dec04	4	dec04	3	dec03	5	dec05	4	dec04	9	dec09	1	dec01-highd	5	dec05	2	dec02
W01000704	8	dec08	7	dec07	6	dec06	5	dec05	8	dec08	6	dec06	7	dec07	6	dec06	10	dec10-lowd
W01000705	2	dec02	2	dec02	3	dec03	1	dec01-highd	4	dec04	5	dec05	5	dec05	3	dec03	4	dec04
W01000706	5	dec05	4	dec04	4	dec04	5	dec05	4	dec04	9	dec09	5	dec05	3	dec03	6	dec06
W01000707	2	dec02	2	dec02	2	dec02	2	dec02	2	dec02	9	dec09	5	dec05	5	dec05	2	dec02
W01000708	1	dec01-highd	2	dec02	1	dec01-highd	1	dec01-highd	1	dec01-highd	5	dec05	2	dec02	2	dec02	3	dec03
W01000709	6	dec06	7	dec07	7	dec07	8	dec08	8	dec08	1	dec01-highd	10	dec10-lowd	8	dec08	4	dec04
W01000710	9	dec09	8	dec08	8	dec08	6	dec06	9	dec09	6	dec06	10	dec10-lowd	8	dec08	10	dec10-lowd
W01000711	3	dec03	3	dec03	2	dec02	3	dec03	3	dec03	3	dec03	6	dec06	10	dec10-lowd	3	dec03
W01000712	7	dec07	7	dec07	6	dec06	6	dec06	6	dec06	4	dec04	8	dec08	9	dec09	7	dec07
W01000713	6	dec06	6	dec06	5	dec05	3	dec03	7	dec07	3	dec03	9	dec09	7	dec07	9	dec09
W01000714	3	dec03	3	dec03	3	dec03	2	dec02	4	dec04	9	dec09	5	dec05	3	dec03	8	dec08
W01000715	8	dec08	8	dec08	7	dec07	9	dec09	8	dec08	4	dec04	8	dec08	6	dec06	9	dec09
W01000716	6	dec06	6	dec06	6	dec06	6	dec06	5	dec05	3	dec03	9	dec09	8	dec08	5	dec05
W01000717	5	dec05	5	dec05	4	dec04	5	dec05	3	dec03	5	dec05	9	dec09	8	dec08	5	dec05
W01000718	4	dec04	3	dec03	4	dec04	2	dec02	5	dec05	7	dec07	7	dec07	4	dec04	8	dec08
W01000719	5	dec05	5	dec05	4	dec04	4	dec04	5	dec05	3	dec03	7	dec07	5	dec05	3	dec03
W01000720	6	dec06	7	dec07	6	dec06	4	dec04	5	dec05	4	dec04	6	dec06	9	dec09	5	dec05
W01000721	6	dec06	6	dec06	7	dec07	7	dec07	5	dec05	2	dec02	9	dec09	7	dec07	6	dec06
W01000722	9	dec09	9	dec09	9	dec09	8	dec08	9	dec09	1	dec01-highd	10	dec10-lowd	7	dec07	8	dec08
W01000723	5	dec05	7	dec07	6	dec06	4	dec04	8	dec08	1	dec01-highd	8	dec08	4	dec04	6	dec06
W01000724	4	dec04	5	dec05	5	dec05	3	dec03	4	dec04	2	dec02	8	dec08	8	dec08	5	dec05
W01000725	5	dec05	6	dec06	5	dec05	4	dec04	6	dec06	2	dec02	10	dec10-lowd	3	dec03	8	dec08
W01000726	10	dec10-lowd	10	dec10-lowd	9	dec09	8	dec08	10	dec10-lowd	3	dec03	10	dec10-lowd	9	dec09	10	dec10-lowd
W01000727	8	dec08	8	dec08	6	dec06	5	dec05	7	dec07	3	dec03	9	dec09	9	dec09	10	dec10-lowd
W01000728	5	dec05	7	dec07	8	dec08	8	dec08	7	dec07	1	dec01-highd	9	dec09	8	dec08	2	dec02
W01000729	2	dec02	2	dec02	2	dec02	2	dec02	2	dec02	2	dec02	7	dec07	10	dec10-lowd	4	dec04
W01000730	4	dec04	4	dec04	3	dec03	3	dec03	4	dec04	2	dec02	9	dec09	6	dec06	3	dec03
W01000731	7	dec07	6	dec06	6	dec06	5	dec05	6	dec06	4	dec04	8	dec08	9	dec09	7	dec07
W01000732	3	dec03	4	dec04	3	dec03	3	dec03	3	dec03	10	dec10-lowd	1	dec01-highd	2	dec02	3	dec03
W01000733	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	8	dec08	1	dec01-highd	2	dec02	2	dec02
W01000734	1	dec01-highd	2	dec02	1	dec01-highd	3	dec03	2	dec02	7	dec07	1	dec01-highd	2	dec02	3	dec03
W01000735	7	dec07	8	dec08	7	dec07	6	dec06	6	dec06	2	dec02	8	dec08	6	dec06	7	dec07
W01000736	10	dec10-lowd	10	dec10-lowd	9	dec09	10	dec10-lowd	10	dec10-lowd	4	dec04	10	dec10-lowd	10	dec10-lowd	9	dec09
W01000737	9	dec09	10	dec10-lowd	9	dec09	6	dec06	10	dec10-lowd	3	dec03	9	dec09	10	dec10-lowd	7	dec07
W01000738	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	2	dec02	4	dec04	1	dec01-highd	5	dec05	4	dec04
W01000739	2	dec02	2	dec02	4	dec04	1	dec01-highd	2	dec02	5	dec05	5	dec05	1	dec01-highd	2	dec02
W01000740	5	dec05	6	dec06	5	dec05	2	dec02	6	dec06	4	dec04	6	dec06	5	dec05	8	dec08
W01000741	2	dec02	2	dec02	3	dec03	3	dec03	3	dec03	6	dec06	2	dec02	5	dec05	4	dec04
W01000742	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	10	dec10-lowd	1	dec01-highd	3	dec03	4	dec04
W01000744	2	dec02	2	dec02	2	dec02	2	dec02	2	dec02	10	dec10-lowd	1	dec01-highd	3	dec03	1	dec01-highd
W01000745	2	dec02	2	dec02	4	dec04	1	dec01-highd	5	dec05	9	dec09	1	dec01-highd	7	dec07	1	dec01-highd
W01000746	4	dec04	5	dec05	5	dec05	5	dec05	3	dec03	9	dec09	2	dec02	5	dec05	2	dec02
W01000747	5	dec05	4	dec04	7	dec07	4	dec04	7	dec07	10	dec10-lowd	3	dec03	6	dec06	1	dec01-highd
W01000749	4	dec04	4	dec04	5	dec05	4	dec04	6	dec06	4	dec04	1	dec01-highd	8	dec08	2	dec02
W01000750	4	dec04	4	dec04	3	dec03	4	dec04	4	dec04	6	dec06	7	dec07	3	dec03	7	dec07
W01000751	9	dec09	9	dec09	7	dec07	7	dec07	9	dec09	5	dec05	9	dec09	3	dec03	9	dec09
W01000752	2	dec02	2	dec02	3	dec03	2	dec02	2	dec02	7	dec07	5	dec05	1	dec01-highd	3	dec03
W01000753	4	dec04	3	dec03	4	dec04	4	dec04	5	dec05	7	dec07	6	dec06	3	dec03	6	dec06
W01000754	4	dec04	5	dec05	4	dec04	4	dec04	5	dec05	10	dec10-lowd	3	dec03	1	dec01-highd	9	dec09
W01000755	6	dec06	6	dec06	5	dec05	6	dec06	4	dec04	6	dec06	3	dec03	8	dec08	5	dec05
W01000756	2	dec02	2	dec02	1	dec01-highd	1	dec01-highd	3	dec03	2	dec02	1	dec01-highd	7	dec07	7	dec07
W01000757	5	dec05	5	dec05	4	dec04	4	dec04	5	dec05	7	dec07	5	dec05	9	dec09	9	dec09
W01000758	7	dec07	5	dec05	6	dec06	4	dec04	7	dec07	8	dec08	4	dec04	10	dec10-lowd	9	dec09
W01000759	8	dec08	8	dec08	7	dec07	4	dec04	9	dec09	6	dec06	8	dec08	5	dec05	10	dec10-lowd
W01000760	4	dec04	5	dec05	5	dec05	4	dec04	4	dec04	4	dec04	3	dec03	6	dec06	7	dec07
W01000761	5	dec05	4	dec04	5	dec05	4	dec04	3	dec03	9	dec09	4	dec04	8	dec08	5	dec05
W01000762	2	dec02	1	dec01-highd	2	dec02	2	dec02	1	dec01-highd	8	dec08	2	dec02	7	dec07	4	dec04
W01000763	5	dec05	4	dec04	6	dec06	6	dec06	4	dec04	10	dec10-lowd	6	dec06	3	dec03	3	dec03
W01000764	5	dec05	4	dec04	5	dec05	6	dec06	5	dec05	9	dec09	3	dec03	5	dec05	4	dec04
W01000765	5	dec05	4	dec04	5	dec05	6	dec06	4	dec04	9	dec09	3	dec03	3	dec03	3	dec03
W01000766	7	dec07	6	dec06	6	dec06	6	dec06	6	dec06	10	dec10-lowd	6	dec06	4	dec04	4	dec04
W01000767	3	dec03	2	dec02	3	dec03	4	dec04	3	dec03	9	dec09	2	dec02	6	dec06	4	dec04
W01000768	9	dec09	8	dec08	7	dec07	6	dec06	7	dec07	7	dec07	9	dec09	10	dec10-lowd	9	dec09
W01000769	9	dec09	9	dec09	8	dec08	9	dec09	8	dec08	5	dec05	9	dec09	10	dec10-lowd	10	dec10-lowd
W01000770	10	dec10-lowd	9	dec09	8	dec08	9	dec09	9	dec09	10	dec10-lowd	8	dec08	10	dec10-lowd	10	dec10-lowd
W01000771	8	dec08	7	dec07	7	dec07	8	dec08	9	dec09	3	dec03	9	dec09	10	dec10-lowd	7	dec07
W01000772	9	dec09	9	dec09	9	dec09	8	dec08	9	dec09	3	dec03	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd
W01000773	4	dec04	4	dec04	4	dec04	3	dec03	5	dec05	7	dec07	3	dec03	1	dec01-highd	5	dec05
W01000774	6	dec06	6	dec06	5	dec05	4	dec04	6	dec06	9	dec09	3	dec03	2	dec02	9	dec09
W01000775	8	dec08	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	1	dec01-highd	9	dec09	9	dec09	5	dec05
W01000776	9	dec09	10	dec10-lowd	9	dec09	8	dec08	10	dec10-lowd	1	dec01-highd	10	dec10-lowd	6	dec06	8	dec08
W01000777	9	dec09	9	dec09	8	dec08	8	dec08	9	dec09	9	dec09	8	dec08	3	dec03	10	dec10-lowd
W01000778	9	dec09	7	dec07	7	dec07	7	dec07	8	dec08	10	dec10-lowd	6	dec06	7	dec07	9	dec09
W01000779	6	dec06	5	dec05	5	dec05	5	dec05	6	dec06	7	dec07	5	dec05	9	dec09	7	dec07
W01000781	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd
W01000782	10	dec10-lowd	8	dec08	8	dec08	9	dec09	9	dec09	10	dec10-lowd	9	dec09	10	dec10-lowd	9	dec09
W01000784	7	dec07	6	dec06	6	dec06	7	dec07	9	dec09	6	dec06	8	dec08	2	dec02	9	dec09
W01000785	10	dec10-lowd	10	dec10-lowd	9	dec09	9	dec09	9	dec09	6	dec06	10	dec10-lowd	3	dec03	10	dec10-lowd
W01000786	9	dec09	9	dec09	9	dec09	7	dec07	8	dec08	4	dec04	8	dec08	5	dec05	7	dec07
W01000787	4	dec04	4	dec04	5	dec05	3	dec03	3	dec03	5	dec05	3	dec03	3	dec03	2	dec02
W01000788	2	dec02	2	dec02	2	dec02	4	dec04	2	dec02	6	dec06	1	dec01-highd	3	dec03	2	dec02
W01000789	2	dec02	2	dec02	2	dec02	1	dec01-highd	2	dec02	6	dec06	2	dec02	2	dec02	3	dec03
W01000790	2	dec02	2	dec02	2	dec02	3	dec03	2	dec02	6	dec06	3	dec03	3	dec03	1	dec01-highd
W01000791	10	dec10-lowd	9	dec09	8	dec08	8	dec08	9	dec09	6	dec06	9	dec09	7	dec07	8	dec08
W01000792	10	dec10-lowd	9	dec09	10	dec10-lowd	9	dec09	9	dec09	3	dec03	9	dec09	6	dec06	10	dec10-lowd
W01000793	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	3	dec03	8	dec08	7	dec07	9	dec09
W01000794	5	dec05	6	dec06	6	dec06	3	dec03	6	dec06	6	dec06	2	dec02	2	dec02	9	dec09
W01000795	9	dec09	9	dec09	7	dec07	9	dec09	8	dec08	6	dec06	7	dec07	6	dec06	9	dec09
W01000796	8	dec08	9	dec09	9	dec09	8	dec08	7	dec07	3	dec03	7	dec07	1	dec01-highd	9	dec09
W01000797	8	dec08	7	dec07	6	dec06	7	dec07	6	dec06	5	dec05	9	dec09	9	dec09	9	dec09
W01000798	7	dec07	7	dec07	4	dec04	6	dec06	5	dec05	6	dec06	5	dec05	9	dec09	9	dec09
W01000799	2	dec02	2	dec02	3	dec03	2	dec02	2	dec02	4	dec04	3	dec03	7	dec07	2	dec02
W01000800	9	dec09	10	dec10-lowd	10	dec10-lowd	6	dec06	9	dec09	5	dec05	10	dec10-lowd	4	dec04	10	dec10-lowd
W01000801	2	dec02	1	dec01-highd	2	dec02	2	dec02	1	dec01-highd	3	dec03	5	dec05	8	dec08	4	dec04
W01000802	5	dec05	4	dec04	4	dec04	4	dec04	8	dec08	2	dec02	6	dec06	5	dec05	8	dec08
W01000803	6	dec06	6	dec06	6	dec06	6	dec06	7	dec07	1	dec01-highd	8	dec08	4	dec04	7	dec07
W01000804	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	7	dec07	9	dec09	7	dec07	10	dec10-lowd
W01000805	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	5	dec05	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd
W01000806	6	dec06	5	dec05	5	dec05	7	dec07	5	dec05	5	dec05	8	dec08	2	dec02	5	dec05
W01000807	9	dec09	9	dec09	8	dec08	9	dec09	6	dec06	6	dec06	8	dec08	4	dec04	6	dec06
W01000808	6	dec06	6	dec06	5	dec05	5	dec05	5	dec05	9	dec09	4	dec04	3	dec03	5	dec05
W01000809	4	dec04	4	dec04	5	dec05	5	dec05	4	dec04	9	dec09	3	dec03	1	dec01-highd	4	dec04
W01000810	1	dec01-highd	1	dec01-highd	1	dec01-highd	2	dec02	1	dec01-highd	7	dec07	2	dec02	2	dec02	4	dec04
W01000811	2	dec02	3	dec03	3	dec03	2	dec02	2	dec02	5	dec05	3	dec03	3	dec03	2	dec02
W01000812	1	dec01-highd	2	dec02	1	dec01-highd	3	dec03	1	dec01-highd	4	dec04	1	dec01-highd	1	dec01-highd	2	dec02
W01000813	7	dec07	7	dec07	6	dec06	7	dec07	5	dec05	10	dec10-lowd	1	dec01-highd	4	dec04	7	dec07
W01000814	1	dec01-highd	1	dec01-highd	2	dec02	1	dec01-highd	2	dec02	2	dec02	2	dec02	1	dec01-highd	1	dec01-highd
W01000815	9	dec09	9	dec09	8	dec08	8	dec08	8	dec08	4	dec04	8	dec08	2	dec02	7	dec07
W01000816	9	dec09	8	dec08	9	dec09	8	dec08	7	dec07	6	dec06	4	dec04	4	dec04	7	dec07
W01000817	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	1	dec01-highd	6	dec06	1	dec01-highd	6	dec06	2	dec02
W01000818	2	dec02	2	dec02	2	dec02	4	dec04	1	dec01-highd	5	dec05	2	dec02	6	dec06	5	dec05
W01000819	9	dec09	8	dec08	6	dec06	9	dec09	8	dec08	7	dec07	8	dec08	6	dec06	10	dec10-lowd
W01000820	5	dec05	6	dec06	5	dec05	3	dec03	4	dec04	10	dec10-lowd	2	dec02	6	dec06	8	dec08
W01000821	5	dec05	5	dec05	4	dec04	5	dec05	4	dec04	10	dec10-lowd	5	dec05	3	dec03	5	dec05
W01000822	7	dec07	6	dec06	6	dec06	7	dec07	6	dec06	7	dec07	5	dec05	4	dec04	9	dec09
W01000823	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	6	dec06	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd
W01000824	10	dec10-lowd	9	dec09	9	dec09	9	dec09	10	dec10-lowd	5	dec05	8	dec08	10	dec10-lowd	9	dec09
W01000825	9	dec09	8	dec08	9	dec09	8	dec08	9	dec09	6	dec06	7	dec07	4	dec04	6	dec06
W01000826	9	dec09	10	dec10-lowd	9	dec09	10	dec10-lowd	10	dec10-lowd	2	dec02	8	dec08	9	dec09	6	dec06
W01000827	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	8	dec08	8	dec08	10	dec10-lowd	6	dec06
W01000828	9	dec09	9	dec09	9	dec09	8	dec08	9	dec09	2	dec02	9	dec09	6	dec06	9	dec09
