project_id	LSOA2011_GSS
mm.ace.1238	E01019527
mm.mald.052	W01001061
mm.wiki.281	E01026580
mm.domus.SE518	E01016256
mm.domus.SE599	E01022468
mm.wiki.333	E01029279
mm.domus.EM015	E01028011
mm.domus.SE528	E01021098
mm.domus.SW095	E01014370
mm.aim82NM.016	E01014372
mm.aim82NM.021	E01014373
mm.domus.SW005	E01014370
mm.domus.SW174	E01014407
mm.domus.YH017	E01011917
mm.domus.SE187	E01021084
mm.wiki.150	E01033725
mm.wiki.255	E01026054
mm.aim.0484	
mm.musa.035	E01021594
mm.aim.0067	E01030059
mm.misc.137	E01021500
mm.musa.036	E01012929
mm.domus.YH033	E01013258
mm.domus.SW188	E01020496
mm.domus.NE004	E01020622
mm.domus.SE214	E01024124
mm.aim82NM.013	E01003938
mm.wiki.198	E01022623
mm.domus.NW172	E01019356
mm.musa.037	E01022999
mm.domus.WA007	W01000005
mm.domus.SE418	E01030224
mm.domus.YH034	E01027794
mm.domus.SW004	E01014413
mm.domus.YH032	E01027588
mm.domus.SE414	E01017469
mm.domus.SE339	E01015740
mm.aim.0993	E01031064
mm.wiki.394	E01031843
mm.aim.0074	E01024724
mm.domus.SE196	E01015895
mm.misc.179	E01021892
mm.ace.1109	E01018372
mm.domus.EM069	E01013628
mm.musa.039	95TT02W1
mm.wiki.419	95PP03W1
mm.hha.011	E01024565
mm.wiki.064	E01019407
mm.musa.041	E01027447
mm.domus.EM088	E01026313
mm.hha.089	E01025887
mm.aim.0077	E01017284
mm.domus.SE005	E01000929
mm.domus.YH156	E01027619
mm.aim.0079	E01004736
mm.domus.SC072	S01013415
mm.wiki.309	E01028600
mm.domus.WM139	E01028841
mm.wiki.107	E01021165
mm.aim.0081	E01002225
mm.ace.1217	E01033445
mm.wiki.141	E01022353
mm.domus.SE068	E01002902
mm.musa.042	E01016703
mm.ace.1116	E01016414
mm.domus.SE194	E01016596
mm.musa.043	E01010164
mm.ace.1089	E01014097
mm.domus.WA013	W01000367
mm.domus.NE006	E01027377
mm.wiki.105	E01012948
mm.MDN.029	E01014316
mm.domus.SE006	E01000769
mm.mald.013	W01000121
mm.domus.YH168	E01013063
mm.ace.1118	E01013062
mm.domus.WM039	E01032428
mm.domus.SE193	E01021121
mm.domus.SE192	E01021091
mm.domus.SE191	E01000331
mm.musa.045	E01019945
mm.wiki.076	E01020277
mm.aim82NM.015	E01015283
mm.domus.WA016	W01001489
mm.mgs.223	S01012578
mm.domus.SC007	S01012578
mm.musa.046	S01012576
mm.musa.047	E01031479
mm.domus.NE007	E01012276
mm.domus.WM014	E01010416
mm.domus.WM048	E01010368
mm.musa.048	E01019225
mm.domus.NW059	E01007291
mm.ace.1208	E01033567
mm.domus.WM063	E01033620
mm.wiki.368	E01033561
mm.domus.WM064	E01033623
mm.domus.WM113	E01009949
mm.domus.SE152	E01026425
mm.wiki.324	E01029258
mm.domus.SE087	E01023253
mm.ace.1240	E01028992
mm.domus.YH022	E01007985
mm.domus.SE189	E01023453
mm.ace.504	E01023444
mm.aim.0098	E01020200
mm.musa.050	E01017224
mm.domus.WM110	E01014010
mm.domus.WM042	E01009757
mm.domus.SC038	S01011936
mm.domus.NW121	E01012644
mm.wiki.011	E01018151
mm.aim82M.004	E01017299
mm.domus.SC309	S01013431
mm.aim.0099	95GG40S2
mm.ace.1128	E01019397
mm.aim82M.005	E01023165
mm.mald.014	W01001489
mm.wiki.452	W01001489
mm.wiki.325	E01014747
mm.mald.015	W01001443
mm.hha.169	S01011981
mm.domus.SC034	S01006853
mm.domus.SW012	E01032516
mm.domus.SW001	E01029112
mm.domus.WM066	E01009515
mm.ace.1112	E01020438
mm.domus.SW045	E01020438
mm.domus.SW016	E01029268
mm.hha.017	E01028825
mm.musa.052	95OO16W1
mm.ace.1278	E01016711
mm.domus.SE538	E01026502
