project.id	LAD2011_GSS
mm.wiki.281	E07000144
mm.domus.SE518	E06000037
mm.domus.SE599	E07000084
mm.wiki.333	E07000190
mm.domus.EM015	E07000171
mm.domus.SE528	E07000064
mm.domus.SW095	E06000022
mm.aim82NM.016	E06000022
mm.aim82NM.021	E06000022
mm.domus.SW005	E06000022
mm.domus.SW174	E06000022
mm.domus.YH017	E08000036
mm.domus.SE187	E07000064
mm.wiki.150	E09000017
mm.wiki.255	E07000137
mm.aim.0484	
mm.musa.035	E07000070
mm.aim.0067	E07000203
mm.misc.137	E07000069
mm.musa.036	E06000011
mm.domus.YH033	E06000013
mm.domus.SW188	E07000052
mm.domus.NE004	E06000047
mm.domus.SE214	E07000106
mm.aim82NM.013	E09000028
mm.wiki.198	E07000085
mm.domus.NW172	E07000031
mm.musa.037	E07000091
mm.domus.WA007	W06000001
mm.domus.SE418	E07000206
mm.domus.YH034	E07000167
mm.domus.SW004	E06000022
mm.domus.YH032	E07000164
mm.domus.SE414	E06000055
mm.domus.SE339	E06000032
mm.aim.0993	E07000219
mm.wiki.394	E06000054
mm.aim.0074	E07000115
mm.domus.SE196	E06000033
mm.misc.179	E07000074
mm.ace.1109	E06000050
mm.domus.EM069	E06000016
mm.musa.039	N09000009
mm.wiki.419	N09000006
mm.hha.011	E07000113
mm.wiki.064	E07000032
mm.musa.041	E06000057
mm.domus.EM088	E07000141
mm.hha.089	E07000133
mm.aim.0077	E06000046
mm.domus.SE005	E09000007
mm.domus.YH156	E07000164
mm.aim.0079	E09000033
mm.domus.SC072	S12000040
mm.wiki.309	E07000179
mm.domus.WM139	E06000051
mm.wiki.107	E07000065
mm.aim.0081	E09000015
mm.ace.1217	E07000205
mm.wiki.141	E07000082
mm.domus.SE068	E09000020
mm.musa.042	E06000041
mm.ace.1116	E06000038
mm.domus.SE194	E06000040
mm.musa.043	E08000029
mm.ace.1089	E06000019
mm.domus.WA013	W06000006
mm.domus.NE006	E06000057
mm.wiki.105	E06000011
mm.MDN.029	E06000021
mm.domus.SE006	E09000006
mm.mald.013	W06000003
mm.domus.YH168	E06000011
mm.ace.1118	E06000011
mm.domus.WM039	E07000239
mm.domus.SE193	E07000064
mm.domus.SE192	E07000064
mm.domus.SE191	E09000004
mm.musa.045	E07000040
mm.wiki.076	E07000046
mm.aim82NM.015	E06000028
mm.domus.WA016	W06000020
mm.mgs.223	S12000029
mm.domus.SC007	S12000029
mm.musa.046	S12000029
mm.musa.047	E07000225
mm.domus.NE007	E06000004
mm.domus.WM014	E08000031
mm.domus.WM048	E08000030
mm.musa.048	E07000028
mm.domus.NW059	E08000015
mm.ace.1208	E08000025
mm.domus.WM063	E08000025
mm.wiki.368	E08000025
mm.domus.WM064	E08000025
mm.domus.WM113	E08000028
mm.domus.SE152	E07000143
mm.wiki.324	E07000190
mm.domus.SE087	E07000094
mm.ace.1240	E06000051
mm.domus.YH022	E08000019
mm.domus.SE189	E07000242
mm.ace.504	E07000242
mm.aim.0098	E07000045
mm.musa.050	E06000045
mm.domus.WM110	E06000019
mm.domus.WM042	E08000027
mm.domus.SC038	S12000024
mm.domus.NW121	E06000008
mm.wiki.011	E07000011
mm.aim82M.004	E06000046
mm.domus.SC309	S12000040
mm.aim.0099	N09000003
mm.ace.1128	E07000031
mm.aim82M.005	E07000093
mm.mald.014	W06000020
mm.wiki.452	W06000020
mm.wiki.325	E06000024
mm.mald.015	W06000019
mm.hha.169	S12000024
mm.domus.SC034	S12000034
mm.domus.SW012	E06000023
mm.domus.SW001	E07000188
mm.domus.WM066	E08000025
mm.ace.1112	E07000050
mm.domus.SW045	E07000050
mm.domus.SW016	E07000190
mm.hha.017	E07000181
mm.musa.052	N09000009
mm.ace.1278	E06000042
mm.domus.SE538	E07000144
mm.aim82NM.020	E09000007
mm.domus.WM126	E06000020
mm.wiki.282	E07000145
mm.domus.SE198	E07000177
mm.aim.1305	E07000190
mm.ace.1164	E07000063
mm.wiki.302	E06000057
mm.domus.SC073	S12000014
mm.domus.SC041	S12000027
mm.aim82M.071	W06000001
mm.domus.WA012	W06000004
mm.musa.053	E06000052
mm.domus.SW013	E06000052
mm.hha.185	W06000004
mm.aim.0105	E07000224
mm.domus.YH037	E08000032
mm.wiki.020	E06000049
mm.hha.118	E07000166
mm.domus.NW109	E08000001
mm.domus.NW016	E08000001
mm.wiki.271	E07000142
mm.wiki.062	E07000026
mm.fcm.026	S12000014
mm.domus.SE210	E06000043
mm.Mus70Cal.001	E08000014
mm.domus.SC289	S12000026
mm.domus.WM004	E07000236
mm.wiki.151	E09000028
mm.misc.014	S12000017
mm.mald.019	W06000008
mm.domus.WM118	E07000196
mm.wiki.395	E06000054
mm.domus.EM085	E07000136
mm.wiki.152	E09000018
mm.wiki.470	S12000008
mm.ace.1200	E07000132
mm.domus.NW015	E08000014
mm.misc.114	E07000009
mm.aim.1076	E07000153
mm.domus.SE209	E07000208
mm.aim.0107	E07000141
mm.fcm.027	E07000048
mm.ace.1282	E06000028
mm.aim.0109	E07000045
mm.domus.NE011	E06000047
mm.ace.1139	E08000024
mm.mgs.354	S12000026
mm.hha.063	E06000054
mm.aim.0110	E07000071
mm.MDN.012	
mm.domus.YH040	E08000032
mm.domus.YH036	E08000032
mm.domus.SW014	E06000054
mm.aim.0112	E08000032
mm.ace.1235	E06000046
mm.aim82M.066	E06000046
mm.misc.172	E07000045
mm.misc.180	E07000074
mm.wiki.090	E07000046
mm.wiki.457	S12000034
mm.domus.SE200	E07000067
mm.wiki.179	E09000028
mm.domus.NW019	E08000007
mm.wiki.378	E08000035
mm.domus.WM086	E07000195
mm.domus.SC026	S12000034
mm.domus.NW001	E07000031
mm.musa.055	E07000110
mm.domus.SW152	E07000043
mm.aim.0117	E07000091
mm.domus.SC023	S12000041
mm.domus.WA018	W06000023
mm.wiki.108	E07000064
mm.wiki.219	E07000113
mm.musa.057	E07000052
mm.domus.SE023	E09000005
mm.domus.SE199	E07000068
mm.musa.058	E07000112
mm.fcm.030	S12000027
mm.domus.SE563	E07000149
mm.aim82NM.014	E07000050
mm.domus.WM095	E06000051
mm.mgs.389	S12000046
mm.wiki.098	E06000011
mm.domus.SW151	E07000052
mm.wiki.211	E06000046
mm.mgs.391	S12000017
mm.domus.SE201	E07000076
mm.domus.SE581	E06000043
mm.misc.045	E06000043
mm.domus.SE211	E06000043
mm.ace.1213	E06000043
mm.aim82M.036	E06000043
mm.domus.WM002	E07000198
mm.aim.0126	E06000025
mm.domus.SW009	E06000023
mm.domus.SW007	E06000023
mm.domus.SW143	E06000023
mm.misc.080	E09000028
mm.wiki.077	E07000044
mm.aim82NM.022	E09000017
mm.aim.0127	E06000037
mm.domus.NW188	E07000126
mm.aim.0129	E06000052
mm.wiki.049	E06000052
mm.domus.SE008	E09000033
mm.domus.SW043	E06000023
mm.wiki.109	E06000043
mm.domus.SC042	S12000015
mm.aim82M.007	E06000050
mm.domus.EM024	E07000175
mm.fcm.032	E07000122
mm.aim.0135	E08000014
mm.misc.161	E07000147
mm.domus.WM120	E07000221
mm.domus.SE073	E09000007
mm.ace.1129	E09000033
mm.ace.1098	E07000099
mm.Mus70Cal.015	E09000033
mm.aim.0140	E09000022
mm.aim.0141	E07000205
mm.wiki.078	E06000027
mm.domus.SW006	E06000027
mm.wiki.434	W06000010
mm.domus.WM044	E08000027
mm.aim82M.062	E07000093
mm.wiki.402	E07000238
mm.hha.119	E07000167
mm.ace.1085	E06000019
mm.domus.SC043	S12000021
mm.misc.150	S12000020
mm.domus.YH153	E08000017
mm.domus.WM119	E07000234
mm.wiki.417	N09000002
mm.domus.YH101	E08000032
mm.misc.165	N09000006
mm.misc.060	
mm.domus.SE205	E07000207
mm.wiki.238	E06000009
mm.Mus70Cal.007	E09000010
mm.wiki.476	S12000017
mm.domus.WM130	E06000051
mm.ace.1110	E07000030
mm.hha.018	E07000177
mm.domus.SC048	S12000006
mm.domus.SC234	S12000042
mm.domus.SC008	S12000029
mm.hha.143	E07000124
mm.mgs.308	S12000040
mm.ace.042	E09000014
mm.domus.SE601	E09000028
mm.wiki.243	E07000131
mm.domus.SW229	E07000189
mm.misc.050	E07000189
mm.aim.0147	W06000019
mm.domus.SC051	S12000015
mm.wiki.484	S12000020
mm.wiki.153	E09000033
mm.domus.SE464	E07000004
mm.aim82M.054	E07000004
mm.domus.SE202	E07000004
mm.domus.SW234	E07000047
mm.mald.020	W06000005
mm.aim.0150	E07000064
mm.domus.SE204	E07000004
mm.domus.SE216	E07000106
mm.aim82NM.024	E06000019
mm.misc.198	E07000067
mm.domus.SE440	E07000206
mm.wiki.500	E07000242
mm.wiki.376	E07000228
mm.domus.SE027	E09000007
mm.domus.SE224	E06000031
mm.domus.SE249	E07000074
mm.domus.NW075	E07000117
mm.mgs.285	S12000028
mm.domus.SC055	S12000006
mm.mgs.310	S12000008
mm.mgs.381	S12000008
mm.domus.SC052	S12000015
mm.domus.SC074	S12000046
mm.aim82NM.025	E06000022
mm.aim.0155	E07000087
mm.domus.SE296	E07000086
mm.fcm.242	E07000149
mm.hha.120	E06000011
mm.domus.SW019	E07000046
mm.domus.YH046	E06000011
mm.MDN.030	E07000193
mm.domus.SE228	E07000009
mm.domus.NW020	E08000002
mm.wiki.187	E08000002
mm.domus.SE525	E07000180
mm.domus.SE227	E07000098
mm.ace.1186	E06000019
mm.domus.SC049	S12000035
mm.wiki.192	E07000085
mm.aim82NM.026	E07000037
mm.domus.EM106	E07000037
mm.aim82NM.018	W06000010
mm.wiki.503	E06000027
mm.aim.0158	E07000147
mm.wiki.315	E07000177
mm.ace.1226	E07000167
mm.aim82NM.027	E07000132
mm.hha.034	E07000040
mm.aim.0159	W06000004
mm.hha.029	E06000052
mm.wiki.441	W06000002
mm.domus.WA017	W06000002
mm.wiki.283	E07000145
mm.aim.0160	E07000142
mm.mgs.006	S12000017
mm.aim.0161	S12000017
mm.musa.067	E06000046
mm.domus.YH113	E08000033
mm.domus.WA002	W06000021
mm.domus.EM094	E07000039
mm.domus.SC083	S12000014
mm.aim82NM.028	E07000084
mm.domus.SW185	E06000052
mm.wiki.396	E06000054
mm.musa.069	E07000173
mm.domus.SW191	E06000052
mm.domus.WM121	E06000051
mm.domus.SE225	E07000008
mm.aim.0165	E09000007
mm.domus.SC062	S12000035
mm.aim82NM.029	W06000004
mm.ace.1117	E07000155
mm.mgs.374	S12000040
mm.domus.EM021	E06000018
mm.misc.151	S12000017
mm.domus.YH043	E08000016
mm.aim82NM.030	E08000025
mm.mald.024	W06000002
mm.domus.EM095	E07000151
mm.domus.SE251	E07000106
mm.domus.SE121	E07000106
mm.wiki.122	E07000069
mm.hha.132	E06000049
mm.aim.0167	E07000168
mm.domus.NE013	E06000002
mm.domus.YH047	E07000168
mm.domus.YH104	E07000164
mm.domus.WA026	W06000015
mm.mald.026	W06000015
mm.mald.027	W06000008
mm.wiki.415	N09000010
mm.mald.028	W06000009
mm.domus.SE229	E06000046
mm.musa.072	N09000009
mm.musa.073	E07000028
mm.musa.074	E07000028
mm.domus.SE520	E09000020
mm.mald.030	W06000010
mm.domus.WA022	W06000010
mm.domus.SC029	S12000034
mm.wiki.239	E07000121
mm.aim.0173	E07000153
mm.nimc.043	N09000008
mm.wiki.060	E07000026
mm.musa.075	E09000029
mm.ace.1134	E09000007
mm.domus.YH035	E08000032
mm.hha.084	E07000198
mm.aim.0174	E08000029
mm.musa.076	E07000189
mm.domus.SW108	E06000054
mm.domus.SE437	
mm.ace.1106	E07000134
mm.domus.SC064	S12000006
mm.domus.SW235	E07000047
mm.aim82NM.031	E06000025
mm.hha.121	E07000167
mm.wiki.477	S12000017
mm.aim82NM.032	S12000024
mm.domus.SC066	S12000006
mm.fcm.041	E07000069
mm.domus.NW157	
mm.domus.NI028	N09000010
mm.domus.YH120	E08000036
mm.wiki.479	S12000017
mm.domus.EM111	E07000037
mm.MDN.036	E07000053
mm.domus.NW095	E06000006
mm.hha.085	E07000039
mm.aim.0179	E07000032
mm.wiki.411	N09000004
mm.aim.1338	E07000187
mm.wiki.275	E08000012
mm.hha.165	S12000017
mm.domus.YH057	E08000016
mm.mald.090	W06000015
mm.domus.WA028	W06000012
mm.mgs.406	S12000046
mm.misc.130	W06000010
mm.domus.SE602	E09000007
mm.aim.0181	E07000008
mm.wiki.344	E06000021
mm.ace.1262	E07000140
mm.domus.SE448	E07000092
mm.hha.035	E07000043
mm.domus.SE577	E07000180
mm.fcm.045	
mm.mald.033	W06000009
mm.misc.098	E06000003
mm.domus.SW020	E07000189
mm.aim82NM.099	E07000189
mm.musa.081	E07000181
mm.ace.1092	E07000221
mm.domus.SE137	E07000143
mm.domus.SE230	E06000044
mm.domus.SE016	E09000007
mm.domus.SE232	E07000065
mm.wiki.027	E06000052
mm.aim.0188	E09000011
mm.aim.0796	E09000011
mm.misc.168	E07000180
mm.domus.EM104	E07000130
mm.aim.1353	E07000113
mm.domus.SE233	E09000001
mm.Mus70Cal.010	E07000216
mm.domus.SE531	E07000111
mm.ace.1229	E07000194
mm.domus.SE526	E07000181
mm.domus.SC258	S12000029
mm.domus.SE312	E06000035
mm.wiki.065	E07000035
mm.domus.SE253	E07000010
mm.aim82M.010	E06000021
mm.hha.053	E07000079
mm.wiki.195	E07000085
mm.wiki.326	E07000188
mm.domus.WM107	E07000198
mm.aim.0191	E07000221
mm.domus.SW242	E07000079
mm.domus.SE234	E07000070
mm.domus.SW021	E07000078
mm.aim82NM.033	E07000078
mm.hha.005	E07000005
mm.domus.WA003	W06000021
mm.domus.NE077	E06000057
mm.domus.SE235	E07000212
mm.ace.1287	E07000005
mm.domus.NW026	E06000050
mm.aim82NM.036	E06000050
mm.wiki.021	E06000050
mm.domus.EM033	E07000034
mm.domus.NE017	E06000057
mm.domus.NW034	E08000003
mm.aim82NM.034	E06000057
mm.musa.083	E07000225
mm.domus.SE420	E07000111
mm.hha.150	E06000057
mm.hha.109	E07000196
mm.domus.SE237	E07000005
mm.aim82NM.037	E07000007
mm.misc.051	E06000021
mm.ace.516	E06000054
mm.aim82NM.055	E07000079
mm.musa.084	E07000181
mm.domus.WA092	W06000006
mm.wiki.397	E06000030
mm.domus.SE473	E09000018
mm.wiki.356	E07000214
mm.domus.SE390	E07000178
mm.aim.0200	E07000227
mm.domus.SE305	E07000202
mm.misc.073	E07000048
mm.mgs.398	S12000021
mm.domus.SE075	E09000003
mm.wiki.310	E07000181
mm.domus.WM109	E06000019
mm.ace.1172	E09000033
mm.domus.WM045	E07000198
mm.aim82M.009	W06000004
mm.wiki.148	E07000080
mm.fcm.051	E06000018
mm.domus.EM046	E07000138
mm.domus.SC076	S12000036
mm.wiki.155	E09000001
mm.domus.SE153	E07000144
mm.domus.SC150	S12000006
mm.mgs.361	S12000017
