project.id	LAD2011_GSS
mm.ace.1286	E07000134
mm.domus.SE154	E07000149
mm.domus.SE419	E07000063
mm.aim.0441	E07000088
mm.wiki.256	E07000137
mm.domus.NW086	E07000027
mm.aim.0269	E07000139
mm.aim82NM.041	E06000025
mm.aim82NM.043	W06000003
mm.domus.SC099	S12000005
mm.aim82NM.039	E06000043
mm.domus.SE467	E07000113
mm.domus.YH053	E08000017
mm.musa.115	E07000134
mm.mgs.311	S12000008
mm.domus.SE439	E07000179
mm.hha.133	E06000049
mm.ace.1156	E09000021
mm.domus.SE258	E07000210
mm.domus.NE012	E06000002
mm.hha.003	E07000006
mm.domus.SW042	E07000052
mm.Mus70Cal.011	E06000012
mm.domus.SC100	S12000029
mm.aim82M.012	S12000030
mm.domus.NW053	E07000031
mm.domus.SE500	E07000108
mm.domus.SE257	E07000108
mm.domus.SE459	E07000108
mm.wiki.329	E07000191
mm.domus.NI002	N09000010
mm.domus.SE579	E09000006
mm.domus.NI019	N09000010
mm.domus.SW106	E07000082
mm.domus.SE582	E09000001
mm.misc.041	S12000006
mm.domus.WM055	E07000238
mm.hha.177	S12000006
mm.aim82NM.054	E07000065
mm.hha.181	S12000035
mm.aim.0280	E08000027
mm.domus.WM043	E08000027
mm.domus.WM138	E06000051
mm.domus.SC311	S12000034
mm.domus.SC238	S12000020
mm.misc.077	S12000020
mm.wiki.407	E07000175
mm.domus.SE018	E09000028
mm.aim.0282	S12000006
mm.aim.0283	S12000008
mm.domus.SC054	S12000006
mm.domus.SC102	S12000008
mm.mgs.303	S12000010
mm.aim.0284	S12000017
mm.domus.SC103	S12000030
mm.aim.0287	S12000042
mm.wiki.498	S12000028
mm.domus.SC104	S12000015
mm.domus.NW169	E08000009
mm.musa.116	E09000033
mm.aim82NM.044	S12000015
mm.domus.SC296	S12000024
mm.wiki.082	E07000040
mm.wiki.143	E07000082
mm.hha.171	S12000041
mm.aim.0288	S12000035
mm.mgs.075	S12000035
mm.musa.117	S12000017
mm.misc.174	E07000046
mm.domus.SW210	E07000191
mm.domus.SW206	E07000191
mm.hha.167	S12000017
mm.domus.SE256	E07000205
mm.domus.NE052	E06000047
mm.domus.NE022	E06000047
mm.wiki.095	E06000047
mm.wiki.094	E06000047
mm.domus.NE020	E06000047
mm.domus.NE053	E06000047
mm.domus.NE054	E06000047
mm.wiki.144	E07000082
mm.wiki.123	E07000069
mm.domus.YH141	E08000032
mm.aim82NM.004	E07000030
mm.wiki.435	W06000010
mm.musa.118	W06000011
mm.domus.SW211	E06000025
mm.domus.NW179	E07000122
mm.domus.EM005	E07000156
mm.musa.119	E07000067
mm.wiki.371	E08000029
mm.aim.0292	S12000035
mm.domus.SE591	E07000206
mm.domus.SE442	E07000071
mm.aim.0295	E07000113
mm.wiki.501	E06000046
mm.musa.120	E07000076
mm.domus.SE032	E07000228
mm.domus.NW054	E06000008
mm.wiki.245	E07000134
mm.musa.121	E06000052
mm.domus.YH160	E08000032
mm.aim.0300	E07000187
mm.domus.SE463	E07000215
mm.musa.122	E07000061
mm.wiki.222	E06000035
mm.domus.SE264	E06000054
mm.domus.SE270	E06000044
mm.aim82NM.046	E07000205
mm.aim.0302	W06000019
mm.fcm.090	E07000167
mm.domus.SE587	E07000111
mm.wiki.472	S12000036
mm.mgs.345	S12000036
mm.aim82NM.047	S12000036
mm.hha.043	E07000049
mm.aim82NM.048	E07000215
mm.domus.SE269	E07000212
mm.domus.WA100	W06000011
mm.misc.106	E07000222
mm.domus.SC126	S12000020
mm.wiki.223	E07000112
mm.aim.0307	E07000091
mm.domus.SE130	
mm.wiki.189	E08000003
mm.domus.YH118	E08000036
mm.domus.SW226	E06000026
mm.domus.SE106	E07000145
mm.domus.NW031	E08000005
mm.aim.1355	E06000052
mm.wiki.467	S12000006
mm.hha.091	E07000141
mm.domus.SE268	E07000207
mm.musa.126	E08000016
mm.wiki.001	E06000055
mm.aim.0310	E07000098
mm.ace.1100	E09000011
mm.hha.070	E07000011
mm.domus.SE267	E07000009
mm.domus.YH066	E07000163
mm.domus.SE460	E07000090
mm.ace.045	E09000010
mm.misc.108	E06000020
mm.domus.NW150	E06000049
mm.domus.SE265	E07000072
mm.ace.1114	E06000013
mm.ace.1145	E07000194
mm.domus.WA078	W06000006
mm.domus.EM037	E07000036
mm.domus.SE190	E09000004
mm.ace.1250	E06000034
mm.ace.1120	E07000070
mm.domus.SE271	E07000070
mm.misc.057	E06000040
mm.domus.WM062	E06000021
mm.hha.080	E07000204
mm.misc.038	E07000041
mm.musa.129	E07000041
mm.wiki.336	E07000191
mm.domus.SW044	E07000040
mm.musa.130	E08000016
mm.ace.1153	E07000088
mm.domus.EM012	E07000035
mm.fcm.279	S12000026
mm.domus.SC111	S12000026
mm.nimc.026	N09000002
mm.domus.YH064	E06000014
mm.domus.SW161	E07000040
mm.domus.SE126	E07000147
mm.domus.SC236	S12000020
mm.domus.SW018	E06000052
mm.MDN.035	E07000194
mm.domus.SE125	E09000033
mm.musa.132	E07000187
mm.wiki.110	E07000065
mm.ace.1259	E07000092
mm.wiki.157	E09000028
mm.domus.SW052	E06000022
mm.musa.135	E07000067
mm.domus.SE543	E07000147
mm.ace.1143	E07000205
mm.musa.136	E07000146
mm.domus.SE521	E09000007
mm.aim82NM.050	
mm.domus.YH134	E06000010
mm.wiki.213	E06000046
mm.domus.SC117	S12000024
mm.domus.NI003	N09000006
mm.domus.NI021	N09000003
mm.domus.SC298	S12000027
mm.domus.SC112	S12000015
mm.aim.0335	E07000065
mm.aim.0336	E07000168
mm.domus.SW047	E07000047
mm.wiki.224	E07000116
mm.wiki.124	E07000067
mm.wiki.485	S12000020
mm.aim82NM.133	E07000093
mm.mgs.392	S12000018
mm.domus.SE513	E09000011
mm.aim.0340	W06000015
mm.hha.022	E07000063
mm.domus.SE588	E07000099
mm.aim82NM.049	E07000152
mm.domus.SE099	E07000225
mm.fcm.098	E07000147
mm.domus.YH161	E06000012
mm.domus.SE375	E07000008
mm.aim.0342	E06000031
mm.musa.138	E06000052
mm.wiki.100	E06000011
mm.domus.NI035	N09000008
mm.domus.SW118	E07000189
mm.domus.NW043	E07000128
mm.wiki.158	E09000033
mm.Mus70Cal.020	E08000003
mm.domus.SE289	E07000113
mm.domus.EM097	E07000176
mm.hha.154	S12000026
mm.domus.SE222	E07000085
mm.domus.NI029	N09000006
mm.wiki.061	E07000029
mm.domus.SE021	E09000022
mm.wiki.111	E07000062
mm.fcm.100	S12000020
mm.domus.SE077	E07000112
mm.hha.187	W06000014
mm.domus.SE288	E07000004
mm.domus.WM061	E06000021
mm.hha.044	E07000052
mm.aim82NM.045	E07000091
mm.ace.1157	E07000091
mm.mgs.292	S12000034
mm.musa.140	E06000045
mm.domus.WM003	E07000236
mm.aim.0350	E07000149
mm.aim.0351	E06000035
mm.ace.1233	E07000088
mm.domus.SE438	
mm.wiki.101	E06000011
mm.wiki.273	E08000015
mm.domus.SE286	E09000010
mm.mgs.415	S12000046
mm.fcm.102	E07000051
mm.wiki.031	E06000052
mm.ace.1142	E06000054
mm.domus.WM053	E07000198
mm.domus.NI005	N09000005
mm.mgs.394	S12000034
mm.aim.0353	E07000179
mm.misc.095	E08000001
mm.misc.029	E09000033
mm.ace.1124	E06000025
mm.domus.SE274	E09000007
mm.domus.SC113	S12000042
mm.wiki.126	E07000076
mm.domus.SW246	E07000187
mm.domus.SE273	E07000077
mm.domus.SE047	E09000013
mm.domus.NW168	E07000027
mm.hha.036	E07000042
mm.domus.NE021	E06000057
mm.wiki.240	E07000119
mm.domus.SC045	S12000034
mm.domus.EM031	E07000142
mm.domus.SE281	E07000200
mm.domus.SC230	S12000017
mm.mgs.281	S12000046
mm.domus.SW098	E06000052
mm.domus.NW078	E08000004
mm.musa.141	E08000028
mm.mgs.377	S12000034
mm.mgs.293	S12000034
mm.domus.NW147	E08000012
mm.nimc.036	N09000004
mm.wiki.357	E07000210
mm.wiki.024	E06000049
mm.misc.143	E07000117
mm.ace.1202	E07000117
mm.wiki.258	E07000137
mm.domus.SW227	E06000052
mm.domus.SE022	E09000012
mm.wiki.193	E06000044
mm.wiki.180	E09000020
mm.aim82M.014	W06000006
mm.wiki.367	E07000219
mm.aim82NM.058	E07000163
mm.domus.WM142	E07000237
mm.domus.NE075	E06000057
mm.domus.SW011	E06000023
mm.domus.YH065	E07000166
mm.aim.0370	
mm.wiki.032	E06000052
mm.fcm.107	S12000017
mm.wiki.127	E07000073
mm.domus.SE396	E07000085
mm.domus.SW063	E07000050
mm.domus.SC009	S12000029
mm.domus.WM054	E06000021
mm.hha.173	S12000041
mm.musa.142	E07000147
mm.aim.0373	S12000046
mm.domus.SC318	S12000046
mm.mgs.314	S12000046
mm.domus.SW064	E07000187
mm.wiki.327	E07000187
mm.hha.192	N09000008
mm.domus.SC270	S12000035
mm.aim82M.015	S12000019
mm.wiki.480	S12000017
mm.domus.SC114	S12000041
mm.domus.SC115	S12000017
mm.hha.081	E07000205
mm.misc.115	E06000055
mm.aim.0378	E06000023
mm.domus.SW066	E07000081
mm.aim82NM.051	E07000081
mm.domus.SW079	E07000081
mm.musa.145	E07000083
mm.hha.023	E07000063
mm.domus.WA034	W06000011
mm.domus.SE276	E06000045
mm.domus.SE282	E07000216
mm.MDN.008	E06000014
mm.domus.SW117	E07000050
mm.aim.1063	E09000028
mm.wiki.083	E06000027
mm.hha.013	E07000105
mm.aim82M.017	E07000035
mm.hha.024	E07000225
mm.domus.YH063	E06000011
mm.fcm.109	E07000140
mm.domus.SC116	S12000033
mm.aim.0382	E07000238
mm.hha.075	E07000240
mm.misc.181	E07000067
mm.hha.159	S12000010
mm.domus.SE295	E07000094
mm.aim82M.016	E07000188
mm.aim82M.018	W06000011
mm.mald.055	W06000011
mm.domus.SC118	S12000006
mm.aim82NM.052	S12000023
mm.domus.SC119	S12000034
mm.aim82M.019	W06000005
mm.wiki.112	E06000043
mm.domus.SC087	S12000014
mm.domus.SE052	E09000007
mm.domus.EM029	E07000141
mm.domus.SC121	S12000017
mm.domus.YH143	E07000163
mm.domus.YH026	E08000019
mm.wiki.225	E07000109
mm.domus.SE045	E07000109
mm.domus.NE023	E06000001
mm.domus.NI034	N09000005
mm.wiki.128	E07000067
mm.musa.270	E07000176
mm.wiki.248	E07000130
mm.domus.SW212	E06000054
mm.hha.025	E07000064
mm.aim.0389	E07000077
mm.domus.NE057	E08000021
mm.musa.149	W06000003
mm.aim.0393	E08000005
mm.domus.NW056	E08000003
mm.domus.NE009	E06000004
mm.domus.EM023	E06000018
mm.domus.WA070	W06000005
mm.domus.SC010	S12000029
mm.aim.1190	S12000038
mm.domus.SE275	E09000011
mm.ace.399	E09000011
mm.domus.SE114	E07000143
mm.aim.0400	S12000006
mm.wiki.418	N09000011
mm.ace.1088	E07000237
mm.domus.SE527	E07000179
mm.wiki.454	W06000020
mm.hha.092	E07000141
mm.Mus70Cal.029	E08000024
mm.domus.SC122	S12000017
mm.domus.NW125	E06000050
mm.misc.101	E07000053
mm.domus.NW185	
mm.domus.SE024	E09000033
mm.musa.151	
mm.domus.SE436	
mm.misc.053	
mm.musa.153	E07000209
mm.domus.SE284	E07000209
mm.domus.SE290	E07000209
mm.domus.SE303	E09000001
mm.musa.156	E07000225
mm.domus.SE285	E06000035
mm.domus.NW022	E07000028
mm.domus.NE041	E06000003
mm.domus.EM096	E07000137
mm.domus.SE302	E09000018
mm.domus.EM112	E06000016
mm.musa.157	E09000028
mm.mald.058	W06000004
mm.musa.158	W06000010
mm.domus.WM076	E07000220
mm.aim.0405	E06000049
mm.wiki.489	S12000023
mm.domus.SE026	E09000012
mm.aim.0406	E07000004
mm.wiki.459	S12000034
mm.hha.086	E07000035
mm.domus.WM115	E08000028
mm.aim.0407	E07000115
mm.domus.NW190	E07000029
mm.domus.SW225	E07000083
mm.domus.SE301	E07000206
mm.domus.NW110	E08000001
mm.ace.039	E09000004
mm.domus.WM030	E07000221
mm.aim.0410	E07000131
mm.domus.SC247	S12000026
mm.domus.SE208	E07000067
mm.domus.SE552	E09000027
mm.aim82NM.062	E07000035
mm.wiki.377	E07000065
mm.ace.1175	E09000027
mm.domus.SE127	
mm.ace.1087	E07000238
mm.domus.SE508	E09000033
mm.domus.YH140	E06000010
mm.musa.160	E08000019
mm.domus.EM074	E07000131
mm.misc.027	E07000168
mm.domus.NI004	N09000005
mm.domus.EM093	E07000033
mm.hha.054	E07000082
mm.domus.SW213	E07000052
mm.domus.YH060	E08000035
mm.wiki.288	E07000149
mm.domus.EM009	E07000171
mm.domus.YH059	E07000165
mm.domus.SE148	E07000073
mm.musa.162	E07000046
mm.Mus70Cal.025	E06000052
mm.domus.NW085	E07000123
mm.domus.SE030	E09000015
mm.hha.037	E07000046
mm.domus.NE079	E06000001
mm.hha.186	W06000005
mm.domus.WM131	E07000221
mm.fcm.114	E06000023
mm.hha.115	E07000239
mm.musa.163	E07000076
mm.musa.164	E07000076
mm.musa.165	E07000076
mm.domus.SE300	E07000216
mm.domus.SE490	E07000062
mm.domus.SE298	E07000062
mm.domus.SE299	E07000062
mm.domus.NW191	E08000007
mm.domus.SE554	E07000209
mm.wiki.208	E07000241
mm.domus.WA011	W06000001
mm.musa.166	
mm.domus.SE297	E07000090
mm.wiki.131	E07000066
mm.domus.WA103	W06000009
mm.domus.SE294	E07000204
mm.aim.0420	E09000016
mm.domus.SC145	S12000026
mm.wiki.053	E07000031
mm.domus.NW057	E07000120
mm.aim82NM.124	E07000215
mm.misc.175	E07000040
mm.wiki.033	E06000052
mm.aim.0422	E07000189
mm.wiki.259	E06000013
mm.domus.NE066	E06000005
mm.aim.0423	N09000006
mm.domus.NE024	E06000001
mm.aim.0425	E07000039
mm.Mus70Cal.017	S12000006
mm.wiki.075	E07000032
mm.aim.1223	E09000015
mm.domus.SC123	S12000046
mm.domus.NE040	E06000057
mm.domus.NW011	E08000003
mm.wiki.190	E08000003
mm.musa.168	E07000065
mm.wiki.260	E07000139
mm.musa.169	E07000139
mm.hha.071	E07000067
mm.domus.YH058	E06000011
mm.domus.NW079	E07000026
mm.wiki.201	E06000019
mm.domus.NW183	E07000125
mm.ace.127	E07000125
mm.ace.1228	E07000167
mm.domus.SW172	E06000052
mm.domus.SE293	E07000227
mm.wiki.363	E07000221
mm.MDN.010	E08000035
mm.misc.127	E07000242
mm.domus.YH116	E08000033
mm.domus.YH117	E08000036
mm.wiki.181	E09000030
mm.domus.SE162	E07000178
mm.domus.SE376	E07000008
mm.domus.SC218	S12000033
mm.domus.WM058	E08000026
mm.domus.WM108	E06000019
mm.domus.WM144	E06000019
mm.aim.0430	W06000023
mm.domus.SC225	S12000036
mm.aim.0431	E07000031
mm.misc.067	S12000010
mm.domus.SE292	E07000106
mm.domus.NW065	E07000031
mm.domus.SW099	E06000022
mm.domus.SE291	E07000242
mm.aim82NM.059	E07000242
mm.misc.117	E07000098
mm.misc.116	E07000103
mm.hha.062	E07000190
mm.ace.1224	E06000001
mm.hha.014	E07000111
mm.musa.171	E06000057
mm.domus.NE062	E06000057
mm.nimc.009	N09000004
mm.mgs.409	S12000036
mm.hha.009	E07000084
mm.hha.045	E07000048
mm.fcm.120	S12000017
mm.domus.SC120	S12000017
mm.domus.SC124	S12000017
mm.mgs.378	S12000015
mm.domus.NW174	E07000031
mm.MDN.015	N09000007
mm.wiki.012	E07000011
mm.domus.EM109	E07000132
mm.domus.NW091	E08000010
mm.domus.SE548	E07000094
mm.mgs.410	S12000026
mm.domus.SC017	S12000006
mm.aim.0443	S12000017
mm.domus.SE311	E07000099
mm.misc.196	E09000028
mm.MDN.018	N09000003
mm.ace.1161	E07000200
mm.ace.1223	E06000044
mm.domus.SE037	E09000018
mm.hha.144	E07000118
mm.domus.SW031	E06000022
mm.wiki.054	E07000031
mm.hha.077	E07000147
mm.aim.0447	E07000225
mm.domus.SE310	E07000071
mm.aim82NM.060	E06000052
mm.domus.YH013	E08000034
mm.domus.SW023	E07000078
mm.domus.SW053	E07000046
mm.domus.WA038	W06000001
mm.domus.YH072	E08000035
mm.wiki.439	W06000003
mm.ace.1192	E09000029
mm.wiki.160	E09000019
mm.wiki.311	E07000177
mm.mgs.411	S12000040
mm.wiki.145	E07000080
mm.domus.SE309	E09000023
mm.domus.YH071	E06000011
mm.domus.SE166	E07000094
mm.domus.YH070	E08000035
mm.domus.SE308	E07000227
mm.wiki.191	E08000001
mm.domus.SC125	S12000041
mm.wiki.496	S12000027
mm.aim.0959	E07000134
mm.hha.078	E07000146
mm.wiki.161	E09000028
mm.domus.SC047	S12000041
mm.wiki.162	E09000007
mm.domus.NW194	
mm.wiki.084	E07000045
mm.aim82M.020	E07000227
mm.musa.175	S12000040
mm.domus.WM145	E06000051
mm.fcm.124	E07000077
mm.domus.SE447	E09000033
mm.domus.NE078	E06000057
mm.domus.SE307	E06000043
mm.aim.1085	E07000088
mm.wiki.304	E07000167
mm.musa.001	E07000061
mm.mald.062	W06000023
mm.aim.0456	E08000015
mm.domus.YH016	E08000034
mm.domus.SC046	S12000017
mm.domus.SE514	E07000007
mm.aim.0459	E06000035
mm.domus.YH137	E06000010
mm.domus.YH133	E06000010
mm.aim82M.021	E06000057
mm.aim.0461	E07000148
mm.mgs.298	S12000029
mm.domus.SC244	S12000046
mm.domus.SC243	S12000046
mm.wiki.194	E07000091
mm.hha.138	E07000030
mm.wiki.129	E07000070
mm.domus.SE035	E07000112
mm.aim82NM.064	E07000143
mm.domus.SE545	E07000204
mm.domus.SE455	E07000226
mm.domus.SE532	E07000115
mm.musa.178	E07000189
mm.domus.SW054	E07000043
mm.aim.0466	E08000032
mm.ace.1140	E06000012
mm.aim.0467	E09000028
mm.ace.1173	E07000012
mm.ace.1174	E08000009
mm.Mus70Cal.016	E09000020
mm.Mus70Cal.018	S12000006
mm.wiki.130	E07000068
mm.domus.YH164	E08000032
mm.domus.SC267	S12000026
mm.domus.SE038	E09000007
mm.mgs.278	S12000034
mm.aim.0470	W06000008
mm.ace.1231	E08000012
mm.MDN.021	N09000008
mm.hha.182	S12000035
mm.mgs.332	S12000035
mm.mgs.341	S12000035
mm.domus.SC106	S12000015
mm.domus.SC149	S12000017
mm.mgs.125	S12000034
mm.mgs.412	S12000035
mm.musa.180	S12000035
mm.aim.0471	S12000035
mm.domus.SE304	E07000202
mm.domus.SE167	E07000202
mm.domus.EM039	E07000156
mm.domus.NI006	N09000007
mm.fcm.130	N09000003
mm.misc.109	E06000020
mm.domus.WM141	E06000051
mm.wiki.298	E07000154
mm.hha.139	E07000026
mm.fcm.131	N09000009
mm.aim.0478	
mm.misc.146	S12000017
mm.wiki.214	E06000046
mm.wiki.215	E06000046
mm.domus.SE315	E06000046
mm.domus.SW111	E06000053
mm.domus.SE316	E09000019
mm.domus.SE039	E09000007
mm.domus.WM106	E07000197
mm.musa.032	S12000041
mm.domus.WM127	E06000020
mm.mgs.334	S12000036
mm.domus.SC004	S12000033
mm.Mus70Cal.006	S12000042
mm.domus.SC006	S12000026
mm.ace.1111	E07000085
mm.wiki.497	S12000027
mm.domus.NE005	E08000023
mm.domus.SC147	S12000026
mm.domus.WM051	E08000030
mm.domus.SE571	
mm.aim82M.029	
mm.domus.SE321	
mm.musa.182	
mm.musa.183	E07000062
mm.aim.0485	E07000083
mm.aim.0486	E09000007
mm.domus.SE040	E09000007
mm.domus.SE332	E09000003
mm.domus.EM064	E06000016
mm.domus.SE061	E06000055
mm.aim.0490	E06000031
mm.domus.SW055	E06000054
mm.wiki.002	E06000032
mm.musa.184	S12000010
mm.domus.SC229	S12000029
mm.fcm.137	E07000148
mm.musa.186	E07000033
mm.wiki.474	S12000036
mm.domus.SE028	E07000005
mm.domus.SW056	E07000083
mm.mgs.304	S12000010
mm.domus.SC302	S12000006
mm.misc.145	S12000038
mm.aim.0448	E06000056
mm.domus.YH029	E06000014
mm.domus.WM070	E08000025
mm.domus.WA039	W06000024
mm.domus.WM147	W06000023
mm.domus.NW040	E07000121
mm.mald.066	W06000002
mm.domus.SE041	E09000007
mm.domus.EM087	E07000032
mm.MDN.026	E07000195
mm.domus.SW039	E07000052
mm.domus.EM040	E07000134
mm.aim.0496	E08000032
mm.wiki.383	E08000032
mm.wiki.388	E07000163
mm.hha.178	S12000021
mm.domus.YH021	E08000019
mm.ace.1293	E07000151
mm.domus.SE423	E09000013
mm.domus.SE161	E07000181
mm.domus.SC146	S12000026
mm.fcm.139	E07000068
mm.domus.SC031	S12000046
mm.musa.188	E09000027
mm.domus.NE083	E08000019
mm.domus.NW023	E07000031
mm.wiki.364	E07000222
mm.wiki.164	E09000033
mm.domus.SW114	E06000054
mm.ace.1150	E09000020
mm.domus.SE320	E07000111
mm.musa.189	E07000112
mm.domus.SE489	E07000110
mm.aim.0503	E07000116
mm.domus.SE451	E07000110
mm.ace.1158	E07000106
mm.domus.SE483	E07000110
mm.hha.082	E07000200
mm.wiki.063	E07000026
mm.domus.NW088	E07000026
mm.domus.SE377	E07000008
mm.ace.1222	E09000027
mm.misc.141	E09000027
mm.Mus70Cal.012	E07000239
mm.domus.WM028	E07000239
mm.domus.WA083	W06000010
mm.domus.SW237	E07000040
mm.ace.1182	E06000047
mm.domus.SC287	S12000035
mm.misc.155	S12000008
mm.domus.SC144	S12000044
mm.wiki.488	S12000021
mm.domus.NW127	E06000050
mm.aim.0512	E06000052
mm.aim.0513	E07000093
mm.domus.SW187	E07000188
mm.misc.035	E07000168
mm.wiki.286	E07000146
mm.domus.WA044	W06000006
mm.domus.NW049	E07000121
mm.domus.NE039	E06000057
mm.domus.YH068	E08000017
mm.domus.SW027	E07000044
mm.wiki.210	E07000240
mm.hha.019	E07000180
mm.domus.SW214	E07000049
mm.domus.SE042	E09000021
mm.aim.0516	E06000025
mm.domus.WM071	E06000019
mm.domus.SC086	S12000014
mm.ace.1147	E07000164
mm.domus.SC082	S12000023
mm.aim.0518	E09000028
mm.aim82NM.065	S12000015
mm.domus.SC050	S12000015
mm.domus.NE038	E06000003
mm.ace.1257	E08000035
mm.mgs.279	S12000041
mm.domus.YH132	E07000165
mm.hha.076	E07000243
mm.domus.SW238	E07000042
mm.domus.SE533	E07000111
mm.aim.0521	E06000049
mm.aim82M.022	E09000015
mm.domus.SE322	S12000006
mm.misc.054	
mm.domus.WM143	E08000027
mm.aim82NM.072	E06000018
mm.domus.SW215	E06000054
mm.domus.NW102	E08000027
mm.domus.NE037	E06000057
mm.misc.049	S12000020
mm.domus.SC156	S12000017
mm.domus.NE026	E08000021
mm.domus.SC256	S12000015
mm.aim.0527	E07000031
mm.domus.SE529	E07000064
mm.wiki.328	E06000024
mm.mgs.413	S12000010
mm.wiki.436	W06000008
mm.hha.097	E07000151
mm.domus.SC151	S12000029
mm.misc.103	E08000009
mm.domus.NW081	E07000123
mm.domus.NW137	E08000006
mm.aim.1247	E07000126
mm.musa.191	E07000121
mm.Mus70Cal.013	E07000121
mm.domus.NW046	E07000121
mm.ace.135	E07000121
mm.aim.0528	E06000051
mm.misc.152	S12000017
mm.aim.1101	E09000027
mm.domus.SW046	E07000051
mm.aim.0530	E07000033
mm.domus.SW201	E06000052
mm.domus.SE318	E07000205
mm.aim82NM.066	E06000052
mm.domus.WM081	E08000025
mm.domus.SC155	S12000021
mm.domus.NI036	N09000008
mm.aim.0531	E07000110
mm.mald.068	W06000009
mm.wiki.385	E08000034
mm.aim82NM.084	E06000052
mm.wiki.036	E06000052
mm.fcm.144	E07000031
mm.domus.SC140	S12000036
mm.misc.118	E07000200
mm.domus.SW058	E06000052
mm.domus.NW158	
mm.domus.SE317	E07000203
mm.hha.073	E07000071
mm.aim.0533	E06000052
mm.domus.WM005	E07000222
mm.domus.SE323	E07000210
mm.wiki.202	E06000019
mm.fcm.145	
mm.aim.0535	E07000110
mm.domus.YH008	E08000035
mm.domus.YH003	E08000035
mm.domus.YH006	E08000035
mm.Mus70Cal.014	E06000016
mm.misc.104	E06000016
mm.musa.195	E06000033
mm.domus.SE482	E06000056
mm.hha.145	E07000121
mm.domus.SE043	E09000020
mm.musa.196	S12000034
mm.hha.160	S12000010
mm.domus.WM097	E06000019
mm.domus.SE324	E07000099
mm.domus.WM117	E07000194
mm.musa.197	E06000052
mm.hha.140	E07000031
mm.domus.SE417	E07000063
mm.domus.NW122	E06000008
mm.ace.1101	E09000007
mm.ace.390	E07000194
mm.mgs.356	S12000026
mm.wiki.069	E07000035
mm.domus.SE327	E07000094
mm.domus.SC157	S12000045
mm.musa.201	E06000046
mm.nimc.037	N09000004
mm.domus.NI037	N09000004
mm.wiki.261	E07000138
mm.aim.0545	E07000137
mm.ace.1132	E07000139
mm.wiki.262	E07000137
mm.domus.NE071	E06000057
mm.domus.NE081	E06000057
mm.MDN.011	N09000003
mm.domus.SC158	S12000040
mm.domus.NW167	E06000050
mm.domus.SW244	E06000052
mm.hha.193	N09000009
mm.wiki.292	E07000143
mm.wiki.070	E06000015
mm.domus.SW216	E06000054
mm.domus.SE328	E07000200
mm.ace.1191	E09000029
mm.hha.116	E07000235
mm.ace.1093	E06000049
mm.misc.061	W06000010
mm.wiki.460	S12000034
mm.wiki.196	E07000088
mm.domus.SE326	E07000224
mm.domus.NW134	E08000012
mm.domus.NW135	E08000014
mm.domus.SE044	E09000028
mm.wiki.037	E06000052
mm.mald.069	W06000018
mm.mald.071	W06000008
mm.domus.WA072	W06000003
mm.aim.0555	W06000010
mm.mald.072	W06000004
mm.aim.0556	W06000004
mm.domus.WA019	W06000023
mm.aim.0557	W06000003
mm.domus.WA046	W06000020
mm.domus.WA009	W06000002
mm.domus.WA048	W06000002
mm.mald.081	W06000001
mm.mald.079	W06000002
mm.mald.080	W06000008
mm.misc.153	S12000008
mm.aim82NM.068	S12000015
mm.domus.SC161	S12000038
mm.domus.WM072	E08000030
mm.ace.1195	E06000047
mm.domus.SW243	E07000079
mm.domus.SE009	E09000006
mm.domus.SE488	E07000207
mm.domus.SE031	E09000019
mm.fcm.148	E09000033
mm.aim.0559	E09000028
mm.wiki.182	E09000014
mm.wiki.183	E09000022
mm.misc.140	E09000001
mm.aim.0560	E09000017
mm.musa.204	E09000009
mm.musa.205	E09000033
mm.fcm.149	E09000032
mm.aim82M.056	E09000033
mm.domus.SE033	E09000033
mm.wiki.297	E07000151
mm.misc.119	E07000200
mm.domus.SE331	E07000205
mm.musa.208	E07000173
mm.hha.065	E06000054
mm.fcm.150	E06000046
mm.hha.020	E07000209
mm.wiki.486	S12000020
mm.domus.SW163	E06000052
mm.domus.YH009	E08000035
mm.fcm.151	S12000006
mm.ace.1107	E07000130
mm.aim82NM.061	E07000145
mm.domus.EM041	E07000137
mm.domus.SC257	S12000029
mm.misc.170	E06000050
mm.domus.SE576	E07000206
mm.domus.SE424	E07000206
mm.wiki.347	E07000206
mm.domus.SE340	E07000095
mm.domus.WM036	E06000051
mm.wiki.226	E07000111
mm.musa.209	E07000111
mm.hha.046	E07000051
mm.domus.WM059	E07000222
mm.fcm.154	N09000002
mm.aim82NM.126	E06000056
mm.aim.0565	E07000131
mm.wiki.038	E06000052
mm.aim.1159	E07000076
mm.musa.210	E07000112
mm.aim.0566	E07000145
mm.domus.SW071	E06000030
mm.domus.NW170	E06000049
mm.domus.SW059	E07000052
mm.aim.0568	E06000007
mm.domus.SW159	E07000043
mm.domus.SE111	E07000146
mm.domus.SW217	E07000189
mm.domus.NW181	E07000119
mm.aim.0570	E07000119
mm.aim82NM.071	E07000119
mm.domus.NW132	E07000119
mm.wiki.071	E07000035
mm.mgs.382	S12000017
mm.domus.SC153	S12000028
mm.wiki.133	E07000074
mm.aim82NM.082	W06000010
mm.musa.212	E07000137
mm.domus.SE510	E09000007
mm.misc.065	E06000052
mm.ace.1215	E06000040
mm.domus.SE333	E07000110
mm.aim.1352	E07000113
mm.musa.214	E07000074
mm.domus.SE012	E07000074
