project_id	OA2011_GSS
mm.wiki.281	E00135060
mm.domus.SE518	E00082135
mm.domus.SE599	E00114262
mm.wiki.333	E00149168
mm.domus.EM015	E00142724
mm.domus.SE528	E00107169
mm.domus.SW095	E00072574
mm.aim82NM.016	E00072583
mm.aim82NM.021	E00072597
mm.domus.SW005	E00072573
mm.domus.SW174	E00072756
mm.domus.YH017	E00060090
mm.domus.SE187	E00107095
mm.wiki.150	E00012492
mm.wiki.255	E00169347
mm.aim.0484	
mm.musa.035	E00109692
mm.aim.0067	E00153206
mm.misc.137	E00109227
mm.musa.036	E00175340
mm.domus.YH033	E00066902
mm.domus.SW188	E00103900
mm.domus.NE004	E00104634
mm.domus.SE214	E00122478
mm.aim82NM.013	E00019845
mm.wiki.198	E00115006
mm.domus.NW172	E00097837
mm.musa.037	E00116850
mm.domus.WA007	W00000020
mm.domus.SE418	E00154146
mm.domus.YH034	E00141566
mm.domus.SW004	E00072796
mm.domus.YH032	E00140451
mm.domus.SE414	E00173773
mm.domus.SE339	E00079582
mm.aim.0993	E00158376
mm.wiki.394	E00162397
mm.aim.0074	E00125505
mm.domus.SE196	E00080382
mm.misc.179	E00111202
mm.ace.1109	E00092672
mm.domus.EM069	E00068794
mm.musa.039	N00003534
mm.wiki.419	N00002924
mm.hha.011	E00124694
mm.wiki.064	E00098163
mm.musa.041	E00139689
mm.domus.EM088	E00133649
mm.hha.089	E00131361
mm.aim.0077	E00087289
mm.domus.SE005	E00004606
mm.domus.YH156	E00140639
mm.aim.0079	E00023936
mm.domus.SC072	S00134372
mm.wiki.309	E00145685
mm.domus.WM139	E00146882
mm.wiki.107	E00107516
mm.aim.0081	E00011126
mm.ace.1217	E00154017
mm.wiki.141	E00113616
mm.domus.SE068	E00014586
mm.musa.042	E00167041
mm.ace.1116	E00082908
mm.domus.SE194	E00083787
mm.musa.043	E00051410
mm.ace.1089	E00071186
mm.domus.WA013	W00001959
mm.domus.NE006	E00139323
mm.wiki.105	E00065303
mm.MDN.029	E00072308
mm.domus.SE006	E00003763
mm.mald.013	W00000639
mm.domus.YH168	E00065941
mm.ace.1118	E00065937
mm.domus.WM039	E00165385
mm.domus.SE193	E00107286
mm.domus.SE192	E00107138
mm.domus.SE191	E00001600
mm.musa.045	E00100950
mm.wiki.076	E00102709
mm.aim82NM.015	E00077253
mm.domus.WA016	W00007774
mm.mgs.223	S00130838
mm.domus.SC007	S00132501
mm.musa.046	S00132380
mm.musa.047	E00166610
mm.domus.NE007	E00061909
mm.domus.WM014	E00052611
mm.domus.WM048	E00168245
mm.musa.048	E00097179
mm.domus.NW059	E00036979
mm.ace.1208	E00175767
mm.domus.WM063	E00175652
mm.wiki.368	E00175614
mm.domus.WM064	E00175679
mm.domus.WM113	E00050333
mm.domus.SE152	E00134275
mm.wiki.324	E00149046
mm.domus.SE087	E00118146
mm.ace.1240	E00147640
mm.domus.YH022	E00040453
mm.domus.SE189	E00119133
mm.ace.504	E00119086
mm.aim.0098	E00102328
mm.musa.050	E00086982
mm.domus.WM110	E00070725
mm.domus.WM042	E00049371
mm.domus.SC038	S00126648
mm.domus.NW121	E00063735
mm.wiki.011	E00173810
mm.aim82M.004	E00087361
mm.domus.SC309	S00134215
mm.aim.0099	N00001444
mm.ace.1128	E00098101
mm.aim82M.005	E00117698
mm.mald.014	W00007769
mm.wiki.452	W00007779
mm.wiki.325	E00074490
mm.mald.015	W00007548
mm.hha.169	S00126310
mm.domus.SC034	S00091317
mm.domus.SW012	E00073757
mm.domus.SW001	E00148264
mm.domus.WM066	E00048155
mm.ace.1112	E00103572
mm.domus.SW045	E00103572
mm.domus.SW016	E00149097
mm.hha.017	E00146796
mm.musa.052	N00002875
mm.ace.1278	E00175378
mm.domus.SE538	E00134678
mm.aim82NM.020	E00004658
mm.domus.WM126	E00071294
mm.wiki.282	E00135305
mm.domus.SE198	E00145090
mm.aim.1305	E00149055
mm.ace.1164	E00106777
mm.wiki.302	E00139653
mm.domus.SC073	S00108488
mm.domus.SC041	S00129140
mm.aim82M.071	W00000097
mm.domus.WA012	W00001021
mm.musa.053	E00095615
mm.domus.SW013	E00095609
mm.hha.185	W00001202
mm.aim.0105	E00160289
mm.domus.YH037	E00053571
mm.wiki.020	E00093734
mm.hha.118	E00141294
mm.domus.NW109	E00171673
mm.domus.NW016	E00024651
mm.wiki.271	E00134051
mm.wiki.062	E00096552
mm.fcm.026	S00108947
mm.domus.SE210	E00085496
mm.Mus70Cal.001	E00170492
mm.domus.SC289	S00095752
mm.domus.WM004	E00164380
mm.wiki.151	E00019801
mm.misc.014	S00118048
mm.mald.019	W00002778
mm.domus.WM118	E00151174
mm.wiki.395	E00166384
mm.domus.EM085	E00132067
mm.wiki.152	E00012759
mm.wiki.470	S00099804
mm.ace.1200	E00131011
mm.domus.NW015	E00035652
mm.misc.114	E00090856
mm.aim.1076	E00137805
mm.domus.SE209	E00155015
mm.aim.0107	E00133573
mm.fcm.027	E00103199
mm.ace.1282	E00077282
mm.aim.0109	E00102501
mm.domus.NE011	E00105832
mm.ace.1139	E00045075
mm.mgs.354	S00094937
mm.hha.063	E00162734
mm.aim.0110	E00110265
mm.MDN.012	
mm.domus.YH040	E00053353
mm.domus.YH036	E00054602
mm.domus.SW014	E00163467
mm.aim.0112	E00176111
mm.ace.1235	E00087315
mm.aim82M.066	E00087316
mm.misc.172	E00102446
mm.misc.180	E00111274
mm.wiki.090	E00102787
mm.wiki.457	S00091440
mm.domus.SE200	E00108517
mm.wiki.179	E00019780
mm.domus.NW019	E00030004
mm.wiki.378	E00058985
mm.domus.WM086	E00150708
mm.domus.SC026	S00091854
mm.domus.NW001	E00097839
mm.musa.055	E00123908
mm.domus.SW152	E00101739
mm.aim.0117	E00116922
mm.domus.SC023	S00093673
mm.domus.WA018	W00002634
mm.wiki.108	E00107106
mm.wiki.219	E00124995
mm.musa.057	E00103975
mm.domus.SE023	E00003109
mm.domus.SE199	E00108917
mm.musa.058	E00124600
mm.fcm.030	S00128969
mm.domus.SE563	E00136688
mm.aim82NM.014	E00103533
mm.domus.WM095	E00146851
mm.mgs.389	S00114387
mm.wiki.098	E00065303
mm.domus.SW151	E00103959
mm.wiki.211	E00087332
mm.mgs.391	S00118004
mm.domus.SE201	E00111657
mm.domus.SE581	E00085566
mm.misc.045	E00085110
mm.domus.SE211	E00085698
mm.ace.1213	E00172899
mm.aim82M.036	E00085492
mm.domus.WM002	E00151907
mm.aim.0126	E00075339
mm.domus.SW009	E00174310
mm.domus.SW007	E00073417
mm.domus.SW143	E00073433
mm.misc.080	E00020255
mm.wiki.077	E00102186
mm.aim82NM.022	E00012559
mm.aim.0127	E00082570
mm.domus.NW188	E00129065
mm.aim.0129	E00096015
mm.wiki.049	E00095803
mm.domus.SE008	E00023841
mm.domus.SW043	E00074002
mm.wiki.109	E00085746
mm.domus.SC042	S00111156
mm.aim82M.007	E00092441
mm.domus.EM024	E00144391
mm.fcm.032	E00127999
mm.aim.0135	E00035475
mm.misc.161	E00136052
mm.domus.WM120	E00159085
mm.domus.SE073	E00174659
mm.ace.1129	E00023936
mm.ace.1098	E00119906
mm.Mus70Cal.015	E00023930
mm.aim.0140	E00015477
mm.aim.0141	E00153730
mm.wiki.078	E00076725
mm.domus.SW006	E00076739
mm.wiki.434	W00003368
mm.domus.WM044	E00049700
mm.aim82M.062	E00117880
mm.wiki.402	E00164999
mm.hha.119	E00141591
mm.ace.1085	E00168514
mm.domus.SC043	S00121915
mm.misc.150	S00121758
mm.domus.YH153	E00038425
mm.domus.WM119	E00164011
mm.wiki.417	N00000787
mm.domus.YH101	E00054717
mm.misc.165	N00002941
mm.misc.060	
mm.domus.SE205	E00154793
mm.wiki.238	E00064317
mm.Mus70Cal.007	E00007617
mm.wiki.476	S00119194
mm.domus.WM130	E00146887
mm.ace.1110	E00097637
mm.hha.018	E00145217
mm.domus.SC048	S00097491
mm.domus.SC234	S00099303
mm.domus.SC008	S00130837
mm.hha.143	E00128514
mm.mgs.308	S00134429
mm.ace.042	E00010503
mm.domus.SE601	E00020304
mm.wiki.243	E00130959
mm.domus.SW229	E00148526
mm.misc.050	E00148549
mm.aim.0147	W00007566
mm.domus.SC051	S00110407
mm.wiki.484	S00121709
mm.wiki.153	E00023938
mm.domus.SE464	E00089077
mm.aim82M.054	E00089077
mm.domus.SE202	E00089343
mm.domus.SW234	E00102922
mm.mald.020	W00001404
mm.aim.0150	E00107097
mm.domus.SE204	E00089004
mm.domus.SE216	E00122478
mm.aim82NM.024	E00071115
mm.misc.198	E00108653
mm.domus.SE440	E00154189
mm.wiki.500	E00119185
mm.wiki.376	E00161694
mm.domus.SE027	E00004409
mm.domus.SE224	E00078840
mm.domus.SE249	E00111138
mm.domus.NW075	E00126405
mm.mgs.285	S00129889
mm.domus.SC055	S00097813
mm.mgs.310	S00100777
mm.mgs.381	S00100715
mm.domus.SC052	S00109642
mm.domus.SC074	S00114866
mm.aim82NM.025	E00072574
mm.aim.0155	E00115741
mm.domus.SE296	E00115160
mm.fcm.242	E00136691
mm.hha.120	E00065510
mm.domus.SW019	E00102737
mm.domus.YH046	E00065739
mm.MDN.030	E00168353
mm.domus.SE228	E00090871
mm.domus.NW020	E00025436
mm.wiki.187	E00025436
mm.domus.SE525	E00146255
mm.domus.SE227	E00119664
mm.ace.1186	E00070891
mm.domus.SC049	S00094229
mm.wiki.192	E00114843
mm.aim82NM.026	E00099790
mm.domus.EM106	E00099754
mm.aim82NM.018	W00010099
mm.wiki.503	E00076995
mm.aim.0158	E00136071
mm.wiki.315	E00145113
mm.ace.1226	E00141449
mm.aim82NM.027	E00131103
mm.hha.034	E00100926
mm.aim.0159	W00001060
mm.hha.029	E00096212
mm.wiki.441	W00000377
mm.domus.WA017	W00000476
mm.wiki.283	E00135140
mm.aim.0160	E00133943
mm.mgs.006	S00117676
mm.aim.0161	S00119032
mm.musa.067	E00087334
mm.domus.YH113	E00055407
mm.domus.WA002	W00008049
mm.domus.EM094	E00100423
mm.domus.SC083	S00108724
mm.aim82NM.028	E00114366
mm.domus.SW185	E00172825
mm.wiki.396	E00162717
mm.musa.069	E00143451
mm.domus.SW191	E00095484
mm.domus.WM121	E00147205
mm.domus.SE225	E00090521
mm.aim.0165	E00004559
mm.domus.SC062	S00094735
mm.aim82NM.029	W00001120
mm.ace.1117	E00138875
mm.mgs.374	S00134536
mm.domus.EM021	E00173480
mm.misc.151	S00119159
mm.domus.YH043	E00037597
mm.aim82NM.030	E00045648
mm.mald.024	W00000262
mm.domus.EM095	E00137467
mm.domus.SE251	E00122478
mm.domus.SE121	E00122462
mm.wiki.122	E00109163
mm.hha.132	E00093861
mm.aim.0167	E00141830
mm.domus.NE013	E00060841
mm.domus.YH047	E00141966
mm.domus.YH104	E00140515
mm.domus.WA026	W00010117
mm.mald.026	W00010121
mm.mald.027	W00002734
mm.wiki.415	N00003727
mm.mald.028	W00002975
mm.domus.SE229	E00087344
mm.musa.072	N00002840
mm.musa.073	E00097071
mm.musa.074	E00097071
mm.domus.SE520	E00014228
mm.mald.030	W00003447
mm.domus.WA022	W00003358
mm.domus.SC029	S00091713
mm.wiki.239	E00127368
mm.aim.0173	E00137954
mm.nimc.043	N00001704
mm.wiki.060	E00096563
mm.musa.075	E00020643
mm.ace.1134	E00004559
mm.domus.YH035	E00053837
mm.hha.084	E00172337
mm.aim.0174	E00051180
mm.musa.076	E00148581
mm.domus.SW108	E00162945
mm.domus.SE437	
mm.ace.1106	E00131578
mm.domus.SC064	S00097663
mm.domus.SW235	E00102940
mm.aim82NM.031	E00075127
mm.hha.121	E00141470
mm.wiki.477	S00119349
mm.aim82NM.032	S00126295
mm.domus.SC066	S00098249
mm.fcm.041	E00109171
mm.domus.NW157	
mm.domus.NI028	N00002782
mm.domus.YH120	E00059290
mm.wiki.479	S00117724
mm.domus.EM111	E00099861
mm.MDN.036	E00104336
mm.domus.NW095	E00062755
mm.hha.085	E00100544
mm.aim.0179	E00098116
mm.wiki.411	N00003632
mm.aim.1338	E00148010
mm.wiki.275	E00176652
mm.hha.165	S00117877
mm.domus.YH057	E00037595
mm.mald.090	W00009580
mm.domus.WA028	W00004884
mm.mgs.406	S00114382
mm.misc.130	W00003471
mm.domus.SE602	E00004734
mm.aim.0181	E00090801
mm.wiki.344	E00171634
mm.ace.1262	E00133436
mm.domus.SE448	E00117556
mm.hha.035	E00101864
mm.domus.SE577	E00146336
mm.fcm.045	
mm.mald.033	W00003066
mm.misc.098	E00061132
mm.domus.SW020	E00148603
mm.aim82NM.099	E00148616
mm.musa.081	E00146583
mm.ace.1092	E00159156
mm.domus.SE137	E00134546
mm.domus.SE230	E00086032
mm.domus.SE016	E00004532
mm.domus.SE232	E00107405
mm.wiki.027	E00096088
mm.aim.0188	E00007931
mm.aim.0796	E00007921
mm.misc.168	E00146370
mm.domus.EM104	E00130489
mm.aim.1353	E00124870
mm.domus.SE233	E00000021
mm.Mus70Cal.010	E00167786
mm.domus.SE531	E00124270
mm.ace.1229	E00150286
