GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
E01000566	6	6	7	8	9	6	6	1	england
E01000567	5	5	5	7	6	4	5	2	england
E01000568	6	9	10	10	9	4	5	1	england
E01000569	8	7	9	9	8	7	7	2	england
E01000570	4	3	4	6	6	4	5	1	england
E01000571	5	4	5	7	8	2	5	2	england
E01000572	7	6	9	8	9	7	7	1	england
E01000573	7	5	9	8	9	3	5	3	england
E01000574	7	6	9	8	7	7	5	2	england
E01000575	6	6	8	8	8	3	3	1	england
E01000576	6	6	8	8	8	3	4	2	england
E01000577	3	2	3	5	7	7	5	1	england
E01000578	3	3	4	7	4	2	4	2	england
E01000579	3	4	4	7	5	3	1	2	england
E01000580	4	4	4	9	6	2	3	4	england
E01000581	6	5	6	9	9	3	3	4	england
E01000582	6	6	8	10	8	3	2	4	england
E01000583	5	5	5	8	6	3	2	3	england
E01000584	6	6	7	7	7	5	4	3	england
E01000585	6	6	7	7	7	5	3	3	england
E01000586	3	4	5	5	6	3	1	1	england
E01000587	6	5	8	6	9	5	6	2	england
E01000588	4	3	4	5	8	4	5	1	england
E01000589	5	5	6	6	7	3	6	1	england
E01000590	6	5	7	8	8	4	5	2	england
E01000591	4	5	6	6	7	2	3	1	england
E01000592	5	5	6	6	6	2	5	2	england
E01000593	5	4	5	6	8	4	6	1	england
E01000594	5	5	7	7	9	3	4	1	england
E01000595	1	1	2	2	2	2	3	1	england
E01000596	1	1	2	2	4	1	2	1	england
E01000599	2	1	2	4	3	5	2	1	england
E01000600	2	2	2	3	5	3	4	1	england
E01000601	1	1	2	2	3	1	5	1	england
E01000602	1	2	2	3	3	1	4	1	england
E01000603	2	1	3	4	6	1	2	1	england
E01000604	2	2	2	4	4	2	4	1	england
E01000605	1	1	2	3	5	2	4	1	england
E01000606	5	5	5	6	8	3	4	2	england
E01000607	5	5	7	7	8	5	5	1	england
E01000608	4	5	6	6	6	1	3	1	england
E01000609	4	5	6	6	8	3	3	1	england
E01000610	3	4	5	6	5	2	5	1	england
E01000611	4	5	4	6	6	4	4	1	england
E01000612	4	4	5	6	7	3	4	1	england
E01000613	3	4	5	5	6	7	2	1	england
E01000615	5	5	6	6	8	6	5	1	england
E01000616	4	5	6	7	6	3	3	1	england
E01000617	4	4	5	6	8	1	3	2	england
E01000618	4	4	5	4	7	3	4	2	england
E01000619	5	5	5	4	7	4	5	2	england
E01000620	5	5	6	4	8	4	3	2	england
E01000621	4	5	6	4	5	3	3	1	england
E01000622	3	4	5	5	6	1	2	1	england
E01000623	6	6	7	6	8	3	4	3	england
E01000624	6	5	7	6	9	4	6	2	england
E01000625	4	4	6	5	7	3	4	2	england
E01000626	2	1	2	4	3	2	5	1	england
E01000627	2	2	3	3	5	1	2	1	england
E01000628	2	2	3	5	5	1	3	1	england
E01000629	5	5	6	5	8	3	6	2	england
E01000630	3	3	4	6	6	2	4	1	england
E01000631	5	5	7	7	8	3	4	2	england
E01000632	5	6	8	5	8	2	3	2	england
E01000633	4	5	7	5	8	1	3	1	england
E01000634	4	4	6	6	8	4	4	1	england
