mark,avg_L,max_L,avg_LZ
all,149028,270139,-2.2
East Midlands,368012,499200,0.4
East of England,352884,549013,0.2
London,475145,498525,1.7
North East,394438,498525,0.7
North West,359220,486495,0.3
Northern Ireland,385898,518123,0.6
Scotland,229348,368195,-1.3
South East,318087,509796,-0.2
South West,287544,462041,-0.6
Wales,285016,444069,-0.6
West Midlands,386342,498525,0.6
Yorkshire and The Humber,370911,498608,0.4
